gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
desktop graphical user interface,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1724; semantic=0.5607; sequence_match=0.2632,False,0.4514,False,top-3 avg score 0.4514 < final_threshold 0.6
file rendering,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5955; levenshtein=0.2632; semantic=0.4456; sequence_match=0.3125,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.6
application programming interface,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5467; levenshtein=0.1935; semantic=0.5140; sequence_match=0.2927,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.6
desktop graphical user interface,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6293; levenshtein=0.1379; semantic=0.5422; sequence_match=0.1818,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.6
web service,GIF Rendering,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4944; levenshtein=0.2500; semantic=0.4949; sequence_match=0.3636,False,0.451,False,top-3 avg score 0.4510 < final_threshold 0.6
Source code available,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5097; levenshtein=0.2105; semantic=0.5723; sequence_match=0.2703,False,0.4508,False,top-3 avg score 0.4508 < final_threshold 0.6
programming language,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5627; levenshtein=0.1579; semantic=0.5674; sequence_match=0.2222,False,0.4508,False,top-3 avg score 0.4508 < final_threshold 0.6
file rendering,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.2222; semantic=0.4824; sequence_match=0.3226,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.6
version number,Programming Language,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.2105; semantic=0.5677; sequence_match=0.0625,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.6
CEL binary format,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2000; semantic=0.4046; sequence_match=0.3200,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
CEL ASCII format,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2143; semantic=0.3975; sequence_match=0.3333,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
algorithm,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.4622; sequence_match=0.3448,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
Development status,License Permissiveness,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5415; levenshtein=0.1905; semantic=0.4939; sequence_match=0.3158,False,0.4504,False,top-3 avg score 0.4504 < final_threshold 0.6
Source code available,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5599; levenshtein=0.2632; semantic=0.4681; sequence_match=0.3226,False,0.4502,False,top-3 avg score 0.4502 < final_threshold 0.6
Free,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5437; levenshtein=0.2143; semantic=0.4735; sequence_match=0.3333,False,0.4502,False,top-3 avg score 0.4502 < final_threshold 0.6
software developer organization,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5043; levenshtein=0.1379; semantic=0.6410; sequence_match=0.2051,False,0.4501,False,top-3 avg score 0.4501 < final_threshold 0.6
desktop graphical user interface,Data Usage For Task,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6431; levenshtein=0.2414; semantic=0.4658; sequence_match=0.1778,False,0.4501,False,top-3 avg score 0.4501 < final_threshold 0.6
Not Free,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5040; levenshtein=0.1905; semantic=0.5596; sequence_match=0.2857,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.6
Not Free,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4484; levenshtein=0.2500; semantic=0.5847; sequence_match=0.3158,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.6
application programming interface,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5943; levenshtein=0.2258; semantic=0.5094; sequence_match=0.2439,False,0.4492,False,top-3 avg score 0.4492 < final_threshold 0.6
data item,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.4633; sequence_match=0.3333,False,0.4489,False,top-3 avg score 0.4489 < final_threshold 0.6
Open source software license,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6679; levenshtein=0.2400; semantic=0.4218; sequence_match=0.2564,False,0.4487,False,top-3 avg score 0.4487 < final_threshold 0.6
.csv,License Permissiveness,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.1429; semantic=0.5087; sequence_match=0.2500,False,0.4487,False,top-3 avg score 0.4487 < final_threshold 0.6
Open source software license,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5578; levenshtein=0.2800; semantic=0.4453; sequence_match=0.3429,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
Maintained,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5333; levenshtein=0.1000; semantic=0.5122; sequence_match=0.3000,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
desktop graphical user interface,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.1724; semantic=0.4859; sequence_match=0.3077,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
algorithm,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.2143,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
software interface,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5588; levenshtein=0.1176; semantic=0.4916; sequence_match=0.2941,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.6
Purchase cost,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2143; semantic=0.4375; sequence_match=0.3077,False,0.4481,False,top-3 avg score 0.4481 < final_threshold 0.6
licence,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.2000; semantic=0.4168; sequence_match=0.3529,False,0.4479,False,top-3 avg score 0.4479 < final_threshold 0.6
application programming interface,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5978; levenshtein=0.1613; semantic=0.4520; sequence_match=0.2927,False,0.4475,False,top-3 avg score 0.4475 < final_threshold 0.6
application programming interface,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5505; levenshtein=0.1290; semantic=0.5170; sequence_match=0.2745,False,0.4473,False,top-3 avg score 0.4473 < final_threshold 0.6
software,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.1667; semantic=0.5002; sequence_match=0.3000,False,0.4473,False,top-3 avg score 0.4473 < final_threshold 0.6
version number,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5366; levenshtein=0.0714; semantic=0.5827; sequence_match=0.2222,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
data item,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2143; semantic=0.4659; sequence_match=0.3636,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
licence,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.4558; sequence_match=0.2963,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
software interface,Maintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4647; levenshtein=0.2353; semantic=0.5038; sequence_match=0.3704,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.6
version number,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.5642; sequence_match=0.2727,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.6
licence,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5259; sequence_match=0.2353,False,0.4458,False,top-3 avg score 0.4458 < final_threshold 0.6
version number,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4937; levenshtein=0.1176; semantic=0.5768; sequence_match=0.2667,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.6
Purchase cost,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0833; semantic=0.4695; sequence_match=0.3158,False,0.4456,False,top-3 avg score 0.4456 < final_threshold 0.6
application programming interface,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4955; levenshtein=0.1935; semantic=0.5076; sequence_match=0.3333,False,0.4455,False,top-3 avg score 0.4455 < final_threshold 0.6
desktop graphical user interface,Help Access,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6257; levenshtein=0.1724; semantic=0.5383; sequence_match=0.1538,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
Free,Developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5399; sequence_match=0.1538,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
version number,Maintained,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5692; levenshtein=0.2308; semantic=0.5359; sequence_match=0.0870,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
software developer role,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5825; levenshtein=0.2381; semantic=0.4952; sequence_match=0.2581,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
version number,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5468; levenshtein=0.2500; semantic=0.4252; sequence_match=0.3636,False,0.4452,False,top-3 avg score 0.4452 < final_threshold 0.6
licence,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.3000; semantic=0.5167; sequence_match=0.3529,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.6
software,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.1875; semantic=0.4572; sequence_match=0.3333,False,0.4441,False,top-3 avg score 0.4441 < final_threshold 0.6
Source code available,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.5356; sequence_match=0.2609,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
XML,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6831; sequence_match=0.1667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data format specification,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.1739; semantic=0.4873; sequence_match=0.2667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
Source code available,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.2105; semantic=0.5136; sequence_match=0.3226,False,0.4434,False,top-3 avg score 0.4434 < final_threshold 0.6
version number,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.5741; sequence_match=0.2609,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
application programming interface,Open Format,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5610; levenshtein=0.1935; semantic=0.5753; sequence_match=0.1463,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
Purchase cost,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.4219; sequence_match=0.3448,False,0.4429,False,top-3 avg score 0.4429 < final_threshold 0.6
desktop graphical user interface,Algorithm Usage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5702; levenshtein=0.2414; semantic=0.5168; sequence_match=0.2326,False,0.4428,False,top-3 avg score 0.4428 < final_threshold 0.6
desktop graphical user interface,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5253; levenshtein=0.2069; semantic=0.4952; sequence_match=0.3077,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
software developer role,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.1429; semantic=0.4216; sequence_match=0.3429,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
Purchase cost,Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1667; semantic=0.5212; sequence_match=0.2500,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.6
desktop graphical user interface,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6005; levenshtein=0.2414; semantic=0.4469; sequence_match=0.2791,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.6
Purchase cost,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5595; levenshtein=0.2500; semantic=0.4504; sequence_match=0.3158,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
programming language,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4703; levenshtein=0.1579; semantic=0.6128; sequence_match=0.2424,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
Development status,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4239; levenshtein=0.1765; semantic=0.5670; sequence_match=0.3333,False,0.4414,False,top-3 avg score 0.4414 < final_threshold 0.6
file rendering,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4813; levenshtein=0.1579; semantic=0.5302; sequence_match=0.3125,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.6
desktop graphical user interface,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5456; levenshtein=0.1379; semantic=0.4923; sequence_match=0.2857,False,0.4412,False,top-3 avg score 0.4412 < final_threshold 0.6
text editing,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5485; levenshtein=0.0909; semantic=0.4884; sequence_match=0.2857,False,0.4409,False,top-3 avg score 0.4409 < final_threshold 0.6
plain text file format,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.3158; semantic=0.3945; sequence_match=0.3448,False,0.4408,False,top-3 avg score 0.4408 < final_threshold 0.6
Development status,Data Format Type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.4287; sequence_match=0.2581,False,0.4401,False,top-3 avg score 0.4401 < final_threshold 0.6
application programming interface,Algorithm Usage Output,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5982; levenshtein=0.1935; semantic=0.5284; sequence_match=0.1176,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.6
Open source software license,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5187; levenshtein=0.2400; semantic=0.4196; sequence_match=0.3810,False,0.4398,False,top-3 avg score 0.4398 < final_threshold 0.6
application programming interface,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5690; levenshtein=0.2258; semantic=0.5171; sequence_match=0.2326,False,0.4396,False,top-3 avg score 0.4396 < final_threshold 0.6
software developer organization,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6325; levenshtein=0.1379; semantic=0.4637; sequence_match=0.2222,False,0.4395,False,top-3 avg score 0.4395 < final_threshold 0.6
software,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.6285; sequence_match=0.2667,False,0.4393,False,top-3 avg score 0.4393 < final_threshold 0.6
software,Collaboration Request,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5583; levenshtein=0.2000; semantic=0.4725; sequence_match=0.2857,False,0.4389,False,top-3 avg score 0.4389 < final_threshold 0.6
CEL binary format,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2000; semantic=0.4944; sequence_match=0.2727,False,0.4388,False,top-3 avg score 0.4388 < final_threshold 0.6
application programming interface,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5582; levenshtein=0.1935; semantic=0.4771; sequence_match=0.2791,False,0.4381,False,top-3 avg score 0.4381 < final_threshold 0.6
desktop graphical user interface,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5769; levenshtein=0.1724; semantic=0.5152; sequence_match=0.2222,False,0.4381,False,top-3 avg score 0.4381 < final_threshold 0.6
application programming interface,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5340; levenshtein=0.1935; semantic=0.5001; sequence_match=0.2800,False,0.438,False,top-3 avg score 0.4380 < final_threshold 0.6
application programming interface,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.2258; semantic=0.5504; sequence_match=0.2439,False,0.4379,False,top-3 avg score 0.4379 < final_threshold 0.6
Not Free,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.1667; semantic=0.5118; sequence_match=0.3158,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.6
application programming interface,Tool,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6263; levenshtein=0.0968; semantic=0.5884; sequence_match=0.0571,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.6
programming language,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.5699; sequence_match=0.2308,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
Open source software license,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5244; levenshtein=0.1600; semantic=0.5515; sequence_match=0.2353,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
licence,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.1429; semantic=0.5008; sequence_match=0.2857,False,0.4368,False,top-3 avg score 0.4368 < final_threshold 0.6
Maintained,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.0714; semantic=0.4412; sequence_match=0.2500,False,0.4368,False,top-3 avg score 0.4368 < final_threshold 0.6
data format specification,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5449; levenshtein=0.1739; semantic=0.4725; sequence_match=0.2927,False,0.4367,False,top-3 avg score 0.4367 < final_threshold 0.6
version number,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4996; levenshtein=0.1111; semantic=0.5524; sequence_match=0.2581,False,0.4367,False,top-3 avg score 0.4367 < final_threshold 0.6
PROcess,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.1000; semantic=0.4915; sequence_match=0.3529,False,0.4365,False,top-3 avg score 0.4365 < final_threshold 0.6
Maintained,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.1429; semantic=0.4140; sequence_match=0.3333,False,0.4364,False,top-3 avg score 0.4364 < final_threshold 0.6
software developer organization,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4956; levenshtein=0.2069; semantic=0.4796; sequence_match=0.3333,False,0.4362,False,top-3 avg score 0.4362 < final_threshold 0.6
software,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3999; levenshtein=0.1579; semantic=0.6858; sequence_match=0.2222,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
algorithm,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.4943; sequence_match=0.2857,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
PROcess,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.4982; sequence_match=0.2857,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
licence,Help Resource,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4683; levenshtein=0.3333; semantic=0.5058; sequence_match=0.3158,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.6
software,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.1000; semantic=0.5095; sequence_match=0.2222,False,0.4356,False,top-3 avg score 0.4356 < final_threshold 0.6
plain text file format,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5754; levenshtein=0.2000; semantic=0.4234; sequence_match=0.3077,False,0.4355,False,top-3 avg score 0.4355 < final_threshold 0.6
algorithm,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.1667; semantic=0.5303; sequence_match=0.2963,False,0.4348,False,top-3 avg score 0.4348 < final_threshold 0.6
Free,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5198; levenshtein=0.1429; semantic=0.5440; sequence_match=0.2400,False,0.4346,False,top-3 avg score 0.4346 < final_threshold 0.6
Not Free,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5507; sequence_match=0.2500,False,0.4344,False,top-3 avg score 0.4344 < final_threshold 0.6
software developer role,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4619; levenshtein=0.2381; semantic=0.5181; sequence_match=0.3226,False,0.4342,False,top-3 avg score 0.4342 < final_threshold 0.6
GIF,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.1429; semantic=0.4629; sequence_match=0.2353,False,0.4338,False,top-3 avg score 0.4338 < final_threshold 0.6
Development status,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5961; levenshtein=0.1500; semantic=0.4332; sequence_match=0.2703,False,0.4332,False,top-3 avg score 0.4332 < final_threshold 0.6
application programming interface,Data Format Type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5790; levenshtein=0.2258; semantic=0.4942; sequence_match=0.2222,False,0.433,False,top-3 avg score 0.4330 < final_threshold 0.6
programming language,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5077; levenshtein=0.1579; semantic=0.4687; sequence_match=0.3226,False,0.433,False,top-3 avg score 0.4330 < final_threshold 0.6
software,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.6050; sequence_match=0.2353,False,0.4329,False,top-3 avg score 0.4329 < final_threshold 0.6
Open source software license,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4817; levenshtein=0.2800; semantic=0.5309; sequence_match=0.2857,False,0.4327,False,top-3 avg score 0.4327 < final_threshold 0.6
data item,Maintenance Status,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6194; levenshtein=0.2353; semantic=0.4434; sequence_match=0.1600,False,0.4327,False,top-3 avg score 0.4327 < final_threshold 0.6
programming language,Version Feature,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5392; levenshtein=0.2632; semantic=0.4954; sequence_match=0.2424,False,0.4326,False,top-3 avg score 0.4326 < final_threshold 0.6
CEL binary format,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.1500; semantic=0.4335; sequence_match=0.3429,False,0.4319,False,top-3 avg score 0.4319 < final_threshold 0.6
Maintained,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.1000; semantic=0.5291; sequence_match=0.3000,False,0.4319,False,top-3 avg score 0.4319 < final_threshold 0.6
data format specification,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5243; levenshtein=0.1739; semantic=0.5205; sequence_match=0.2500,False,0.4316,False,top-3 avg score 0.4316 < final_threshold 0.6
Not Free,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.4837; sequence_match=0.2222,False,0.4313,False,top-3 avg score 0.4313 < final_threshold 0.6
Source code available,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4942; levenshtein=0.1579; semantic=0.4772; sequence_match=0.3226,False,0.4313,False,top-3 avg score 0.4313 < final_threshold 0.6
data format specification,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5656; levenshtein=0.1739; semantic=0.4995; sequence_match=0.2286,False,0.4312,False,top-3 avg score 0.4312 < final_threshold 0.6
function,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5434; sequence_match=0.2500,False,0.4311,False,top-3 avg score 0.4311 < final_threshold 0.6
software developer role,Collaborator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5575; levenshtein=0.1905; semantic=0.5451; sequence_match=0.1212,False,0.431,False,top-3 avg score 0.4310 < final_threshold 0.6
algorithm,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.1579; semantic=0.4573; sequence_match=0.2857,False,0.4309,False,top-3 avg score 0.4309 < final_threshold 0.6
.csv,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.1000; semantic=0.5299; sequence_match=0.1739,False,0.4309,False,top-3 avg score 0.4309 < final_threshold 0.6
plain text file format,Data Usage For Task,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5570; levenshtein=0.3158; semantic=0.3354; sequence_match=0.4000,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
software,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3241; levenshtein=0.1111; semantic=0.7330; sequence_match=0.2353,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
Maintained,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5524; levenshtein=0.2143; semantic=0.4898; sequence_match=0.2500,False,0.4307,False,top-3 avg score 0.4307 < final_threshold 0.6
Open source software license,Help Access,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2000; semantic=0.4415; sequence_match=0.2857,False,0.4307,False,top-3 avg score 0.4307 < final_threshold 0.6
Maintained,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.5614; sequence_match=0.2353,False,0.4306,False,top-3 avg score 0.4306 < final_threshold 0.6
Not Free,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5357; levenshtein=0.2857; semantic=0.4702; sequence_match=0.2857,False,0.4306,False,top-3 avg score 0.4306 < final_threshold 0.6
text editing,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5242; levenshtein=0.2727; semantic=0.4813; sequence_match=0.2857,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.6
Source code available,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4971; levenshtein=0.1053; semantic=0.5797; sequence_match=0.2143,False,0.4303,False,top-3 avg score 0.4303 < final_threshold 0.6
