prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8878; levenshtein=0.8000; semantic=0.9012; sequence_match=0.8421,False,0.877,True,selected
ObjectProperty,has game genre,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6357; levenshtein=0.2667; semantic=0.4843; sequence_match=0.5185,False,0.5462,False,top-3 avg score 0.5462 < final_threshold 0.7
ObjectProperty,has playing area,has game equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.6303; sequence_match=0.4000,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,owns achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,involves player,has player equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1667; semantic=0.6931; sequence_match=0.4375,False,0.5453,False,top-3 avg score 0.5453 < final_threshold 0.7
ObjectProperty,has character,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.5441; sequence_match=0.4667,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,is friend with player,has player,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3889; levenshtein=0.3333; semantic=0.7209; sequence_match=0.5185,False,0.5428,False,top-3 avg score 0.5428 < final_threshold 0.7
ObjectProperty,has item,has purchaser,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.5703; sequence_match=0.4211,False,0.5421,False,top-3 avg score 0.5421 < final_threshold 0.7
ObjectProperty,is character in game,first IAP game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6739; levenshtein=0.3529; semantic=0.4678; sequence_match=0.4828,False,0.5415,False,top-3 avg score 0.5415 < final_threshold 0.7
ObjectProperty,has leaderboard,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4974; sequence_match=0.4545,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.7
ObjectProperty,has achievement,has in app purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5451; sequence_match=0.4667,False,0.5396,False,top-3 avg score 0.5396 < final_threshold 0.7
ObjectProperty,owns character,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2308; semantic=0.5848; sequence_match=0.4000,False,0.5393,False,top-3 avg score 0.5393 < final_threshold 0.7
ObjectProperty,has game genre,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5528; sequence_match=0.4211,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,has item,purchased in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.3333; semantic=0.5469; sequence_match=0.4545,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,plays game,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4984; sequence_match=0.4706,False,0.539,False,top-3 avg score 0.5390 < final_threshold 0.7
ObjectProperty,has character,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.5075; sequence_match=0.4615,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,is leaderboard in game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5275; levenshtein=0.4211; semantic=0.6037; sequence_match=0.4828,False,0.538,False,top-3 avg score 0.5380 < final_threshold 0.7
ObjectProperty,is character in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.4581; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,is player in session,first IAP player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6130; levenshtein=0.1176; semantic=0.4792; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,has item,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has playing area,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has feature,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.5107; sequence_match=0.4286,False,0.5347,False,top-3 avg score 0.5347 < final_threshold 0.7
ObjectProperty,has leaderboard,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3571; semantic=0.5015; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,has item,has in app purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5601; sequence_match=0.4348,False,0.534,False,top-3 avg score 0.5340 < final_threshold 0.7
ObjectProperty,purchases game offering,has in app purchase,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.1905; semantic=0.5976; sequence_match=0.4324,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.7
ObjectProperty,is character in game,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5813; levenshtein=0.1667; semantic=0.5587; sequence_match=0.4571,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.7
ObjectProperty,has feature,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5786; sequence_match=0.4286,False,0.532,False,top-3 avg score 0.5320 < final_threshold 0.7
ObjectProperty,is player in session,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4288; sequence_match=0.5161,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,has leaderboard,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.3571; semantic=0.5875; sequence_match=0.3810,False,0.5307,False,top-3 avg score 0.5307 < final_threshold 0.7
ObjectProperty,is character in game,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6315; levenshtein=0.2222; semantic=0.6108; sequence_match=0.3429,False,0.5284,False,top-3 avg score 0.5284 < final_threshold 0.7
ObjectProperty,has achievement,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5056; sequence_match=0.4348,False,0.5278,False,top-3 avg score 0.5278 < final_threshold 0.7
ObjectProperty,lives in,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5737; sequence_match=0.3810,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,owns achievement,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6741; levenshtein=0.3333; semantic=0.4799; sequence_match=0.4242,False,0.5261,False,top-3 avg score 0.5261 < final_threshold 0.7
ObjectProperty,has game genre,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.4441; sequence_match=0.4762,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,has playing area,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3333; semantic=0.5349; sequence_match=0.4375,False,0.5252,False,top-3 avg score 0.5252 < final_threshold 0.7
ObjectProperty,has playing area,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5995; levenshtein=0.3333; semantic=0.4241; sequence_match=0.5517,False,0.5251,False,top-3 avg score 0.5251 < final_threshold 0.7
ObjectProperty,is character in game,has game equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6044; levenshtein=0.1765; semantic=0.6058; sequence_match=0.3636,False,0.5246,False,top-3 avg score 0.5246 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6391; levenshtein=0.2105; semantic=0.5022; sequence_match=0.4324,False,0.5246,False,top-3 avg score 0.5246 < final_threshold 0.7
ObjectProperty,has achievement,purchased item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2143; semantic=0.4974; sequence_match=0.4444,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,has leaderboard,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.4944; sequence_match=0.4348,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,owns character,has player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5427; levenshtein=0.3077; semantic=0.5724; sequence_match=0.4545,False,0.5232,False,top-3 avg score 0.5232 < final_threshold 0.7
ObjectProperty,has playing area,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5115; sequence_match=0.4167,False,0.5221,False,top-3 avg score 0.5221 < final_threshold 0.7
ObjectProperty,has feature,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6011; levenshtein=0.3333; semantic=0.5277; sequence_match=0.4286,False,0.5191,False,top-3 avg score 0.5191 < final_threshold 0.7
ObjectProperty,has feature,used item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4787; sequence_match=0.4444,False,0.5188,False,top-3 avg score 0.5188 < final_threshold 0.7
ObjectProperty,has leaderboard,has purchaser,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6468; levenshtein=0.2857; semantic=0.4466; sequence_match=0.4615,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6469; levenshtein=0.3158; semantic=0.4233; sequence_match=0.4848,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,has leaderboard,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5635; levenshtein=0.2857; semantic=0.6312; sequence_match=0.3571,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.7
ObjectProperty,is character in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6594; levenshtein=0.2941; semantic=0.5049; sequence_match=0.3871,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.7
ObjectProperty,is session in game,has game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4730; levenshtein=0.3333; semantic=0.6207; sequence_match=0.4545,False,0.5161,False,top-3 avg score 0.5161 < final_threshold 0.7
ObjectProperty,is character in game,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.2941; semantic=0.5043; sequence_match=0.4167,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.7
ObjectProperty,has leaderboard,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5434; sequence_match=0.3810,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,plays game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5355; sequence_match=0.4348,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,is event associated to player,has player,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4515; levenshtein=0.3200; semantic=0.6190; sequence_match=0.4706,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,has achievement,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.5787; sequence_match=0.3636,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.7
ObjectProperty,owns item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.5787; sequence_match=0.3636,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.7
ObjectProperty,has playing area,has purchaser,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6468; levenshtein=0.4286; semantic=0.4221; sequence_match=0.4615,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,is achievement in game,has game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5258; levenshtein=0.2632; semantic=0.6227; sequence_match=0.3846,False,0.5111,False,top-3 avg score 0.5111 < final_threshold 0.7
ObjectProperty,owns character,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5615; levenshtein=0.1538; semantic=0.6236; sequence_match=0.3478,False,0.511,False,top-3 avg score 0.5110 < final_threshold 0.7
ObjectProperty,has feature,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6173; levenshtein=0.3750; semantic=0.5297; sequence_match=0.3846,False,0.5105,False,top-3 avg score 0.5105 < final_threshold 0.7
ObjectProperty,is achievement in game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4535; levenshtein=0.3158; semantic=0.6617; sequence_match=0.4138,False,0.5097,False,top-3 avg score 0.5097 < final_threshold 0.7
ObjectProperty,is friend with player,has player equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4974; levenshtein=0.0556; semantic=0.6410; sequence_match=0.3889,False,0.5091,False,top-3 avg score 0.5091 < final_threshold 0.7
ObjectProperty,has character,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6098; levenshtein=0.3333; semantic=0.5170; sequence_match=0.4000,False,0.5089,False,top-3 avg score 0.5089 < final_threshold 0.7
ObjectProperty,has leaderboard,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.3333; semantic=0.4911; sequence_match=0.4375,False,0.5058,False,top-3 avg score 0.5058 < final_threshold 0.7
ObjectProperty,purchases game offering,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.1905; semantic=0.5093; sequence_match=0.3571,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.7
ObjectProperty,owns achievement,has game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.2000; semantic=0.6034; sequence_match=0.3636,False,0.5054,False,top-3 avg score 0.5054 < final_threshold 0.7
ObjectProperty,owns character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5089; sequence_match=0.3810,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,lives in,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5512; sequence_match=0.3750,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.7
ObjectProperty,has character,has game equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.2500; semantic=0.5843; sequence_match=0.3571,False,0.5036,False,top-3 avg score 0.5036 < final_threshold 0.7
ObjectProperty,has playing area,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2857; semantic=0.5244; sequence_match=0.3846,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.7
ObjectProperty,has feature,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5794; levenshtein=0.2667; semantic=0.4471; sequence_match=0.4800,False,0.5022,False,top-3 avg score 0.5022 < final_threshold 0.7
ObjectProperty,plays game,first IAP player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.2143; semantic=0.5782; sequence_match=0.4348,False,0.5021,False,top-3 avg score 0.5021 < final_threshold 0.7
ObjectProperty,is character in game,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6346; levenshtein=0.2353; semantic=0.4864; sequence_match=0.3846,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.7
ObjectProperty,is session in game,resides in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2667; semantic=0.4543; sequence_match=0.4167,False,0.5014,False,top-3 avg score 0.5014 < final_threshold 0.7
ObjectProperty,is character in game,purchased item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6858; levenshtein=0.2941; semantic=0.4184; sequence_match=0.4000,False,0.5014,False,top-3 avg score 0.5014 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.2632; semantic=0.6047; sequence_match=0.3846,False,0.5,False,top-3 avg score 0.5000 < final_threshold 0.7
ObjectProperty,owns character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5427; levenshtein=0.1538; semantic=0.5936; sequence_match=0.3636,False,0.5,False,top-3 avg score 0.5000 < final_threshold 0.7
ObjectProperty,is leaderboard in game,first IAP game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5931; levenshtein=0.2632; semantic=0.4549; sequence_match=0.4516,False,0.4999,False,top-3 avg score 0.4999 < final_threshold 0.7
ObjectProperty,has achievement,purchased in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5995; levenshtein=0.2000; semantic=0.4857; sequence_match=0.4138,False,0.4996,False,top-3 avg score 0.4996 < final_threshold 0.7
ObjectProperty,has game genre,has purchaser,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.3860; sequence_match=0.5000,False,0.499,False,top-3 avg score 0.4990 < final_threshold 0.7
ObjectProperty,has leaderboard,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.5387; sequence_match=0.3333,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.7
ObjectProperty,has achievement,participant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.2857; semantic=0.5702; sequence_match=0.3200,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.7
ObjectProperty,owns achievement,co participant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5650; levenshtein=0.2667; semantic=0.4976; sequence_match=0.4286,False,0.497,False,top-3 avg score 0.4970 < final_threshold 0.7
ObjectProperty,has feature,played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.4856; sequence_match=0.4000,False,0.4952,False,top-3 avg score 0.4952 < final_threshold 0.7
ObjectProperty,is character in game,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6117; levenshtein=0.1765; semantic=0.4598; sequence_match=0.4138,False,0.4951,False,top-3 avg score 0.4951 < final_threshold 0.7
ObjectProperty,has leaderboard,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5913; levenshtein=0.2857; semantic=0.5068; sequence_match=0.3846,False,0.4942,False,top-3 avg score 0.4942 < final_threshold 0.7
ObjectProperty,is achievement in game,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2105; semantic=0.5623; sequence_match=0.2857,False,0.4941,False,top-3 avg score 0.4941 < final_threshold 0.7
ObjectProperty,owns achievement,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.6176; sequence_match=0.3200,False,0.494,False,top-3 avg score 0.4940 < final_threshold 0.7
ObjectProperty,is leaderboard in game,earned achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6382; levenshtein=0.2105; semantic=0.5079; sequence_match=0.3333,False,0.4931,False,top-3 avg score 0.4931 < final_threshold 0.7
ObjectProperty,is friend with player,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.5788; sequence_match=0.3571,False,0.4922,False,top-3 avg score 0.4922 < final_threshold 0.7
ObjectProperty,has playing area,first IAP player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6138; levenshtein=0.2143; semantic=0.4341; sequence_match=0.4286,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.7
ObjectProperty,is event associated to player,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6778; levenshtein=0.2000; semantic=0.4262; sequence_match=0.3721,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
ObjectProperty,owns character,purchased item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5971; levenshtein=0.3077; semantic=0.4921; sequence_match=0.3846,False,0.4913,False,top-3 avg score 0.4913 < final_threshold 0.7
ObjectProperty,has leaderboard,has game achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5344; levenshtein=0.3333; semantic=0.5638; sequence_match=0.3750,False,0.4911,False,top-3 avg score 0.4911 < final_threshold 0.7
ObjectProperty,involves character,has purchaser,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6174; levenshtein=0.2941; semantic=0.4399; sequence_match=0.4138,False,0.4904,False,top-3 avg score 0.4904 < final_threshold 0.7
ObjectProperty,has item,played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5386; sequence_match=0.3529,False,0.4892,False,top-3 avg score 0.4892 < final_threshold 0.7
ObjectProperty,owns achievement,purchased item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6160; levenshtein=0.2000; semantic=0.4933; sequence_match=0.3571,False,0.4888,False,top-3 avg score 0.4888 < final_threshold 0.7
ObjectProperty,owns character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5366; levenshtein=0.2143; semantic=0.6309; sequence_match=0.2963,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.7
ObjectProperty,has character,has equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2500; semantic=0.5856; sequence_match=0.3333,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,purchases game offering,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5968; levenshtein=0.2857; semantic=0.4664; sequence_match=0.4000,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.7
ObjectProperty,has achievement,resides in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2857; semantic=0.5425; sequence_match=0.3478,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.7
ObjectProperty,plays game,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.4972; sequence_match=0.3750,False,0.487,False,top-3 avg score 0.4870 < final_threshold 0.7
ObjectProperty,has achievement,used item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5030; sequence_match=0.3636,False,0.4869,False,top-3 avg score 0.4869 < final_threshold 0.7
ObjectProperty,purchases game offering,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6409; levenshtein=0.2857; semantic=0.4724; sequence_match=0.3448,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.7
ObjectProperty,owns character,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.3077; semantic=0.6139; sequence_match=0.4000,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.7
ObjectProperty,is session in game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6095; levenshtein=0.3333; semantic=0.4321; sequence_match=0.4138,False,0.4852,False,top-3 avg score 0.4852 < final_threshold 0.7
ObjectProperty,owns achievement,participant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5293; levenshtein=0.2667; semantic=0.5409; sequence_match=0.3846,False,0.4849,False,top-3 avg score 0.4849 < final_threshold 0.7
ObjectProperty,involves player,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2143; semantic=0.4992; sequence_match=0.4286,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5944; levenshtein=0.1579; semantic=0.5539; sequence_match=0.3030,False,0.4838,False,top-3 avg score 0.4838 < final_threshold 0.7
ObjectProperty,is character in session,resides in,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5963; levenshtein=0.3500; semantic=0.5023; sequence_match=0.2759,False,0.4829,False,top-3 avg score 0.4829 < final_threshold 0.7
ObjectProperty,owns character,purchased in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5731; levenshtein=0.1333; semantic=0.5167; sequence_match=0.3571,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.1579; semantic=0.5398; sequence_match=0.3571,False,0.4822,False,top-3 avg score 0.4822 < final_threshold 0.7
ObjectProperty,has leaderboard,played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5651; levenshtein=0.2857; semantic=0.5464; sequence_match=0.3333,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.7
ObjectProperty,owns item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5583; levenshtein=0.1000; semantic=0.5530; sequence_match=0.3333,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.7
ObjectProperty,has item,resides in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.4824; sequence_match=0.3750,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.7
ObjectProperty,owns character,co participant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5971; levenshtein=0.0769; semantic=0.4584; sequence_match=0.3846,False,0.48,False,top-3 avg score 0.4800 < final_threshold 0.7
ObjectProperty,purchases game offering,first IAP game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5575; levenshtein=0.2381; semantic=0.5716; sequence_match=0.3030,False,0.4774,False,top-3 avg score 0.4774 < final_threshold 0.7
ObjectProperty,has game genre,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.3333; semantic=0.4900; sequence_match=0.3636,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.7
ObjectProperty,is character in session,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6140; levenshtein=0.2500; semantic=0.4715; sequence_match=0.3448,False,0.4768,False,top-3 avg score 0.4768 < final_threshold 0.7
