gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Device,Device,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Measurement,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.5647; sequence_match=0.2353,False,0.435,False,top-3 avg score 0.4350 < final_threshold 0.6
Key Performance Indicator,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1739; semantic=0.5643; sequence_match=0.2069,False,0.4338,False,top-3 avg score 0.4338 < final_threshold 0.6
Device,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.5395; sequence_match=0.2500,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.6
Water meter,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.5395; sequence_match=0.2500,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.6
Key Performance Indicator,Water Meter,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5729; levenshtein=0.2609; semantic=0.4664; sequence_match=0.1818,False,0.4334,False,top-3 avg score 0.4334 < final_threshold 0.6
Device,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.6889; sequence_match=0.1667,False,0.4333,False,top-3 avg score 0.4333 < final_threshold 0.6
Sensor,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.6889; sequence_match=0.1667,False,0.4333,False,top-3 avg score 0.4333 < final_threshold 0.6
Key Performance Indicator,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3907; levenshtein=0.2609; semantic=0.5149; sequence_match=0.3871,False,0.4309,False,top-3 avg score 0.4309 < final_threshold 0.6
Acceptability property,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.1905; semantic=0.4452; sequence_match=0.2759,False,0.4295,False,top-3 avg score 0.4295 < final_threshold 0.6
Point,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5059; levenshtein=0.1765; semantic=0.5077; sequence_match=0.2727,False,0.4288,False,top-3 avg score 0.4288 < final_threshold 0.6
FeatureOfInterest,Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6732; levenshtein=0.1765; semantic=0.4299; sequence_match=0.1739,False,0.4265,False,top-3 avg score 0.4265 < final_threshold 0.6
Device,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4837; levenshtein=0.1176; semantic=0.6216; sequence_match=0.1739,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
Water,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.1333; semantic=0.4558; sequence_match=0.3000,False,0.426,False,top-3 avg score 0.4260 < final_threshold 0.6
Acceptability property,Chemical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5721; levenshtein=0.2381; semantic=0.4423; sequence_match=0.2632,False,0.4259,False,top-3 avg score 0.4259 < final_threshold 0.6
Acceptability property,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6143; levenshtein=0.0952; semantic=0.4364; sequence_match=0.2222,False,0.4243,False,top-3 avg score 0.4243 < final_threshold 0.6
Device,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.0000; semantic=0.6327; sequence_match=0.1818,False,0.4234,False,top-3 avg score 0.4234 < final_threshold 0.6
Water infrastructure,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5431; levenshtein=0.2632; semantic=0.4326; sequence_match=0.2941,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
Actuator,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.1333; semantic=0.4893; sequence_match=0.2609,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.6
ChemicalProperty,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.4107; sequence_match=0.3333,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
Key Performance Indicator,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4808; levenshtein=0.1739; semantic=0.4618; sequence_match=0.3226,False,0.4217,False,top-3 avg score 0.4217 < final_threshold 0.6
Temporal entity,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5333; levenshtein=0.1935; semantic=0.4610; sequence_match=0.2667,False,0.4203,False,top-3 avg score 0.4203 < final_threshold 0.6
Water property,Sensor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4658; levenshtein=0.2308; semantic=0.5634; sequence_match=0.2105,False,0.42,False,top-3 avg score 0.4200 < final_threshold 0.6
Temporal entity,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.0714; semantic=0.4480; sequence_match=0.2857,False,0.4192,False,top-3 avg score 0.4192 < final_threshold 0.6
Tariff,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5167; sequence_match=0.2500,False,0.4185,False,top-3 avg score 0.4185 < final_threshold 0.6
Water meter,Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5167; sequence_match=0.2500,False,0.4185,False,top-3 avg score 0.4185 < final_threshold 0.6
Water meter,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4922; levenshtein=0.1765; semantic=0.5400; sequence_match=0.2222,False,0.4181,False,top-3 avg score 0.4181 < final_threshold 0.6
Time-based tariff,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5901; levenshtein=0.1613; semantic=0.4466; sequence_match=0.2174,False,0.4181,False,top-3 avg score 0.4181 < final_threshold 0.6
ChemicalProperty,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.1875; semantic=0.4237; sequence_match=0.2500,False,0.4176,False,top-3 avg score 0.4176 < final_threshold 0.6
Measurement,Physical Indicator,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4496; levenshtein=0.1765; semantic=0.6265; sequence_match=0.1429,False,0.4175,False,top-3 avg score 0.4175 < final_threshold 0.6
Point,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.2000; semantic=0.5855; sequence_match=0.2000,False,0.4174,False,top-3 avg score 0.4174 < final_threshold 0.6
Water asset,Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5132; sequence_match=0.2500,False,0.4174,False,top-3 avg score 0.4174 < final_threshold 0.6
ChemicalProperty,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5696; levenshtein=0.1875; semantic=0.3701; sequence_match=0.3077,False,0.4158,False,top-3 avg score 0.4158 < final_threshold 0.6
FeatureOfInterest,Water Distribution Infrastructure,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5742; levenshtein=0.2581; semantic=0.4150; sequence_match=0.2500,False,0.4157,False,top-3 avg score 0.4157 < final_threshold 0.6
Measurement,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4779; levenshtein=0.1613; semantic=0.4795; sequence_match=0.2857,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.6
Water meter,Chemical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.1765; semantic=0.4890; sequence_match=0.2222,False,0.4142,False,top-3 avg score 0.4142 < final_threshold 0.6
Measurement,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.4964; sequence_match=0.2353,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.6
Temporal entity,Asset,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4937; levenshtein=0.1429; semantic=0.6001; sequence_match=0.1053,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.6
Point,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.0000; semantic=0.5933; sequence_match=0.1818,False,0.4102,False,top-3 avg score 0.4102 < final_threshold 0.6
Water property,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.1538; semantic=0.5201; sequence_match=0.2105,False,0.4088,False,top-3 avg score 0.4088 < final_threshold 0.6
Water infrastructure,Chemical Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5472; levenshtein=0.2105; semantic=0.4554; sequence_match=0.1667,False,0.4044,False,top-3 avg score 0.4044 < final_threshold 0.6
Temporal entity,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.1429; semantic=0.5171; sequence_match=0.2000,False,0.4031,False,top-3 avg score 0.4031 < final_threshold 0.6
Point,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5597; levenshtein=0.1290; semantic=0.4270; sequence_match=0.2222,False,0.403,False,top-3 avg score 0.4030 < final_threshold 0.6
Acceptability property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5175; levenshtein=0.1905; semantic=0.3687; sequence_match=0.3226,False,0.4029,False,top-3 avg score 0.4029 < final_threshold 0.6
Time-based tariff,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.2000; semantic=0.4654; sequence_match=0.2857,False,0.4022,False,top-3 avg score 0.4022 < final_threshold 0.6
Actuator,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0000; semantic=0.6308; sequence_match=0.1429,False,0.4014,False,top-3 avg score 0.4014 < final_threshold 0.6
Device,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0000; semantic=0.6308; sequence_match=0.1429,False,0.4014,False,top-3 avg score 0.4014 < final_threshold 0.6
Water,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4196; levenshtein=0.1765; semantic=0.5113; sequence_match=0.2727,False,0.4012,False,top-3 avg score 0.4012 < final_threshold 0.6
Device,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4477; levenshtein=0.1765; semantic=0.4873; sequence_match=0.2609,False,0.3986,False,top-3 avg score 0.3986 < final_threshold 0.6
FeatureOfInterest,Chemical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5131; levenshtein=0.0588; semantic=0.4452; sequence_match=0.2353,False,0.3979,False,top-3 avg score 0.3979 < final_threshold 0.6
Water asset,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.1000; semantic=0.4859; sequence_match=0.2222,False,0.3971,False,top-3 avg score 0.3971 < final_threshold 0.6
Point,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.1667; semantic=0.5520; sequence_match=0.1818,False,0.3965,False,top-3 avg score 0.3965 < final_threshold 0.6
Tariff,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.3753; sequence_match=0.2857,False,0.3963,False,top-3 avg score 0.3963 < final_threshold 0.6
Measurement,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4773; levenshtein=0.0909; semantic=0.4980; sequence_match=0.2105,False,0.3953,False,top-3 avg score 0.3953 < final_threshold 0.6
Temporal entity,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4603; levenshtein=0.2143; semantic=0.4253; sequence_match=0.3000,False,0.3952,False,top-3 avg score 0.3952 < final_threshold 0.6
Actuator,Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3611; levenshtein=0.1250; semantic=0.5381; sequence_match=0.2857,False,0.395,False,top-3 avg score 0.3950 < final_threshold 0.6
FeatureOfInterest,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4810; levenshtein=0.1765; semantic=0.5190; sequence_match=0.1818,False,0.394,False,top-3 avg score 0.3940 < final_threshold 0.6
Time-based tariff,Chemical Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5987; levenshtein=0.1765; semantic=0.4048; sequence_match=0.1250,False,0.3933,False,top-3 avg score 0.3933 < final_threshold 0.6
Water infrastructure,Physical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5055; levenshtein=0.1579; semantic=0.5052; sequence_match=0.1667,False,0.3925,False,top-3 avg score 0.3925 < final_threshold 0.6
Tariff,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.1667; semantic=0.5374; sequence_match=0.1818,False,0.3916,False,top-3 avg score 0.3916 < final_threshold 0.6
Geometry,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4559; levenshtein=0.1176; semantic=0.4785; sequence_match=0.2400,False,0.3915,False,top-3 avg score 0.3915 < final_threshold 0.6
Sensor,Water Distribution Infrastructure,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5315; levenshtein=0.1290; semantic=0.5111; sequence_match=0.1081,False,0.3905,False,top-3 avg score 0.3905 < final_threshold 0.6
Water property,Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4658; levenshtein=0.1538; semantic=0.4953; sequence_match=0.2105,False,0.3905,False,top-3 avg score 0.3905 < final_threshold 0.6
Point,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.1250; semantic=0.5758; sequence_match=0.1538,False,0.3904,False,top-3 avg score 0.3904 < final_threshold 0.6
Temporal duration,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4514; levenshtein=0.2500; semantic=0.4428; sequence_match=0.2727,False,0.389,False,top-3 avg score 0.3890 < final_threshold 0.6
Water,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.0000; semantic=0.5269; sequence_match=0.1818,False,0.3881,False,top-3 avg score 0.3881 < final_threshold 0.6
Meter,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3392; levenshtein=0.1765; semantic=0.5501; sequence_match=0.2727,False,0.3874,False,top-3 avg score 0.3874 < final_threshold 0.6
ChemicalProperty,Sensor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4514; levenshtein=0.1875; semantic=0.5166; sequence_match=0.1818,False,0.3852,False,top-3 avg score 0.3852 < final_threshold 0.6
Geometry,Water Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.1429; semantic=0.4631; sequence_match=0.2727,False,0.3848,False,top-3 avg score 0.3848 < final_threshold 0.6
FeatureOfInterest,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4627; levenshtein=0.0588; semantic=0.5131; sequence_match=0.1765,False,0.3841,False,top-3 avg score 0.3841 < final_threshold 0.6
Sensor,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.1250; semantic=0.5745; sequence_match=0.1429,False,0.3826,False,top-3 avg score 0.3826 < final_threshold 0.6
Device,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4889; levenshtein=0.1333; semantic=0.4671; sequence_match=0.1905,False,0.3822,False,top-3 avg score 0.3822 < final_threshold 0.6
Acceptability property,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1429; semantic=0.5195; sequence_match=0.1481,False,0.3813,False,top-3 avg score 0.3813 < final_threshold 0.6
Tariff,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4556; levenshtein=0.2000; semantic=0.3962; sequence_match=0.2857,False,0.3792,False,top-3 avg score 0.3792 < final_threshold 0.6
FeatureOfInterest,Sensor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4477; levenshtein=0.1765; semantic=0.5124; sequence_match=0.1739,False,0.3789,False,top-3 avg score 0.3789 < final_threshold 0.6
ChemicalProperty,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.1875; semantic=0.4679; sequence_match=0.2500,False,0.3782,False,top-3 avg score 0.3782 < final_threshold 0.6
Key Performance Indicator,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4324; levenshtein=0.1304; semantic=0.4911; sequence_match=0.2069,False,0.3768,False,top-3 avg score 0.3768 < final_threshold 0.6
Water,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3392; levenshtein=0.1765; semantic=0.5177; sequence_match=0.2727,False,0.3765,False,top-3 avg score 0.3765 < final_threshold 0.6
Water meter,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4833; levenshtein=0.0000; semantic=0.4237; sequence_match=0.2222,False,0.3764,False,top-3 avg score 0.3764 < final_threshold 0.6
Temporal duration,Asset,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4847; levenshtein=0.1250; semantic=0.5160; sequence_match=0.0952,False,0.3752,False,top-3 avg score 0.3752 < final_threshold 0.6
Device,Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.5119; sequence_match=0.1667,False,0.3743,False,top-3 avg score 0.3743 < final_threshold 0.6
Tariff,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.5119; sequence_match=0.1667,False,0.3743,False,top-3 avg score 0.3743 < final_threshold 0.6
Acceptability property,Water Distribution Infrastructure,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5140; levenshtein=0.2258; semantic=0.3809; sequence_match=0.1923,False,0.3736,False,top-3 avg score 0.3736 < final_threshold 0.6
Water asset,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.5168; sequence_match=0.2222,False,0.3734,False,top-3 avg score 0.3734 < final_threshold 0.6
Meter,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.0968; semantic=0.4983; sequence_match=0.1667,False,0.3732,False,top-3 avg score 0.3732 < final_threshold 0.6
Geometry,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3946; levenshtein=0.0588; semantic=0.5486; sequence_match=0.1600,False,0.3677,False,top-3 avg score 0.3677 < final_threshold 0.6
Time-based tariff,Physical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.1176; semantic=0.4254; sequence_match=0.1250,False,0.3645,False,top-3 avg score 0.3645 < final_threshold 0.6
Water asset,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.4877; sequence_match=0.2222,False,0.3637,False,top-3 avg score 0.3637 < final_threshold 0.6
Point,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4556; levenshtein=0.1667; semantic=0.4523; sequence_match=0.1818,False,0.3632,False,top-3 avg score 0.3632 < final_threshold 0.6
Time-based tariff,Device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4556; levenshtein=0.1333; semantic=0.4345; sequence_match=0.1905,False,0.3602,False,top-3 avg score 0.3602 < final_threshold 0.6
FeatureOfInterest,Device,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4477; levenshtein=0.1765; semantic=0.4533; sequence_match=0.1739,False,0.3591,False,top-3 avg score 0.3591 < final_threshold 0.6
ChemicalProperty,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3417; levenshtein=0.1875; semantic=0.5442; sequence_match=0.1905,False,0.3588,False,top-3 avg score 0.3588 < final_threshold 0.6
Device,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3611; levenshtein=0.1250; semantic=0.5714; sequence_match=0.1429,False,0.3585,False,top-3 avg score 0.3585 < final_threshold 0.6
Water property,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3477; levenshtein=0.0588; semantic=0.5185; sequence_match=0.2000,False,0.3554,False,top-3 avg score 0.3554 < final_threshold 0.6
Device,Water Distribution Infrastructure,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4211; levenshtein=0.1290; semantic=0.5155; sequence_match=0.1081,False,0.3552,False,top-3 avg score 0.3552 < final_threshold 0.6
Meter,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.1250; semantic=0.4674; sequence_match=0.1538,False,0.3543,False,top-3 avg score 0.3543 < final_threshold 0.6
Temporal duration,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4097; levenshtein=0.1250; semantic=0.4713; sequence_match=0.1818,False,0.3543,False,top-3 avg score 0.3543 < final_threshold 0.6
Acceptability property,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.4036; sequence_match=0.2222,False,0.3541,False,top-3 avg score 0.3541 < final_threshold 0.6
Acceptability property,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.4716; sequence_match=0.1481,False,0.3521,False,top-3 avg score 0.3521 < final_threshold 0.6
Point,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.1000; semantic=0.4599; sequence_match=0.1333,False,0.3422,False,top-3 avg score 0.3422 < final_threshold 0.6
ChemicalProperty,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4592; levenshtein=0.1613; semantic=0.3958; sequence_match=0.1702,False,0.3417,False,top-3 avg score 0.3417 < final_threshold 0.6
Key Performance Indicator,Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4324; levenshtein=0.0870; semantic=0.4437; sequence_match=0.1379,False,0.338,False,top-3 avg score 0.3380 < final_threshold 0.6
Water property,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3477; levenshtein=0.0588; semantic=0.4565; sequence_match=0.2000,False,0.3347,False,top-3 avg score 0.3347 < final_threshold 0.6
Geometry,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3763; levenshtein=0.1290; semantic=0.4685; sequence_match=0.1538,False,0.3329,False,top-3 avg score 0.3329 < final_threshold 0.6
ChemicalProperty,Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4514; levenshtein=0.1250; semantic=0.3922; sequence_match=0.0909,False,0.3229,False,top-3 avg score 0.3229 < final_threshold 0.6
Key Performance Indicator,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3290; levenshtein=0.1304; semantic=0.4925; sequence_match=0.1429,False,0.3215,False,top-3 avg score 0.3215 < final_threshold 0.6
Tariff,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3170; levenshtein=0.1176; semantic=0.4725; sequence_match=0.1739,False,0.3211,False,top-3 avg score 0.3211 < final_threshold 0.6
Time-based tariff,Location,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4139; levenshtein=0.2000; semantic=0.3416; sequence_match=0.1739,False,0.3185,False,top-3 avg score 0.3185 < final_threshold 0.6
Tariff,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3170; levenshtein=0.1176; semantic=0.4458; sequence_match=0.1739,False,0.3122,False,top-3 avg score 0.3122 < final_threshold 0.6
Meter,Physical Indicator,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.1176; semantic=0.6189; sequence_match=0.1818,False,0.3061,False,top-3 avg score 0.3061 < final_threshold 0.6
Geometry,Tariff,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4834; sequence_match=0.2857,False,0.2564,False,top-3 avg score 0.2564 < final_threshold 0.6
Sensor,Tariff,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5372; sequence_match=0.1667,False,0.2346,False,top-3 avg score 0.2346 < final_threshold 0.6
Tariff,Sensor,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5372; sequence_match=0.1667,False,0.2346,False,top-3 avg score 0.2346 < final_threshold 0.6
