prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has License,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has Version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,is Developed By,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,uses platform,runs On Platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,has input,runs On Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5047; sequence_match=0.3636,False,0.4875,False,top-3 avg score 0.4875 < final_threshold 0.7
ObjectProperty,has specified data input,has Software Type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6615; levenshtein=0.3333; semantic=0.4669; sequence_match=0.3333,False,0.4873,False,top-3 avg score 0.4873 < final_threshold 0.7
ObjectProperty,has specified data output,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6404; levenshtein=0.3182; semantic=0.4909; sequence_match=0.3243,False,0.4852,False,top-3 avg score 0.4852 < final_threshold 0.7
ObjectProperty,has specified data output,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6379; levenshtein=0.2273; semantic=0.5031; sequence_match=0.3125,False,0.4845,False,top-3 avg score 0.4845 < final_threshold 0.7
ObjectProperty,uses platform,has Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.1667; semantic=0.5564; sequence_match=0.3636,False,0.4845,False,top-3 avg score 0.4845 < final_threshold 0.7
ObjectProperty,has format specification,performs Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6293; levenshtein=0.2727; semantic=0.4702; sequence_match=0.3529,False,0.4842,False,top-3 avg score 0.4842 < final_threshold 0.7
ObjectProperty,has specified data input,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2857; semantic=0.4851; sequence_match=0.3226,False,0.4838,False,top-3 avg score 0.4838 < final_threshold 0.7
ObjectProperty,has input,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.5144; sequence_match=0.3478,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.7
ObjectProperty,has format specification,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5775; levenshtein=0.2273; semantic=0.4923; sequence_match=0.3750,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.7
ObjectProperty,is alternative format of,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2917; semantic=0.4342; sequence_match=0.3556,False,0.4815,False,top-3 avg score 0.4815 < final_threshold 0.7
ObjectProperty,has clause,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5704; levenshtein=0.2000; semantic=0.5402; sequence_match=0.3333,False,0.4813,False,top-3 avg score 0.4813 < final_threshold 0.7
ObjectProperty,uses platform,has Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5308; levenshtein=0.1875; semantic=0.5559; sequence_match=0.3571,False,0.4813,False,top-3 avg score 0.4813 < final_threshold 0.7
ObjectProperty,has format specification,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5956; levenshtein=0.2273; semantic=0.5228; sequence_match=0.3243,False,0.4809,False,top-3 avg score 0.4809 < final_threshold 0.7
ObjectProperty,has license,has Export Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2000; semantic=0.5654; sequence_match=0.3200,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.7
ObjectProperty,is developed by,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5731; levenshtein=0.2000; semantic=0.5098; sequence_match=0.3571,False,0.48,False,top-3 avg score 0.4800 < final_threshold 0.7
ObjectProperty,has interface,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2500; semantic=0.5218; sequence_match=0.2778,False,0.478,False,top-3 avg score 0.4780 < final_threshold 0.7
ObjectProperty,implements,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.6399; sequence_match=0.2727,False,0.4727,False,top-3 avg score 0.4727 < final_threshold 0.7
ObjectProperty,is encoded in,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2105; semantic=0.5009; sequence_match=0.3333,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.7
ObjectProperty,is software for,uses Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5299; levenshtein=0.1538; semantic=0.4907; sequence_match=0.3846,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,has interface,implemented In Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.2381; semantic=0.5562; sequence_match=0.3636,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,has declared status,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.1579; semantic=0.3939; sequence_match=0.3889,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,has specified data output,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5868; levenshtein=0.2273; semantic=0.5223; sequence_match=0.2927,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.7
ObjectProperty,has format specification,compatible With Output Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5152; levenshtein=0.1818; semantic=0.5675; sequence_match=0.3182,False,0.467,False,top-3 avg score 0.4670 < final_threshold 0.7
ObjectProperty,uses software,is Developed By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5470; levenshtein=0.1538; semantic=0.5337; sequence_match=0.3200,False,0.4669,False,top-3 avg score 0.4669 < final_threshold 0.7
ObjectProperty,is encoded in,uses Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.5050; sequence_match=0.3333,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,uses software,performs Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.1667; semantic=0.5981; sequence_match=0.1667,False,0.4639,False,top-3 avg score 0.4639 < final_threshold 0.7
ObjectProperty,has version,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5275; levenshtein=0.2105; semantic=0.5099; sequence_match=0.3448,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.7
ObjectProperty,is software for,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6109; levenshtein=0.2632; semantic=0.4530; sequence_match=0.3125,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.7
ObjectProperty,has specified data input,compatible With Output Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5436; levenshtein=0.2273; semantic=0.5059; sequence_match=0.3256,False,0.4584,False,top-3 avg score 0.4584 < final_threshold 0.7
ObjectProperty,implements,has Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4708; levenshtein=0.2500; semantic=0.5951; sequence_match=0.3077,False,0.4579,False,top-3 avg score 0.4579 < final_threshold 0.7
ObjectProperty,has interface,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6301; levenshtein=0.2105; semantic=0.4837; sequence_match=0.2581,False,0.4573,False,top-3 avg score 0.4573 < final_threshold 0.7
ObjectProperty,is software for,performs Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.0769; semantic=0.5072; sequence_match=0.3200,False,0.4567,False,top-3 avg score 0.4567 < final_threshold 0.7
ObjectProperty,has clause,has Algorithm Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5213; levenshtein=0.2083; semantic=0.5453; sequence_match=0.3030,False,0.4566,False,top-3 avg score 0.4566 < final_threshold 0.7
ObjectProperty,has specified data input,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6021; levenshtein=0.2381; semantic=0.4883; sequence_match=0.2778,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.7
ObjectProperty,is alternative format of,compatible With Output Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5231; levenshtein=0.2273; semantic=0.4693; sequence_match=0.3721,False,0.4548,False,top-3 avg score 0.4548 < final_threshold 0.7
ObjectProperty,has specified data input,implemented In Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5613; levenshtein=0.1905; semantic=0.4681; sequence_match=0.3333,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.7
ObjectProperty,is alternative format of,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.1905; semantic=0.4672; sequence_match=0.3243,False,0.4529,False,top-3 avg score 0.4529 < final_threshold 0.7
ObjectProperty,is software for,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5094; levenshtein=0.2667; semantic=0.4889; sequence_match=0.3571,False,0.4518,False,top-3 avg score 0.4518 < final_threshold 0.7
ObjectProperty,uses software,has License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.1667; semantic=0.5953; sequence_match=0.1818,False,0.4516,False,top-3 avg score 0.4516 < final_threshold 0.7
ObjectProperty,is alternative format of,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2381; semantic=0.4476; sequence_match=0.2581,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.7
ObjectProperty,is alternative format of,uses Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5958; levenshtein=0.2857; semantic=0.3998; sequence_match=0.3529,False,0.4495,False,top-3 avg score 0.4495 < final_threshold 0.7
ObjectProperty,has clause,uses Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.1538; semantic=0.5744; sequence_match=0.2727,False,0.4493,False,top-3 avg score 0.4493 < final_threshold 0.7
ObjectProperty,is encoded in,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.1818; semantic=0.4505; sequence_match=0.2857,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.7
ObjectProperty,has version,is Developed By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4859; levenshtein=0.1538; semantic=0.5051; sequence_match=0.3478,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.7
ObjectProperty,is developed by,has Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4859; levenshtein=0.1538; semantic=0.5051; sequence_match=0.3478,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.7
ObjectProperty,has function,runs On Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4913; levenshtein=0.2143; semantic=0.5133; sequence_match=0.3200,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.7
ObjectProperty,has declared status,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6016; levenshtein=0.2500; semantic=0.3743; sequence_match=0.3415,False,0.4391,False,top-3 avg score 0.4391 < final_threshold 0.7
ObjectProperty,has version,uses Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6033; levenshtein=0.1538; semantic=0.5536; sequence_match=0.0870,False,0.4369,False,top-3 avg score 0.4369 < final_threshold 0.7
ObjectProperty,has output,uses Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5801; levenshtein=0.1538; semantic=0.5754; sequence_match=0.0909,False,0.4364,False,top-3 avg score 0.4364 < final_threshold 0.7
ObjectProperty,has function,uses Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5579; levenshtein=0.1538; semantic=0.5962; sequence_match=0.0833,False,0.436,False,top-3 avg score 0.4360 < final_threshold 0.7
ObjectProperty,has declared status,is Developed By,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5493; levenshtein=0.2941; semantic=0.3571; sequence_match=0.4000,False,0.4355,False,top-3 avg score 0.4355 < final_threshold 0.7
ObjectProperty,is developed by,implemented In Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5287; levenshtein=0.1905; semantic=0.4832; sequence_match=0.2941,False,0.4354,False,top-3 avg score 0.4354 < final_threshold 0.7
ObjectProperty,implements,compatible With Output Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4576; levenshtein=0.2273; semantic=0.5333; sequence_match=0.3125,False,0.4345,False,top-3 avg score 0.4345 < final_threshold 0.7
ObjectProperty,is software for,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5404; levenshtein=0.2105; semantic=0.4422; sequence_match=0.3125,False,0.4317,False,top-3 avg score 0.4317 < final_threshold 0.7
ObjectProperty,has input,compatible With Output Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.2273; semantic=0.5414; sequence_match=0.2667,False,0.4307,False,top-3 avg score 0.4307 < final_threshold 0.7
ObjectProperty,uses software,has Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.1250; semantic=0.5610; sequence_match=0.2143,False,0.4297,False,top-3 avg score 0.4297 < final_threshold 0.7
ObjectProperty,has interface,runs On Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2143; semantic=0.5212; sequence_match=0.2308,False,0.4279,False,top-3 avg score 0.4279 < final_threshold 0.7
ObjectProperty,has input,supports Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.2000; semantic=0.5142; sequence_match=0.2857,False,0.4277,False,top-3 avg score 0.4277 < final_threshold 0.7
ObjectProperty,uses platform,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.1333; semantic=0.4719; sequence_match=0.2222,False,0.4274,False,top-3 avg score 0.4274 < final_threshold 0.7
ObjectProperty,has license,uses Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5205; levenshtein=0.1538; semantic=0.5875; sequence_match=0.1739,False,0.4273,False,top-3 avg score 0.4273 < final_threshold 0.7
ObjectProperty,implements,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.1333; semantic=0.4973; sequence_match=0.2400,False,0.4272,False,top-3 avg score 0.4272 < final_threshold 0.7
ObjectProperty,has output,created Data In Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4971; levenshtein=0.1579; semantic=0.5677; sequence_match=0.2143,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.7
ObjectProperty,is encoded in,has Algorithm Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4876; levenshtein=0.2083; semantic=0.5054; sequence_match=0.2857,False,0.4263,False,top-3 avg score 0.4263 < final_threshold 0.7
ObjectProperty,uses software,supports Output Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2500; semantic=0.4439; sequence_match=0.3125,False,0.4262,False,top-3 avg score 0.4262 < final_threshold 0.7
ObjectProperty,has declared status,performs Task,jaro_winkler+sequence_match+semantic,jaro_winkler=0.4510; levenshtein=0.2941; semantic=0.4130; sequence_match=0.4138,False,0.4259,False,top-3 avg score 0.4259 < final_threshold 0.7
ObjectProperty,is developed by,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5103; levenshtein=0.1538; semantic=0.5058; sequence_match=0.2609,False,0.4256,False,top-3 avg score 0.4256 < final_threshold 0.7
ObjectProperty,has function,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3990; levenshtein=0.1667; semantic=0.7038; sequence_match=0.1739,False,0.4256,False,top-3 avg score 0.4256 < final_threshold 0.7
ObjectProperty,has input,created Data In Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4868; levenshtein=0.2105; semantic=0.4913; sequence_match=0.2963,False,0.4248,False,top-3 avg score 0.4248 < final_threshold 0.7
ObjectProperty,is software for,is Developed By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4551; levenshtein=0.2308; semantic=0.5098; sequence_match=0.3077,False,0.4242,False,top-3 avg score 0.4242 < final_threshold 0.7
ObjectProperty,has output,runs On Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5042; levenshtein=0.2143; semantic=0.5073; sequence_match=0.2609,False,0.4241,False,top-3 avg score 0.4241 < final_threshold 0.7
ObjectProperty,implements,runs On Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4857; levenshtein=0.1429; semantic=0.5344; sequence_match=0.2500,False,0.4234,False,top-3 avg score 0.4234 < final_threshold 0.7
ObjectProperty,is alternative format of,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.1905; semantic=0.4368; sequence_match=0.2778,False,0.4231,False,top-3 avg score 0.4231 < final_threshold 0.7
ObjectProperty,is encoded in,has Export Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4909; levenshtein=0.2000; semantic=0.5407; sequence_match=0.2308,False,0.4208,False,top-3 avg score 0.4208 < final_threshold 0.7
ObjectProperty,has version,runs On Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4786; levenshtein=0.1429; semantic=0.5326; sequence_match=0.2500,False,0.4204,False,top-3 avg score 0.4204 < final_threshold 0.7
ObjectProperty,has specified data input,supports Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4780; levenshtein=0.1429; semantic=0.4892; sequence_match=0.2927,False,0.42,False,top-3 avg score 0.4200 < final_threshold 0.7
ObjectProperty,is encoded in,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.0909; semantic=0.4839; sequence_match=0.1905,False,0.4197,False,top-3 avg score 0.4197 < final_threshold 0.7
ObjectProperty,is alternative format of,is Developed By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5287; levenshtein=0.2857; semantic=0.3756; sequence_match=0.3529,False,0.4191,False,top-3 avg score 0.4191 < final_threshold 0.7
ObjectProperty,has clause,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.0833; semantic=0.5387; sequence_match=0.1905,False,0.419,False,top-3 avg score 0.4190 < final_threshold 0.7
ObjectProperty,has specified data output,implemented In Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5102; levenshtein=0.1818; semantic=0.4670; sequence_match=0.2791,False,0.4188,False,top-3 avg score 0.4188 < final_threshold 0.7
ObjectProperty,has output,is Developed By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5214; levenshtein=0.0769; semantic=0.4601; sequence_match=0.2727,False,0.4181,False,top-3 avg score 0.4181 < final_threshold 0.7
ObjectProperty,has license,is Developed By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.4984; sequence_match=0.2609,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.7
ObjectProperty,is developed by,has License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.4984; sequence_match=0.2609,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.7
ObjectProperty,is alternative format of,implemented In Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5820; levenshtein=0.1905; semantic=0.3353; sequence_match=0.3333,False,0.4169,False,top-3 avg score 0.4169 < final_threshold 0.7
ObjectProperty,has specified data input,performs Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4960; levenshtein=0.2381; semantic=0.5164; sequence_match=0.1212,False,0.4169,False,top-3 avg score 0.4169 < final_threshold 0.7
ObjectProperty,has format specification,uses Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5523; levenshtein=0.1818; semantic=0.4670; sequence_match=0.2286,False,0.416,False,top-3 avg score 0.4160 < final_threshold 0.7
ObjectProperty,uses platform,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.4680; sequence_match=0.2778,False,0.4153,False,top-3 avg score 0.4153 < final_threshold 0.7
ObjectProperty,implements,is Developed By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.4984; sequence_match=0.2609,False,0.4151,False,top-3 avg score 0.4151 < final_threshold 0.7
ObjectProperty,uses platform,has License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5556; sequence_match=0.1818,False,0.4143,False,top-3 avg score 0.4143 < final_threshold 0.7
ObjectProperty,is developed by,uses Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5385; levenshtein=0.2308; semantic=0.4720; sequence_match=0.0769,False,0.4138,False,top-3 avg score 0.4138 < final_threshold 0.7
ObjectProperty,has specified data output,performs Task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4910; levenshtein=0.2273; semantic=0.5199; sequence_match=0.1176,False,0.4127,False,top-3 avg score 0.4127 < final_threshold 0.7
ObjectProperty,has specified data input,uses Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5269; levenshtein=0.1429; semantic=0.5652; sequence_match=0.0588,False,0.4116,False,top-3 avg score 0.4116 < final_threshold 0.7
ObjectProperty,is developed by,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5094; levenshtein=0.1333; semantic=0.4367; sequence_match=0.2857,False,0.4106,False,top-3 avg score 0.4106 < final_threshold 0.7
ObjectProperty,uses software,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5292; levenshtein=0.2105; semantic=0.4432; sequence_match=0.2581,False,0.4102,False,top-3 avg score 0.4102 < final_threshold 0.7
ObjectProperty,uses platform,is Developed By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5338; levenshtein=0.2308; semantic=0.4549; sequence_match=0.2400,False,0.4095,False,top-3 avg score 0.4095 < final_threshold 0.7
ObjectProperty,has output,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.1667; semantic=0.6204; sequence_match=0.1905,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.7
ObjectProperty,is developed by,has Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.1875; semantic=0.5141; sequence_match=0.2759,False,0.4086,False,top-3 avg score 0.4086 < final_threshold 0.7
ObjectProperty,has format specification,runs On Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5358; levenshtein=0.1818; semantic=0.4107; sequence_match=0.2778,False,0.4081,False,top-3 avg score 0.4081 < final_threshold 0.7
ObjectProperty,has input,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0833; semantic=0.5921; sequence_match=0.2000,False,0.4076,False,top-3 avg score 0.4076 < final_threshold 0.7
ObjectProperty,has license,implemented In Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4460; levenshtein=0.1905; semantic=0.5124; sequence_match=0.2581,False,0.4055,False,top-3 avg score 0.4055 < final_threshold 0.7
ObjectProperty,is encoded in,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4601; levenshtein=0.1333; semantic=0.4487; sequence_match=0.3077,False,0.4055,False,top-3 avg score 0.4055 < final_threshold 0.7
ObjectProperty,implements,has Algorithm Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4500; levenshtein=0.1250; semantic=0.5308; sequence_match=0.2353,False,0.4054,False,top-3 avg score 0.4054 < final_threshold 0.7
ObjectProperty,has interface,is Developed By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4637; levenshtein=0.0769; semantic=0.5119; sequence_match=0.2400,False,0.4052,False,top-3 avg score 0.4052 < final_threshold 0.7
ObjectProperty,uses platform,compatible With Output Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5386; levenshtein=0.1364; semantic=0.4399; sequence_match=0.2353,False,0.4046,False,top-3 avg score 0.4046 < final_threshold 0.7
ObjectProperty,has version,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5275; levenshtein=0.1579; semantic=0.4784; sequence_match=0.2069,False,0.4043,False,top-3 avg score 0.4043 < final_threshold 0.7
ObjectProperty,is alternative format of,performs Task,sequence_match+jaro_winkler+semantic,jaro_winkler=0.4183; levenshtein=0.2857; semantic=0.3701; sequence_match=0.4242,False,0.4042,False,top-3 avg score 0.4042 < final_threshold 0.7
ObjectProperty,has version,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5237; sequence_match=0.1818,False,0.4037,False,top-3 avg score 0.4037 < final_threshold 0.7
ObjectProperty,is alternative format of,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5349; levenshtein=0.2381; semantic=0.3528; sequence_match=0.3226,False,0.4034,False,top-3 avg score 0.4034 < final_threshold 0.7
ObjectProperty,has input,implemented In Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4802; levenshtein=0.1429; semantic=0.5208; sequence_match=0.2069,False,0.4026,False,top-3 avg score 0.4026 < final_threshold 0.7
ObjectProperty,is encoded in,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5242; levenshtein=0.0909; semantic=0.3912; sequence_match=0.2857,False,0.4004,False,top-3 avg score 0.4004 < final_threshold 0.7
ObjectProperty,is encoded in,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4909; levenshtein=0.1333; semantic=0.4791; sequence_match=0.2308,False,0.4003,False,top-3 avg score 0.4003 < final_threshold 0.7
ObjectProperty,has declared status,uses Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5493; levenshtein=0.2353; semantic=0.4150; sequence_match=0.1333,False,0.3998,False,top-3 avg score 0.3998 < final_threshold 0.7
ObjectProperty,has function,supports Input Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5649; levenshtein=0.1579; semantic=0.4759; sequence_match=0.1333,False,0.3996,False,top-3 avg score 0.3996 < final_threshold 0.7
ObjectProperty,is alternative format of,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.1429; semantic=0.3723; sequence_match=0.1935,False,0.3987,False,top-3 avg score 0.3987 < final_threshold 0.7
ObjectProperty,has specified data output,uses Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4760; levenshtein=0.1818; semantic=0.5356; sequence_match=0.0571,False,0.3978,False,top-3 avg score 0.3978 < final_threshold 0.7
ObjectProperty,has specified data output,runs On Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.4586; sequence_match=0.2778,False,0.3975,False,top-3 avg score 0.3975 < final_threshold 0.7
ObjectProperty,has specified data input,is Developed By,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5287; levenshtein=0.1429; semantic=0.4209; sequence_match=0.2353,False,0.395,False,top-3 avg score 0.3950 < final_threshold 0.7
ObjectProperty,has interface,uses Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4671; levenshtein=0.1538; semantic=0.5625; sequence_match=0.0800,False,0.3945,False,top-3 avg score 0.3945 < final_threshold 0.7
ObjectProperty,is software for,has Version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4949; levenshtein=0.2308; semantic=0.4538; sequence_match=0.1739,False,0.3931,False,top-3 avg score 0.3931 < final_threshold 0.7
ObjectProperty,has input,uses Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.1538; semantic=0.5982; sequence_match=0.0952,False,0.3921,False,top-3 avg score 0.3921 < final_threshold 0.7
