gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
VintageYear,Vintage Year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineColor,Wine Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,Good Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8788; levenshtein=0.6364; semantic=0.8444; sequence_match=0.7778,False,0.8337,True,selected
WineTaste,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5285; sequence_match=0.2500,False,0.427,False,top-3 avg score 0.4270 < final_threshold 0.6
WineSugar,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.0000; semantic=0.6953; sequence_match=0.1429,False,0.4251,False,top-3 avg score 0.4251 < final_threshold 0.6
RedBordeaux,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5108; levenshtein=0.1667; semantic=0.5503; sequence_match=0.2069,False,0.4227,False,top-3 avg score 0.4227 < final_threshold 0.6
RedBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.6875; sequence_match=0.1333,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
RedWine,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.5428; sequence_match=0.2857,False,0.4217,False,top-3 avg score 0.4217 < final_threshold 0.6
WineBody,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.0000; semantic=0.6678; sequence_match=0.1538,False,0.4211,False,top-3 avg score 0.4211 < final_threshold 0.6
WhiteBordeaux,Good Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5023; levenshtein=0.0769; semantic=0.5074; sequence_match=0.2500,False,0.4199,False,top-3 avg score 0.4199 < final_threshold 0.6
WhiteBordeaux,Grape,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4256; levenshtein=0.1538; semantic=0.6751; sequence_match=0.1111,False,0.4182,False,top-3 avg score 0.4182 < final_threshold 0.6
WineFlavor,Good Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4212; levenshtein=0.0000; semantic=0.5386; sequence_match=0.2857,False,0.4152,False,top-3 avg score 0.4152 < final_threshold 0.6
WineColor,Good Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4242; levenshtein=0.0000; semantic=0.5052; sequence_match=0.3000,False,0.4098,False,top-3 avg score 0.4098 < final_threshold 0.6
WhiteWine,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.1111; semantic=0.6487; sequence_match=0.1429,False,0.4095,False,top-3 avg score 0.4095 < final_threshold 0.6
WineColor,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.0000; semantic=0.6475; sequence_match=0.1429,False,0.4091,False,top-3 avg score 0.4091 < final_threshold 0.6
Bordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.0000; semantic=0.5736; sequence_match=0.2353,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
WineBody,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.5269; sequence_match=0.2667,False,0.4054,False,top-3 avg score 0.4054 < final_threshold 0.6
wine,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5646; sequence_match=0.1818,False,0.4036,False,top-3 avg score 0.4036 < final_threshold 0.6
RedBordeaux,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4680; levenshtein=0.0000; semantic=0.5378; sequence_match=0.2000,False,0.4019,False,top-3 avg score 0.4019 < final_threshold 0.6
WineDescriptor,Good Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4706; levenshtein=0.1429; semantic=0.4915; sequence_match=0.2400,False,0.4007,False,top-3 avg score 0.4007 < final_threshold 0.6
RedWine,Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5488; sequence_match=0.1818,False,0.3983,False,top-3 avg score 0.3983 < final_threshold 0.6
Region,Wine Color,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5370; levenshtein=0.2222; semantic=0.4353; sequence_match=0.1333,False,0.3982,False,top-3 avg score 0.3982 < final_threshold 0.6
WineFlavor,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3667; levenshtein=0.1000; semantic=0.6799; sequence_match=0.1333,False,0.3933,False,top-3 avg score 0.3933 < final_threshold 0.6
WhiteBordeaux,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.0714; semantic=0.5150; sequence_match=0.1481,False,0.3923,False,top-3 avg score 0.3923 < final_threshold 0.6
Vintage,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.0000; semantic=0.5957; sequence_match=0.1429,False,0.389,False,top-3 avg score 0.3890 < final_threshold 0.6
WhiteWine,Vintage Quality,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5042; levenshtein=0.2143; semantic=0.4414; sequence_match=0.1739,False,0.3866,False,top-3 avg score 0.3866 < final_threshold 0.6
Region,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4630; levenshtein=0.1667; semantic=0.4453; sequence_match=0.2500,False,0.3861,False,top-3 avg score 0.3861 < final_threshold 0.6
Region,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.5108; sequence_match=0.2000,False,0.3851,False,top-3 avg score 0.3851 < final_threshold 0.6
RedBordeaux,Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2879; levenshtein=0.0909; semantic=0.5926; sequence_match=0.2727,False,0.3844,False,top-3 avg score 0.3844 < final_threshold 0.6
Region,Good Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.0909; semantic=0.4414; sequence_match=0.1176,False,0.3842,False,top-3 avg score 0.3842 < final_threshold 0.6
Region,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4841; levenshtein=0.1429; semantic=0.4597; sequence_match=0.2000,False,0.3813,False,top-3 avg score 0.3813 < final_threshold 0.6
Bordeaux,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.1429; semantic=0.5424; sequence_match=0.1818,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
WineDescriptor,Grape,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4238; levenshtein=0.1429; semantic=0.5716; sequence_match=0.1053,False,0.3794,False,top-3 avg score 0.3794 < final_threshold 0.6
WineGrape,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.0000; semantic=0.5828; sequence_match=0.1250,False,0.3753,False,top-3 avg score 0.3753 < final_threshold 0.6
VintageYear,Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.5440; sequence_match=0.1333,False,0.3748,False,top-3 avg score 0.3748 < final_threshold 0.6
RedWine,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.0000; semantic=0.5465; sequence_match=0.1429,False,0.3726,False,top-3 avg score 0.3726 < final_threshold 0.6
WineDescriptor,Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4762; levenshtein=0.1429; semantic=0.4385; sequence_match=0.1905,False,0.3684,False,top-3 avg score 0.3684 < final_threshold 0.6
RedBordeaux,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3846; levenshtein=0.0714; semantic=0.5493; sequence_match=0.1600,False,0.3646,False,top-3 avg score 0.3646 < final_threshold 0.6
Bordeaux,Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3106; levenshtein=0.0909; semantic=0.5712; sequence_match=0.2105,False,0.3641,False,top-3 avg score 0.3641 < final_threshold 0.6
Bordeaux,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4028; levenshtein=0.1111; semantic=0.5328; sequence_match=0.1538,False,0.3631,False,top-3 avg score 0.3631 < final_threshold 0.6
WineFlavor,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4143; levenshtein=0.0000; semantic=0.5434; sequence_match=0.1176,False,0.3584,False,top-3 avg score 0.3584 < final_threshold 0.6
Region,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4798; levenshtein=0.0909; semantic=0.4760; sequence_match=0.1176,False,0.3578,False,top-3 avg score 0.3578 < final_threshold 0.6
Bordeaux,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.1111; semantic=0.5367; sequence_match=0.1176,False,0.3555,False,top-3 avg score 0.3555 < final_threshold 0.6
RedBordeaux,Good Vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4091; levenshtein=0.0909; semantic=0.5572; sequence_match=0.0909,False,0.3524,False,top-3 avg score 0.3524 < final_threshold 0.6
WineColor,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.0000; semantic=0.4955; sequence_match=0.1250,False,0.3462,False,top-3 avg score 0.3462 < final_threshold 0.6
Zinfandel,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4950; sequence_match=0.1250,False,0.346,False,top-3 avg score 0.3460 < final_threshold 0.6
WineDescriptor,Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4405; levenshtein=0.0714; semantic=0.4590; sequence_match=0.1111,False,0.3369,False,top-3 avg score 0.3369 < final_threshold 0.6
VintageYear,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3225; levenshtein=0.0909; semantic=0.5518; sequence_match=0.1111,False,0.3285,False,top-3 avg score 0.3285 < final_threshold 0.6
WineSugar,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3360; levenshtein=0.1111; semantic=0.5213; sequence_match=0.1250,False,0.3274,False,top-3 avg score 0.3274 < final_threshold 0.6
WhiteWine,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3360; levenshtein=0.0000; semantic=0.5027; sequence_match=0.1250,False,0.3212,False,top-3 avg score 0.3212 < final_threshold 0.6
WineColor,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.1111; semantic=0.4833; sequence_match=0.1538,False,0.2494,False,top-3 avg score 0.2494 < final_threshold 0.6
Zinfandel,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.1111; semantic=0.4756; sequence_match=0.1538,False,0.2468,False,top-3 avg score 0.2468 < final_threshold 0.6
Region,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5090; sequence_match=0.2000,False,0.2363,False,top-3 avg score 0.2363 < final_threshold 0.6
WineFlavor,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4833; sequence_match=0.1429,False,0.2087,False,top-3 avg score 0.2087 < final_threshold 0.6
Region,Bouquet,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4716; sequence_match=0.1538,False,0.2085,False,top-3 avg score 0.2085 < final_threshold 0.6
Vintage,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5810; sequence_match=0.0000,False,0.1937,False,top-3 avg score 0.1937 < final_threshold 0.6
wine,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5584; sequence_match=0.0000,False,0.1861,False,top-3 avg score 0.1861 < final_threshold 0.6
WineGrape,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5376; sequence_match=0.0000,False,0.1792,False,top-3 avg score 0.1792 < final_threshold 0.6
WineTaste,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5149; sequence_match=0.0000,False,0.1716,False,top-3 avg score 0.1716 < final_threshold 0.6
WineSugar,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4834; sequence_match=0.0000,False,0.1611,False,top-3 avg score 0.1611 < final_threshold 0.6
WhiteWine,Body,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4313; sequence_match=0.0000,False,0.1438,False,top-3 avg score 0.1438 < final_threshold 0.6
