role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has fabrication number,hasfabricationnumber,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9093; sequence_match=1.0000,True,1.0000,True,selected
property,has manufacturer,hasmanufacturer,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9571; sequence_match=1.0000,True,1.0000,True,selected
property,has model,hasmodel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9241; sequence_match=1.0000,True,1.0000,True,selected
property,has firmware version,hasfirmwareversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9377; sequence_match=1.0000,True,1.0000,True,selected
property,has billing date,hasbillingdate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9337; sequence_match=1.0000,True,1.0000,True,selected
property,has billing period,hasbillingdateperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9350; levenshtein=0.8000; semantic=0.8775; sequence_match=0.8889,False,0.9005,True,selected
property,has measurement,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.4914; sequence_match=0.4348,False,0.5213,False,top-3 avg score 0.5213 < final_threshold 0.6
property,has version,isusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.4774; sequence_match=0.4444,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.6
property,has firmware version,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.4882; sequence_match=0.4444,False,0.5199,False,top-3 avg score 0.5199 < final_threshold 0.6
property,has period,hasbillingdate,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5636; sequence_match=0.3478,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.6
property,has duration,hashardwareversionnumber,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6940; levenshtein=0.3333; semantic=0.4053; sequence_match=0.4571,False,0.5188,False,top-3 avg score 0.5188 < final_threshold 0.6
property,has billing date,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4746; sequence_match=0.4286,False,0.5180,False,top-3 avg score 0.5180 < final_threshold 0.6
property,has duration,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5113; sequence_match=0.4211,False,0.5179,False,top-3 avg score 0.5179 < final_threshold 0.6
property,has duration,usedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.4877; sequence_match=0.4706,False,0.5172,False,top-3 avg score 0.5172 < final_threshold 0.6
property,has version,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5986; sequence_match=0.3333,False,0.5170,False,top-3 avg score 0.5170 < final_threshold 0.6
property,hasgeometry,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6534; levenshtein=0.3333; semantic=0.5125; sequence_match=0.3846,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.6
property,has timestamp,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5385; sequence_match=0.4000,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.6
property,has billing period,hasfabricationnumber,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.4074; sequence_match=0.5000,False,0.5163,False,top-3 avg score 0.5163 < final_threshold 0.6
property,has property,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5460; sequence_match=0.4000,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.6
property,has timestamp,hastariffperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.3333; semantic=0.4499; sequence_match=0.4444,False,0.5148,False,top-3 avg score 0.5148 < final_threshold 0.6
property,has manufacturer,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6556; levenshtein=0.2667; semantic=0.4724; sequence_match=0.4138,False,0.5139,False,top-3 avg score 0.5139 < final_threshold 0.6
property,has firmware version,hasbillingdate,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5820; levenshtein=0.2222; semantic=0.5833; sequence_match=0.3750,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.6
property,has property,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4948; sequence_match=0.4211,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.6
property,has property,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5707; levenshtein=0.3333; semantic=0.5493; sequence_match=0.4138,False,0.5113,False,top-3 avg score 0.5113 < final_threshold 0.6
property,has period,duration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.6142; sequence_match=0.3529,False,0.5107,False,top-3 avg score 0.5107 < final_threshold 0.6
property,has manufacturer,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5077; sequence_match=0.4348,False,0.5105,False,top-3 avg score 0.5105 < final_threshold 0.6
property,has key performance indicator,hasgeolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.4481; sequence_match=0.4500,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
property,has key performance indicator,hastariffperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6863; levenshtein=0.2692; semantic=0.4545; sequence_match=0.3902,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
property,has version,measures,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.4444; sequence_match=0.4444,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.6
property,has billing date,hastemporalsetting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6566; levenshtein=0.2222; semantic=0.4358; sequence_match=0.4375,False,0.5100,False,top-3 avg score 0.5100 < final_threshold 0.6
property,has duration,startdatetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5821; levenshtein=0.3077; semantic=0.5309; sequence_match=0.4167,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.6
property,has duration,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4847; sequence_match=0.4211,False,0.5090,False,top-3 avg score 0.5090 < final_threshold 0.6
property,has manufacturer,haschemicalproperty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6310; levenshtein=0.3158; semantic=0.4247; sequence_match=0.4706,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
property,has model,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3158; semantic=0.4473; sequence_match=0.4444,False,0.5083,False,top-3 avg score 0.5083 < final_threshold 0.6
property,has key performance indicator,hastemporalsetting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.3855; sequence_match=0.5000,False,0.5079,False,top-3 avg score 0.5079 < final_threshold 0.6
property,has version,hasmanufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2000; semantic=0.5672; sequence_match=0.4000,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.6
property,has billing period,hasfirmwareversion,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6065; levenshtein=0.4444; semantic=0.4361; sequence_match=0.4706,False,0.5072,False,top-3 avg score 0.5072 < final_threshold 0.6
property,has property,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5596; levenshtein=0.2500; semantic=0.5084; sequence_match=0.4516,False,0.5065,False,top-3 avg score 0.5065 < final_threshold 0.6
property,has duration,isusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.4718; sequence_match=0.4211,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
property,has start timestamp,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2353; semantic=0.4785; sequence_match=0.4000,False,0.5061,False,top-3 avg score 0.5061 < final_threshold 0.6
property,has timestamp,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.3571; semantic=0.5458; sequence_match=0.3846,False,0.5059,False,top-3 avg score 0.5059 < final_threshold 0.6
property,has hardware version,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6370; levenshtein=0.2778; semantic=0.4911; sequence_match=0.3889,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.6
property,has start timestamp,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5896; levenshtein=0.2353; semantic=0.5395; sequence_match=0.3871,False,0.5054,False,top-3 avg score 0.5054 < final_threshold 0.6
property,hasgeometry,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6674; levenshtein=0.3000; semantic=0.4617; sequence_match=0.3871,False,0.5054,False,top-3 avg score 0.5054 < final_threshold 0.6
property,has timestamp,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.5407; sequence_match=0.3846,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.6
property,has manufacturer,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6213; levenshtein=0.3333; semantic=0.4764; sequence_match=0.4103,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.6
property,has hardware version,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6391; levenshtein=0.3158; semantic=0.4330; sequence_match=0.4324,False,0.5015,False,top-3 avg score 0.5015 < final_threshold 0.6
property,has key performance indicator,hasfabricationnumber,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6645; levenshtein=0.2692; semantic=0.4050; sequence_match=0.4348,False,0.5014,False,top-3 avg score 0.5014 < final_threshold 0.6
property,has billing period,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.4475; sequence_match=0.4118,False,0.5014,False,top-3 avg score 0.5014 < final_threshold 0.6
property,has firmware version,hastemporalsetting,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6801; levenshtein=0.3333; semantic=0.4878; sequence_match=0.2778,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.6
property,has start timestamp,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.2353; semantic=0.4897; sequence_match=0.3750,False,0.5001,False,top-3 avg score 0.5001 < final_threshold 0.6
property,has model,hasfabricationnumber,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5667; levenshtein=0.2500; semantic=0.5763; sequence_match=0.3571,False,0.5000,False,top-3 avg score 0.5000 < final_threshold 0.6
property,has key performance indicator,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6195; levenshtein=0.2692; semantic=0.5249; sequence_match=0.3529,False,0.4991,False,top-3 avg score 0.4991 < final_threshold 0.6
property,has measurement,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.2500; semantic=0.5062; sequence_match=0.3529,False,0.4991,False,top-3 avg score 0.4991 < final_threshold 0.6
property,hasgeometry,hashardwareversionnumber,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5951; levenshtein=0.2500; semantic=0.4444; sequence_match=0.4571,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.6
property,requires power,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5365; levenshtein=0.3077; semantic=0.4831; sequence_match=0.4762,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.6
property,hasgeometry,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6553; levenshtein=0.2727; semantic=0.4767; sequence_match=0.3636,False,0.4985,False,top-3 avg score 0.4985 < final_threshold 0.6
property,hasgeometry,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.2143; semantic=0.4921; sequence_match=0.4000,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.6
property,has period,hashardwareversionnumber,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6574; levenshtein=0.2917; semantic=0.4113; sequence_match=0.4242,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.6
property,has fabrication number,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5583; levenshtein=0.3000; semantic=0.5053; sequence_match=0.4286,False,0.4974,False,top-3 avg score 0.4974 < final_threshold 0.6
property,has start timestamp,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6394; levenshtein=0.2222; semantic=0.5088; sequence_match=0.3429,False,0.4970,False,top-3 avg score 0.4970 < final_threshold 0.6
property,has period,usedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4798; sequence_match=0.4000,False,0.4970,False,top-3 avg score 0.4970 < final_threshold 0.6
property,operates at radio frequency,providesmeasurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6715; levenshtein=0.2917; semantic=0.4459; sequence_match=0.3721,False,0.4965,False,top-3 avg score 0.4965 < final_threshold 0.6
property,has billing date,hastariffperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6079; levenshtein=0.2000; semantic=0.4672; sequence_match=0.4138,False,0.4963,False,top-3 avg score 0.4963 < final_threshold 0.6
property,has firmware version,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6694; levenshtein=0.3158; semantic=0.4406; sequence_match=0.3784,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.6
property,has manufacturer,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.4412; sequence_match=0.4167,False,0.4958,False,top-3 avg score 0.4958 < final_threshold 0.6
property,has measurement,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.2917; semantic=0.4347; sequence_match=0.4211,False,0.4942,False,top-3 avg score 0.4942 < final_threshold 0.6
property,has duration,hasmanufacturer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6058; levenshtein=0.4000; semantic=0.4735; sequence_match=0.3846,False,0.4931,False,top-3 avg score 0.4931 < final_threshold 0.6
property,has hardware version,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2222; semantic=0.4599; sequence_match=0.3846,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.6
property,has key performance indicator,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5976; levenshtein=0.2692; semantic=0.4404; sequence_match=0.4390,False,0.4924,False,top-3 avg score 0.4924 < final_threshold 0.6
property,has version,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6379; levenshtein=0.2273; semantic=0.5239; sequence_match=0.3125,False,0.4914,False,top-3 avg score 0.4914 < final_threshold 0.6
property,has property,hasbillingdate,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5372; levenshtein=0.2857; semantic=0.6156; sequence_match=0.3200,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.6
property,has hardware version,startdatetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5616; levenshtein=0.3333; semantic=0.4587; sequence_match=0.4516,False,0.4907,False,top-3 avg score 0.4907 < final_threshold 0.6
property,has model,hastariffperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.4470; sequence_match=0.4348,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.6
property,has model,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5469; sequence_match=0.3529,False,0.4897,False,top-3 avg score 0.4897 < final_threshold 0.6
property,has model,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2500; semantic=0.4804; sequence_match=0.3571,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
property,has measurement,isusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5073; sequence_match=0.3636,False,0.4883,False,top-3 avg score 0.4883 < final_threshold 0.6
property,has billing date,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5820; levenshtein=0.2222; semantic=0.5032; sequence_match=0.3750,False,0.4867,False,top-3 avg score 0.4867 < final_threshold 0.6
property,has key performance indicator,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6271; levenshtein=0.2692; semantic=0.4387; sequence_match=0.3913,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.6
property,requires power,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6079; levenshtein=0.2273; semantic=0.5054; sequence_match=0.3429,False,0.4854,False,top-3 avg score 0.4854 < final_threshold 0.6
property,has period,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6556; levenshtein=0.3000; semantic=0.4556; sequence_match=0.3448,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.6
property,has key performance indicator,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2692; semantic=0.4583; sequence_match=0.3333,False,0.4852,False,top-3 avg score 0.4852 < final_threshold 0.6
property,has timestamp,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2667; semantic=0.5067; sequence_match=0.3704,False,0.4850,False,top-3 avg score 0.4850 < final_threshold 0.6
property,has model,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2083; semantic=0.5304; sequence_match=0.3125,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.6
property,has timestamp,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.4952; sequence_match=0.3333,False,0.4845,False,top-3 avg score 0.4845 < final_threshold 0.6
property,has billing period,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6240; levenshtein=0.3750; semantic=0.4286; sequence_match=0.4000,False,0.4842,False,top-3 avg score 0.4842 < final_threshold 0.6
property,has key performance indicator,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.3077; semantic=0.4338; sequence_match=0.3636,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.6
property,makes measurement,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5528; levenshtein=0.1875; semantic=0.5075; sequence_match=0.3871,False,0.4825,False,top-3 avg score 0.4825 < final_threshold 0.6
property,has duration,providesmeasurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5911; levenshtein=0.1579; semantic=0.5229; sequence_match=0.3333,False,0.4825,False,top-3 avg score 0.4825 < final_threshold 0.6
property,hasgeometry,hastariffperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.2667; semantic=0.4677; sequence_match=0.3846,False,0.4818,False,top-3 avg score 0.4818 < final_threshold 0.6
property,has billing date,startdatetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.0714; semantic=0.5365; sequence_match=0.3704,False,0.4812,False,top-3 avg score 0.4812 < final_threshold 0.6
property,requires power,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6197; levenshtein=0.2222; semantic=0.5652; sequence_match=0.2581,False,0.4810,False,top-3 avg score 0.4810 < final_threshold 0.6
property,has fabrication number,haschemicalproperty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5884; levenshtein=0.3000; semantic=0.3901; sequence_match=0.4615,False,0.4800,False,top-3 avg score 0.4800 < final_threshold 0.6
property,hasgeometry,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5598; levenshtein=0.1818; semantic=0.5639; sequence_match=0.3158,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.6
property,has timestamp,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.4892; sequence_match=0.4000,False,0.4788,False,top-3 avg score 0.4788 < final_threshold 0.6
property,has hardware version,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5820; levenshtein=0.1667; semantic=0.5415; sequence_match=0.3125,False,0.4787,False,top-3 avg score 0.4787 < final_threshold 0.6
property,has fabrication number,startdatetime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5885; levenshtein=0.3500; semantic=0.4211; sequence_match=0.4242,False,0.4779,False,top-3 avg score 0.4779 < final_threshold 0.6
property,has firmware version,providesmeasurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6088; levenshtein=0.1579; semantic=0.5000; sequence_match=0.3243,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.6
property,has start timestamp,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5896; levenshtein=0.2941; semantic=0.5186; sequence_match=0.3226,False,0.4769,False,top-3 avg score 0.4769 < final_threshold 0.6
property,has billing period,haschemicalproperty,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6047; levenshtein=0.3684; semantic=0.3643; sequence_match=0.4571,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.6
property,hasgeometry,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6275; levenshtein=0.3333; semantic=0.4579; sequence_match=0.3448,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.6
property,has model,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4699; sequence_match=0.3750,False,0.4761,False,top-3 avg score 0.4761 < final_threshold 0.6
property,has start timestamp,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2353; semantic=0.4544; sequence_match=0.4000,False,0.4758,False,top-3 avg score 0.4758 < final_threshold 0.6
property,has firmware version,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2222; semantic=0.4583; sequence_match=0.3846,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.6
property,has fabrication number,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2727; semantic=0.3983; sequence_match=0.3810,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.6
property,has manufacturer,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5968; levenshtein=0.3333; semantic=0.3599; sequence_match=0.4667,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.6
property,requires power,version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5485; sequence_match=0.2000,False,0.4742,False,top-3 avg score 0.4742 < final_threshold 0.6
property,has start timestamp,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2353; semantic=0.5281; sequence_match=0.3200,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.6
property,has period,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.4932; sequence_match=0.4167,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.6
property,makes measurement,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6269; levenshtein=0.2222; semantic=0.4412; sequence_match=0.3529,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.6
property,has version,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6419; levenshtein=0.2632; semantic=0.4337; sequence_match=0.3448,False,0.4735,False,top-3 avg score 0.4735 < final_threshold 0.6
property,has property,providesmeasurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5093; levenshtein=0.2105; semantic=0.5062; sequence_match=0.4000,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
property,makes measurement,isusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.2500; semantic=0.5027; sequence_match=0.3333,False,0.4717,False,top-3 avg score 0.4717 < final_threshold 0.6
property,applies to,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.4880; sequence_match=0.3529,False,0.4701,False,top-3 avg score 0.4701 < final_threshold 0.6
property,has property,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5951; levenshtein=0.2500; semantic=0.4719; sequence_match=0.3429,False,0.4699,False,top-3 avg score 0.4699 < final_threshold 0.6
property,has fabrication number,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.5221; sequence_match=0.2963,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.6
property,has billing period,hasmodel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5792; levenshtein=0.2500; semantic=0.4104; sequence_match=0.4167,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.6
property,applies to,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.4707; sequence_match=0.3478,False,0.4686,False,top-3 avg score 0.4686 < final_threshold 0.6
property,has start timestamp,hashardwareversionnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5683; levenshtein=0.2917; semantic=0.4469; sequence_match=0.3902,False,0.4685,False,top-3 avg score 0.4685 < final_threshold 0.6
property,has period,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.4870; sequence_match=0.3529,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.6
property,has duration,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.4504; sequence_match=0.3333,False,0.4681,False,top-3 avg score 0.4681 < final_threshold 0.6
property,has manufacturer,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6232; levenshtein=0.3182; semantic=0.4008; sequence_match=0.3784,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.6
property,has timestamp,haschemicalproperty,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6542; levenshtein=0.2632; semantic=0.4848; sequence_match=0.2581,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.6
property,has fabrication number,duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5722; levenshtein=0.3000; semantic=0.4011; sequence_match=0.4286,False,0.4673,False,top-3 avg score 0.4673 < final_threshold 0.6
property,has key performance indicator,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6394; levenshtein=0.2308; semantic=0.4066; sequence_match=0.3556,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.6
property,has timestamp,duration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5417; levenshtein=0.0833; semantic=0.5591; sequence_match=0.3000,False,0.4669,False,top-3 avg score 0.4669 < final_threshold 0.6
property,has manufacturer,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5611; levenshtein=0.3500; semantic=0.4385; sequence_match=0.4000,False,0.4665,False,top-3 avg score 0.4665 < final_threshold 0.6
