prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,obligation,has obligation,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9503; sequence_match=0.8696,False,0.881,True,selected
ObjectProperty,Only One,is condition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.4156; sequence_match=0.4000,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.7
ObjectProperty,operator,is obligation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.4831; sequence_match=0.3636,False,0.4806,False,top-3 avg score 0.4806 < final_threshold 0.7
ObjectProperty,action,has exclusive permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5455; levenshtein=0.2273; semantic=0.5370; sequence_match=0.3571,False,0.4799,False,top-3 avg score 0.4799 < final_threshold 0.7
ObjectProperty,action,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6245; levenshtein=0.2069; semantic=0.4719; sequence_match=0.3429,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,operator,has obligation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.3077; semantic=0.5389; sequence_match=0.3810,False,0.4797,False,top-3 avg score 0.4797 < final_threshold 0.7
ObjectProperty,obligation,has logical constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6083; levenshtein=0.2500; semantic=0.5633; sequence_match=0.2667,False,0.4794,False,top-3 avg score 0.4794 < final_threshold 0.7
ObjectProperty,assignee,has exclusive permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6187; levenshtein=0.2273; semantic=0.4860; sequence_match=0.3333,False,0.4793,False,top-3 avg score 0.4793 < final_threshold 0.7
ObjectProperty,permission,has condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.2500; semantic=0.5685; sequence_match=0.3636,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.7
ObjectProperty,assignee,is consequence duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.5060; sequence_match=0.2963,False,0.4784,False,top-3 avg score 0.4784 < final_threshold 0.7
ObjectProperty,inheritRelation,is constraint set of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6516; levenshtein=0.2941; semantic=0.4703; sequence_match=0.3125,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.7
ObjectProperty,relation,is party of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5115; sequence_match=0.3529,False,0.478,False,top-3 avg score 0.4780 < final_threshold 0.7
ObjectProperty,relation,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5274; levenshtein=0.2143; semantic=0.6338; sequence_match=0.2727,False,0.478,False,top-3 avg score 0.4780 < final_threshold 0.7
ObjectProperty,partOf,has operator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5101; levenshtein=0.3636; semantic=0.4521; sequence_match=0.4706,False,0.4776,False,top-3 avg score 0.4776 < final_threshold 0.7
ObjectProperty,scope,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.5370; sequence_match=0.3333,False,0.4774,False,top-3 avg score 0.4774 < final_threshold 0.7
ObjectProperty,action,has logical constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2000; semantic=0.4964; sequence_match=0.3077,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.7
ObjectProperty,assignee,has duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.6529; sequence_match=0.2667,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,obligation,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2500; semantic=0.4957; sequence_match=0.3636,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,assigner,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.2778; semantic=0.4790; sequence_match=0.3846,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.7
ObjectProperty,scope,has exclusive permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5773; levenshtein=0.1818; semantic=0.5573; sequence_match=0.2963,False,0.477,False,top-3 avg score 0.4770 < final_threshold 0.7
ObjectProperty,or,has constraint set,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7083; levenshtein=0.1250; semantic=0.4993; sequence_match=0.2222,False,0.4766,False,top-3 avg score 0.4766 < final_threshold 0.7
ObjectProperty,target,has constraint set,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5098; sequence_match=0.3636,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,function,is consequence duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5775; levenshtein=0.2632; semantic=0.4807; sequence_match=0.3704,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.7
ObjectProperty,Only One,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.4730; sequence_match=0.4286,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.7
ObjectProperty,scope,is permission of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.1429; semantic=0.5043; sequence_match=0.3158,False,0.4749,False,top-3 avg score 0.4749 < final_threshold 0.7
ObjectProperty,assigner,is permission of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6151; levenshtein=0.2857; semantic=0.4460; sequence_match=0.3636,False,0.4749,False,top-3 avg score 0.4749 < final_threshold 0.7
ObjectProperty,partOf,is prohibition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5611; levenshtein=0.2667; semantic=0.3874; sequence_match=0.4762,False,0.4749,False,top-3 avg score 0.4749 < final_threshold 0.7
ObjectProperty,assigner,has policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.5007; sequence_match=0.3529,False,0.4744,False,top-3 avg score 0.4744 < final_threshold 0.7
ObjectProperty,assignee,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5580; sequence_match=0.3158,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.7
ObjectProperty,operand,has permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.2308; semantic=0.5614; sequence_match=0.4000,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.7
ObjectProperty,relation,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.2727; semantic=0.5444; sequence_match=0.4211,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.7
ObjectProperty,consequence,has inheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5469; levenshtein=0.3571; semantic=0.4730; sequence_match=0.4000,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.7
ObjectProperty,conflict,is condition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5365; levenshtein=0.3077; semantic=0.5020; sequence_match=0.3810,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
ObjectProperty,assigner,has exclusive permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6187; levenshtein=0.2727; semantic=0.4669; sequence_match=0.3333,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.7
ObjectProperty,duty,is party of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5362; sequence_match=0.3077,False,0.4727,False,top-3 avg score 0.4727 < final_threshold 0.7
ObjectProperty,inheritFrom,is rule of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5598; levenshtein=0.2727; semantic=0.5417; sequence_match=0.3158,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.7
ObjectProperty,permission,is role of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.2000; semantic=0.5081; sequence_match=0.3333,False,0.4721,False,top-3 avg score 0.4721 < final_threshold 0.7
ObjectProperty,permission,is remedy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2000; semantic=0.4942; sequence_match=0.3000,False,0.4721,False,top-3 avg score 0.4721 < final_threshold 0.7
ObjectProperty,failure,has exclusive permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6544; levenshtein=0.1818; semantic=0.4858; sequence_match=0.2759,False,0.472,False,top-3 avg score 0.4720 < final_threshold 0.7
ObjectProperty,obligation,is policy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1000; semantic=0.4149; sequence_match=0.4000,False,0.4716,False,top-3 avg score 0.4716 < final_threshold 0.7
ObjectProperty,function,is sequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.4667; sequence_match=0.4000,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
ObjectProperty,action,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5657; sequence_match=0.3077,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.7
ObjectProperty,operand,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.1667; semantic=0.5444; sequence_match=0.3158,False,0.4706,False,top-3 avg score 0.4706 < final_threshold 0.7
ObjectProperty,target,has operator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5438; sequence_match=0.2353,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.7
ObjectProperty,obligation,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.4999; sequence_match=0.3478,False,0.4697,False,top-3 avg score 0.4697 < final_threshold 0.7
ObjectProperty,constraint,has obligation,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5761; levenshtein=0.2308; semantic=0.6005; sequence_match=0.1739,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.7
ObjectProperty,assigner,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.4490; sequence_match=0.3750,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.7
ObjectProperty,assignee,has logical constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5583; levenshtein=0.2000; semantic=0.4915; sequence_match=0.3571,False,0.469,False,top-3 avg score 0.4690 < final_threshold 0.7
ObjectProperty,relation,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.6163; sequence_match=0.2667,False,0.4689,False,top-3 avg score 0.4689 < final_threshold 0.7
ObjectProperty,action,is permission of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5346; sequence_match=0.3000,False,0.4687,False,top-3 avg score 0.4687 < final_threshold 0.7
ObjectProperty,prohibition,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5693; levenshtein=0.2143; semantic=0.5965; sequence_match=0.2400,False,0.4686,False,top-3 avg score 0.4686 < final_threshold 0.7
ObjectProperty,relation,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.1538; semantic=0.5829; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,obligation,is permission of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.2143; semantic=0.5087; sequence_match=0.3333,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,inheritFrom,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5693; levenshtein=0.2857; semantic=0.5143; sequence_match=0.3200,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,relation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5920; levenshtein=0.2414; semantic=0.4332; sequence_match=0.3784,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.7
ObjectProperty,relation,has requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.5362; sequence_match=0.2727,False,0.4676,False,top-3 avg score 0.4676 < final_threshold 0.7
ObjectProperty,permission,is logical constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.1905; semantic=0.5072; sequence_match=0.3226,False,0.4676,False,top-3 avg score 0.4676 < final_threshold 0.7
ObjectProperty,consequence,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4706; levenshtein=0.3571; semantic=0.5321; sequence_match=0.4000,False,0.4676,False,top-3 avg score 0.4676 < final_threshold 0.7
ObjectProperty,or,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5303; levenshtein=0.1818; semantic=0.5645; sequence_match=0.3077,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
ObjectProperty,prohibition,has exclusive permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4697; levenshtein=0.2273; semantic=0.5687; sequence_match=0.3636,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,failure,has inheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5357; levenshtein=0.2857; semantic=0.4846; sequence_match=0.3810,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.7
ObjectProperty,permission,is duty of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5583; levenshtein=0.1000; semantic=0.5092; sequence_match=0.3333,False,0.4669,False,top-3 avg score 0.4669 < final_threshold 0.7
ObjectProperty,hasPolicy,is obligation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.1429; semantic=0.4813; sequence_match=0.3478,False,0.4667,False,top-3 avg score 0.4667 < final_threshold 0.7
ObjectProperty,operator,is logical constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5544; levenshtein=0.2381; semantic=0.4999; sequence_match=0.3448,False,0.4664,False,top-3 avg score 0.4664 < final_threshold 0.7
ObjectProperty,function,is duty of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5655; sequence_match=0.1250,False,0.4663,False,top-3 avg score 0.4663 < final_threshold 0.7
ObjectProperty,conflict,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5274; levenshtein=0.3571; semantic=0.5073; sequence_match=0.3636,False,0.4661,False,top-3 avg score 0.4661 < final_threshold 0.7
ObjectProperty,conflict,is container of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5365; levenshtein=0.3077; semantic=0.4804; sequence_match=0.3810,False,0.466,False,top-3 avg score 0.4660 < final_threshold 0.7
ObjectProperty,or,is constraint set of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7059; levenshtein=0.1176; semantic=0.4813; sequence_match=0.2105,False,0.4659,False,top-3 avg score 0.4659 < final_threshold 0.7
ObjectProperty,target,has inheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.2143; semantic=0.5297; sequence_match=0.3000,False,0.4657,False,top-3 avg score 0.4657 < final_threshold 0.7
ObjectProperty,inheritFrom,is requirement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6285; levenshtein=0.2667; semantic=0.4606; sequence_match=0.3077,False,0.4656,False,top-3 avg score 0.4656 < final_threshold 0.7
ObjectProperty,partOf,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.2857; semantic=0.4290; sequence_match=0.4000,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,constraint,is operator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5272; sequence_match=0.3636,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,consequence,has remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5606; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,assigner,is operator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5682; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,target,has duty,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5705; sequence_match=0.1538,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,andSequence,has exclusive permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6039; levenshtein=0.1364; semantic=0.4283; sequence_match=0.3636,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,obligation,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.1818; semantic=0.5099; sequence_match=0.3810,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,partOf,is policy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.4202; sequence_match=0.3750,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,obligation,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5905; levenshtein=0.2143; semantic=0.5544; sequence_match=0.2500,False,0.4649,False,top-3 avg score 0.4649 < final_threshold 0.7
ObjectProperty,operand,has inheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4524; levenshtein=0.2857; semantic=0.5606; sequence_match=0.3810,False,0.4647,False,top-3 avg score 0.4647 < final_threshold 0.7
ObjectProperty,inheritRelation,is requirement of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6222; levenshtein=0.3333; semantic=0.4383; sequence_match=0.3333,False,0.4646,False,top-3 avg score 0.4646 < final_threshold 0.7
ObjectProperty,action,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.5356; sequence_match=0.3529,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.7
ObjectProperty,relation,is requirement of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.2000; semantic=0.5396; sequence_match=0.3478,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.7
ObjectProperty,operator,has container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5647; sequence_match=0.3000,False,0.4642,False,top-3 avg score 0.4642 < final_threshold 0.7
ObjectProperty,Only One,is role of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6071; levenshtein=0.1250; semantic=0.3851; sequence_match=0.4000,False,0.4641,False,top-3 avg score 0.4641 < final_threshold 0.7
ObjectProperty,constraint,is obligation of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5651; levenshtein=0.2857; semantic=0.5397; sequence_match=0.1667,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.7
ObjectProperty,partOf,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4603; levenshtein=0.2857; semantic=0.5300; sequence_match=0.4000,False,0.4634,False,top-3 avg score 0.4634 < final_threshold 0.7
ObjectProperty,function,has obligation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5192; levenshtein=0.3077; semantic=0.4901; sequence_match=0.3810,False,0.4634,False,top-3 avg score 0.4634 < final_threshold 0.7
ObjectProperty,target,has container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.2500; semantic=0.5568; sequence_match=0.3333,False,0.4634,False,top-3 avg score 0.4634 < final_threshold 0.7
ObjectProperty,obligation,is role of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1000; semantic=0.5043; sequence_match=0.3333,False,0.4626,False,top-3 avg score 0.4626 < final_threshold 0.7
ObjectProperty,implies,is obligation of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5357; levenshtein=0.2143; semantic=0.5662; sequence_match=0.2857,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.7
ObjectProperty,remedy,is requirement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.2667; semantic=0.4398; sequence_match=0.3810,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.7
ObjectProperty,prohibition,is exclusive permission of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5573; levenshtein=0.2174; semantic=0.4770; sequence_match=0.3529,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.7
ObjectProperty,constraint,is conflict resolution strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5852; levenshtein=0.2667; semantic=0.4020; sequence_match=0.4000,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.7
ObjectProperty,failure,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6043; levenshtein=0.2069; semantic=0.4489; sequence_match=0.3333,False,0.4622,False,top-3 avg score 0.4622 < final_threshold 0.7
ObjectProperty,remedy,has duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5387; sequence_match=0.3077,False,0.462,False,top-3 avg score 0.4620 < final_threshold 0.7
ObjectProperty,relation,is condition of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.3077; semantic=0.5691; sequence_match=0.3810,False,0.462,False,top-3 avg score 0.4620 < final_threshold 0.7
ObjectProperty,prohibition,has policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.0909; semantic=0.5649; sequence_match=0.3000,False,0.4614,False,top-3 avg score 0.4614 < final_threshold 0.7
ObjectProperty,relation,is prohibition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5194; levenshtein=0.3333; semantic=0.4298; sequence_match=0.4348,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.7
ObjectProperty,target,has requirement,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5714; levenshtein=0.2857; semantic=0.5269; sequence_match=0.1000,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.7
ObjectProperty,action,is container of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6060; levenshtein=0.3077; semantic=0.4616; sequence_match=0.3158,False,0.4611,False,top-3 avg score 0.4611 < final_threshold 0.7
ObjectProperty,action,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5968; levenshtein=0.2857; semantic=0.4855; sequence_match=0.3000,False,0.4608,False,top-3 avg score 0.4608 < final_threshold 0.7
ObjectProperty,function,has permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5353; levenshtein=0.2308; semantic=0.5613; sequence_match=0.2857,False,0.4608,False,top-3 avg score 0.4608 < final_threshold 0.7
ObjectProperty,scope,is sequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.1667; semantic=0.5068; sequence_match=0.3529,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.7
ObjectProperty,prohibition,is party of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.1818; semantic=0.4774; sequence_match=0.3000,False,0.4603,False,top-3 avg score 0.4603 < final_threshold 0.7
ObjectProperty,target,is container of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5769; levenshtein=0.2308; semantic=0.4866; sequence_match=0.3158,False,0.4598,False,top-3 avg score 0.4598 < final_threshold 0.7
ObjectProperty,inheritFrom,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5135; sequence_match=0.3158,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.7
ObjectProperty,operator,has duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.5998; sequence_match=0.2667,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.7
ObjectProperty,operand,is condition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5531; levenshtein=0.1538; semantic=0.5250; sequence_match=0.3000,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.7
ObjectProperty,or,has container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5646; sequence_match=0.2857,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.7
ObjectProperty,permission,is sequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.1667; semantic=0.4251; sequence_match=0.3636,False,0.4592,False,top-3 avg score 0.4592 < final_threshold 0.7
ObjectProperty,implies,is failure rule of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.2000; semantic=0.4888; sequence_match=0.2727,False,0.4591,False,top-3 avg score 0.4591 < final_threshold 0.7
ObjectProperty,scope,is policy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2000; semantic=0.4550; sequence_match=0.4000,False,0.4591,False,top-3 avg score 0.4591 < final_threshold 0.7
ObjectProperty,Only One,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4841; levenshtein=0.2500; semantic=0.4713; sequence_match=0.4211,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.7
ObjectProperty,operator,is constraint set of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4951; levenshtein=0.2941; semantic=0.4809; sequence_match=0.4000,False,0.4587,False,top-3 avg score 0.4587 < final_threshold 0.7
ObjectProperty,conflict,has obligation,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6026; levenshtein=0.2308; semantic=0.5413; sequence_match=0.1905,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,prohibition,has logical constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5193; levenshtein=0.2000; semantic=0.5973; sequence_match=0.2581,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,assignee,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.4468; sequence_match=0.4000,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,function,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2857; semantic=0.4990; sequence_match=0.3636,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,scope,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5168; sequence_match=0.3077,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,inheritFrom,is prohibition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5374; levenshtein=0.3333; semantic=0.4524; sequence_match=0.3846,False,0.4581,False,top-3 avg score 0.4581 < final_threshold 0.7
ObjectProperty,assigner,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.4464; sequence_match=0.4000,False,0.4581,False,top-3 avg score 0.4581 < final_threshold 0.7
ObjectProperty,hasPolicy,is prohibition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5630; levenshtein=0.2000; semantic=0.4778; sequence_match=0.3333,False,0.458,False,top-3 avg score 0.4580 < final_threshold 0.7
