gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Asset,Asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Constraint,Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
LogicalConstraint,Logical Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Policy,Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Prohibition,Prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Permission,Permission/Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8540; sequence_match=0.8333,False,0.8767,True,selected
AssetScope,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5524; levenshtein=0.1429; semantic=0.4862; sequence_match=0.3333,False,0.4573,False,top-3 avg score 0.4573 < final_threshold 0.6
Permission,Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.6073; sequence_match=0.2500,False,0.4561,False,top-3 avg score 0.4561 < final_threshold 0.6
Rule,Sequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.2500; semantic=0.6181; sequence_match=0.3333,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.6
LeftOperand,Sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5023; sequence_match=0.3158,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.6
AssetCollection,Logical Constraint Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.2083; semantic=0.4332; sequence_match=0.2564,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.6
Asset,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5059; levenshtein=0.1765; semantic=0.5828; sequence_match=0.2727,False,0.4538,False,top-3 avg score 0.4538 < final_threshold 0.6
LogicalConstraint,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5059; levenshtein=0.1765; semantic=0.5828; sequence_match=0.2727,False,0.4538,False,top-3 avg score 0.4538 < final_threshold 0.6
LogicalConstraint,Container Membership,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5196; levenshtein=0.1579; semantic=0.4504; sequence_match=0.3889,False,0.453,False,top-3 avg score 0.4530 < final_threshold 0.6
LeftOperand,Exclusive Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4392; levenshtein=0.2105; semantic=0.5154; sequence_match=0.4000,False,0.4515,False,top-3 avg score 0.4515 < final_threshold 0.6
Asset,Logical Constraint Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.1250; semantic=0.5695; sequence_match=0.2069,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
AssetCollection,Sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.2000; semantic=0.4962; sequence_match=0.3478,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.6
Asset,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4937; levenshtein=0.2143; semantic=0.5332; sequence_match=0.3158,False,0.4475,False,top-3 avg score 0.4475 < final_threshold 0.6
Operator,Container Membership,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5775; levenshtein=0.2105; semantic=0.4670; sequence_match=0.2963,False,0.4469,False,top-3 avg score 0.4469 < final_threshold 0.6
LogicalConstraint,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5759; levenshtein=0.1765; semantic=0.5059; sequence_match=0.2581,False,0.4466,False,top-3 avg score 0.4466 < final_threshold 0.6
Action,Logical Constraint Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4891; sequence_match=0.2667,False,0.4464,False,top-3 avg score 0.4464 < final_threshold 0.6
Party,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4991; levenshtein=0.1538; semantic=0.5065; sequence_match=0.3333,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.6
Asset,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.2222; semantic=0.6161; sequence_match=0.2857,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.6
Action,Disaggregation,sequence_match+semantic+levenshtein,jaro_winkler=0.3254; levenshtein=0.3571; semantic=0.4817; sequence_match=0.5000,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.6
Permission,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5167; levenshtein=0.1000; semantic=0.6206; sequence_match=0.2000,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.6
LogicalConstraint,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4496; levenshtein=0.1176; semantic=0.5990; sequence_match=0.2857,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.6
Action,Exclusive Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4795; levenshtein=0.2105; semantic=0.5348; sequence_match=0.3200,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.6
Action,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5419; levenshtein=0.1923; semantic=0.4786; sequence_match=0.3125,False,0.4443,False,top-3 avg score 0.4443 < final_threshold 0.6
LogicalConstraint,Policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5507; levenshtein=0.1765; semantic=0.5198; sequence_match=0.2609,False,0.4438,False,top-3 avg score 0.4438 < final_threshold 0.6
Policy,Logical Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5507; levenshtein=0.1765; semantic=0.5198; sequence_match=0.2609,False,0.4438,False,top-3 avg score 0.4438 < final_threshold 0.6
LeftOperand,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4738; levenshtein=0.1538; semantic=0.5227; sequence_match=0.3333,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
Party,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.4713; sequence_match=0.3077,False,0.443,False,top-3 avg score 0.4430 < final_threshold 0.6
Operator,Permission Duty Assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5165; sequence_match=0.3125,False,0.443,False,top-3 avg score 0.4430 < final_threshold 0.6
Policy,Conflict Resolution Strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4402; levenshtein=0.1923; semantic=0.5759; sequence_match=0.3125,False,0.4429,False,top-3 avg score 0.4429 < final_threshold 0.6
Constraint,Disaggregation,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5651; levenshtein=0.2143; semantic=0.5462; sequence_match=0.1667,False,0.4418,False,top-3 avg score 0.4418 < final_threshold 0.6
LeftOperand,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.0909; semantic=0.5471; sequence_match=0.2500,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.6
Permission,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5776; levenshtein=0.1923; semantic=0.4679; sequence_match=0.2778,False,0.4411,False,top-3 avg score 0.4411 < final_threshold 0.6
AssetCollection,Permission/Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5127; levenshtein=0.0000; semantic=0.4626; sequence_match=0.3448,False,0.4401,False,top-3 avg score 0.4401 < final_threshold 0.6
Rule,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.2000; semantic=0.6032; sequence_match=0.2222,False,0.4363,False,top-3 avg score 0.4363 < final_threshold 0.6
LeftOperand,Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.4503; sequence_match=0.3529,False,0.4361,False,top-3 avg score 0.4361 < final_threshold 0.6
Party,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5143; levenshtein=0.2143; semantic=0.4765; sequence_match=0.3158,False,0.4355,False,top-3 avg score 0.4355 < final_threshold 0.6
Asset,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1250; semantic=0.4514; sequence_match=0.3077,False,0.4354,False,top-3 avg score 0.4354 < final_threshold 0.6
AssetCollection,Negation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5056; levenshtein=0.3333; semantic=0.3654; sequence_match=0.4348,False,0.4353,False,top-3 avg score 0.4353 < final_threshold 0.6
Policy,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5660; sequence_match=0.2500,False,0.435,False,top-3 avg score 0.4350 < final_threshold 0.6
Duty,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.5873; sequence_match=0.2667,False,0.4336,False,top-3 avg score 0.4336 < final_threshold 0.6
Rule,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.0714; semantic=0.5305; sequence_match=0.2222,False,0.4334,False,top-3 avg score 0.4334 < final_threshold 0.6
Prohibition,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4924; levenshtein=0.0909; semantic=0.5342; sequence_match=0.2727,False,0.4331,False,top-3 avg score 0.4331 < final_threshold 0.6
Policy,Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5185; levenshtein=0.2222; semantic=0.5126; sequence_match=0.2667,False,0.4326,False,top-3 avg score 0.4326 < final_threshold 0.6
Permission,Remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5556; sequence_match=0.2500,False,0.4315,False,top-3 avg score 0.4315 < final_threshold 0.6
AssetScope,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5210; levenshtein=0.2083; semantic=0.4774; sequence_match=0.2941,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
Prohibition,Logical Constraint Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4998; levenshtein=0.2083; semantic=0.5566; sequence_match=0.2286,False,0.4283,False,top-3 avg score 0.4283 < final_threshold 0.6
AssetCollection,Exclusive Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5265; levenshtein=0.2105; semantic=0.4636; sequence_match=0.2941,False,0.4281,False,top-3 avg score 0.4281 < final_threshold 0.6
Rule,Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.6102; sequence_match=0.2000,False,0.4275,False,top-3 avg score 0.4275 < final_threshold 0.6
AssetCollection,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4963; levenshtein=0.1333; semantic=0.5346; sequence_match=0.2500,False,0.427,False,top-3 avg score 0.4270 < final_threshold 0.6
LeftOperand,Condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4242; levenshtein=0.0909; semantic=0.5566; sequence_match=0.3000,False,0.4269,False,top-3 avg score 0.4269 < final_threshold 0.6
Policy,Permission Duty Assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5515; sequence_match=0.2000,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
Permission,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.1538; semantic=0.6143; sequence_match=0.2609,False,0.4259,False,top-3 avg score 0.4259 < final_threshold 0.6
Policy,Container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5185; levenshtein=0.2222; semantic=0.4908; sequence_match=0.2667,False,0.4253,False,top-3 avg score 0.4253 < final_threshold 0.6
Duty,Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.6037; sequence_match=0.2000,False,0.4253,False,top-3 avg score 0.4253 < final_threshold 0.6
LeftOperand,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5202; levenshtein=0.1667; semantic=0.4698; sequence_match=0.2857,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
Prohibition,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5400; levenshtein=0.1923; semantic=0.4111; sequence_match=0.3243,False,0.4251,False,top-3 avg score 0.4251 < final_threshold 0.6
Operator,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4381; levenshtein=0.0909; semantic=0.5180; sequence_match=0.3158,False,0.424,False,top-3 avg score 0.4240 < final_threshold 0.6
Operator,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5391; levenshtein=0.1923; semantic=0.4380; sequence_match=0.2941,False,0.4238,False,top-3 avg score 0.4238 < final_threshold 0.6
AssetScope,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.1000; semantic=0.5211; sequence_match=0.3158,False,0.4234,False,top-3 avg score 0.4234 < final_threshold 0.6
Permission,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.0000; semantic=0.5820; sequence_match=0.2105,False,0.4222,False,top-3 avg score 0.4222 < final_threshold 0.6
Permission,Logical Constraint Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5227; sequence_match=0.2353,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
Permission,Container Membership,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4719; levenshtein=0.2105; semantic=0.5150; sequence_match=0.2759,False,0.4209,False,top-3 avg score 0.4209 < final_threshold 0.6
Permission,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4647; levenshtein=0.1176; semantic=0.5716; sequence_match=0.2222,False,0.4195,False,top-3 avg score 0.4195 < final_threshold 0.6
Prohibition,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.5381; sequence_match=0.2000,False,0.4192,False,top-3 avg score 0.4192 < final_threshold 0.6
Party,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3741; levenshtein=0.1111; semantic=0.5960; sequence_match=0.2857,False,0.4186,False,top-3 avg score 0.4186 < final_threshold 0.6
Action,Container Membership,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.1053; semantic=0.4102; sequence_match=0.2400,False,0.4185,False,top-3 avg score 0.4185 < final_threshold 0.6
Constraint,Policy,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5660; sequence_match=0.1250,False,0.4183,False,top-3 avg score 0.4183 < final_threshold 0.6
LeftOperand,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5400; levenshtein=0.2308; semantic=0.3890; sequence_match=0.3243,False,0.4178,False,top-3 avg score 0.4178 < final_threshold 0.6
Permission,Sequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.1000; semantic=0.5464; sequence_match=0.2222,False,0.4173,False,top-3 avg score 0.4173 < final_threshold 0.6
Rule,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5513; levenshtein=0.1154; semantic=0.4988; sequence_match=0.2000,False,0.4167,False,top-3 avg score 0.4167 < final_threshold 0.6
LeftOperand,Sequence Step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5076; levenshtein=0.1667; semantic=0.4806; sequence_match=0.2609,False,0.4164,False,top-3 avg score 0.4164 < final_threshold 0.6
AssetCollection,Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.2000; semantic=0.5068; sequence_match=0.2857,False,0.416,False,top-3 avg score 0.4160 < final_threshold 0.6
LogicalConstraint,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4272; levenshtein=0.1176; semantic=0.5579; sequence_match=0.2581,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.6
AssetScope,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.3586; sequence_match=0.3333,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.6
Rule,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.1250; semantic=0.5130; sequence_match=0.2143,False,0.4137,False,top-3 avg score 0.4137 < final_threshold 0.6
AssetCollection,Sequence Step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2667; semantic=0.4207; sequence_match=0.2963,False,0.4131,False,top-3 avg score 0.4131 < final_threshold 0.6
LogicalConstraint,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4382; levenshtein=0.2353; semantic=0.4674; sequence_match=0.3333,False,0.413,False,top-3 avg score 0.4130 < final_threshold 0.6
Rule,Exclusive Permission,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5249; levenshtein=0.1053; semantic=0.6082; sequence_match=0.0870,False,0.4128,False,top-3 avg score 0.4128 < final_threshold 0.6
LeftOperand,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4665; levenshtein=0.1429; semantic=0.4496; sequence_match=0.3200,False,0.412,False,top-3 avg score 0.4120 < final_threshold 0.6
LeftOperand,Requirement,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4924; levenshtein=0.2727; semantic=0.4677; sequence_match=0.1818,False,0.4109,False,top-3 avg score 0.4109 < final_threshold 0.6
Duty,Contract Party,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4423; levenshtein=0.1538; semantic=0.5531; sequence_match=0.2353,False,0.4102,False,top-3 avg score 0.4102 < final_threshold 0.6
ConflictTerm,Transfer Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.0769; semantic=0.3665; sequence_match=0.3200,False,0.4097,False,top-3 avg score 0.4097 < final_threshold 0.6
LogicalConstraint,Exclusive Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4982; levenshtein=0.1053; semantic=0.5076; sequence_match=0.2222,False,0.4093,False,top-3 avg score 0.4093 < final_threshold 0.6
Duty,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4500; levenshtein=0.1000; semantic=0.6327; sequence_match=0.1429,False,0.4085,False,top-3 avg score 0.4085 < final_threshold 0.6
Rule,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.1429; semantic=0.6213; sequence_match=0.2222,False,0.4081,False,top-3 avg score 0.4081 < final_threshold 0.6
Operator,Exclusive Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3999; levenshtein=0.2105; semantic=0.5281; sequence_match=0.2963,False,0.4081,False,top-3 avg score 0.4081 < final_threshold 0.6
Prohibition,Transfer Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5012; levenshtein=0.1538; semantic=0.4693; sequence_match=0.2500,False,0.4068,False,top-3 avg score 0.4068 < final_threshold 0.6
AssetCollection,Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5094; levenshtein=0.0667; semantic=0.4253; sequence_match=0.2857,False,0.4068,False,top-3 avg score 0.4068 < final_threshold 0.6
AssetScope,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4786; levenshtein=0.1429; semantic=0.4887; sequence_match=0.2500,False,0.4057,False,top-3 avg score 0.4057 < final_threshold 0.6
Constraint,Exclusive Permission,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4535; levenshtein=0.2105; semantic=0.5524; sequence_match=0.2069,False,0.4055,False,top-3 avg score 0.4055 < final_threshold 0.6
AssetScope,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.1000; semantic=0.5468; sequence_match=0.2000,False,0.4045,False,top-3 avg score 0.4045 < final_threshold 0.6
AssetCollection,Container Membership,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5265; levenshtein=0.1579; semantic=0.4436; sequence_match=0.2353,False,0.4018,False,top-3 avg score 0.4018 < final_threshold 0.6
AssetScope,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4647; levenshtein=0.1176; semantic=0.5163; sequence_match=0.2222,False,0.4011,False,top-3 avg score 0.4011 < final_threshold 0.6
Party,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4196; levenshtein=0.1176; semantic=0.5100; sequence_match=0.2727,False,0.4008,False,top-3 avg score 0.4008 < final_threshold 0.6
LeftOperand,Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4797; levenshtein=0.1538; semantic=0.4701; sequence_match=0.2500,False,0.4,False,top-3 avg score 0.4000 < final_threshold 0.6
Duty,Disaggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4405; levenshtein=0.1429; semantic=0.5328; sequence_match=0.2222,False,0.3985,False,top-3 avg score 0.3985 < final_threshold 0.6
Party,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3667; levenshtein=0.1000; semantic=0.5586; sequence_match=0.2667,False,0.3973,False,top-3 avg score 0.3973 < final_threshold 0.6
Rule,Prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.6107; sequence_match=0.1333,False,0.397,False,top-3 avg score 0.3970 < final_threshold 0.6
Action,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4658; levenshtein=0.1538; semantic=0.5145; sequence_match=0.2105,False,0.3969,False,top-3 avg score 0.3969 < final_threshold 0.6
AssetCollection,Transfer Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4538; levenshtein=0.0667; semantic=0.4497; sequence_match=0.2857,False,0.3964,False,top-3 avg score 0.3964 < final_threshold 0.6
Constraint,Sequence Step,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4056; levenshtein=0.0833; semantic=0.5091; sequence_match=0.2727,False,0.3958,False,top-3 avg score 0.3958 < final_threshold 0.6
AssetScope,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.2308; semantic=0.4364; sequence_match=0.3478,False,0.3956,False,top-3 avg score 0.3956 < final_threshold 0.6
Asset,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4303; levenshtein=0.1818; semantic=0.5062; sequence_match=0.2500,False,0.3955,False,top-3 avg score 0.3955 < final_threshold 0.6
Policy,Logical Constraint Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.4588; sequence_match=0.2000,False,0.3955,False,top-3 avg score 0.3955 < final_threshold 0.6
Action,Requirement,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.4936; sequence_match=0.1176,False,0.3935,False,top-3 avg score 0.3935 < final_threshold 0.6
Duty,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.1111; semantic=0.5695; sequence_match=0.1538,False,0.3924,False,top-3 avg score 0.3924 < final_threshold 0.6
AssetScope,Condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.1000; semantic=0.4894; sequence_match=0.2105,False,0.3913,False,top-3 avg score 0.3913 < final_threshold 0.6
Action,Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.5583; sequence_match=0.1667,False,0.3898,False,top-3 avg score 0.3898 < final_threshold 0.6
AssetScope,Exclusive Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4544; levenshtein=0.1579; semantic=0.5074; sequence_match=0.2069,False,0.3896,False,top-3 avg score 0.3896 < final_threshold 0.6
AssetScope,Container Membership,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5275; levenshtein=0.1579; semantic=0.4339; sequence_match=0.2069,False,0.3894,False,top-3 avg score 0.3894 < final_threshold 0.6
AssetScope,Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4859; levenshtein=0.1538; semantic=0.4204; sequence_match=0.2609,False,0.3891,False,top-3 avg score 0.3891 < final_threshold 0.6
Duty,Sequence Step,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.4706; sequence_match=0.2500,False,0.3883,False,top-3 avg score 0.3883 < final_threshold 0.6
Action,Permission Duty Assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1250; semantic=0.5172; sequence_match=0.2000,False,0.3872,False,top-3 avg score 0.3872 < final_threshold 0.6
Duty,Sequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.5313; sequence_match=0.1667,False,0.3854,False,top-3 avg score 0.3854 < final_threshold 0.6
LeftOperand,Prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4040; levenshtein=0.0000; semantic=0.4779; sequence_match=0.2727,False,0.3849,False,top-3 avg score 0.3849 < final_threshold 0.6
Asset,Condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.1111; semantic=0.5746; sequence_match=0.1429,False,0.3848,False,top-3 avg score 0.3848 < final_threshold 0.6
Party,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4303; levenshtein=0.0909; semantic=0.4697; sequence_match=0.2500,False,0.3833,False,top-3 avg score 0.3833 < final_threshold 0.6
Operator,Sequence Step,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5103; sequence_match=0.1000,False,0.3831,False,top-3 avg score 0.3831 < final_threshold 0.6
Rule,Sequence Step,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3889; levenshtein=0.1667; semantic=0.5075; sequence_match=0.2500,False,0.3821,False,top-3 avg score 0.3821 < final_threshold 0.6
Asset,Remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.1667; semantic=0.5059; sequence_match=0.1818,False,0.3811,False,top-3 avg score 0.3811 < final_threshold 0.6
Action,Sequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.1250; semantic=0.5692; sequence_match=0.1429,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
Rule,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4363; levenshtein=0.0588; semantic=0.6045; sequence_match=0.0952,False,0.3787,False,top-3 avg score 0.3787 < final_threshold 0.6
AssetScope,Prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4606; levenshtein=0.0000; semantic=0.4827; sequence_match=0.1905,False,0.3779,False,top-3 avg score 0.3779 < final_threshold 0.6
LogicalConstraint,Sequence Step,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4395; levenshtein=0.1765; semantic=0.4873; sequence_match=0.2069,False,0.3779,False,top-3 avg score 0.3779 < final_threshold 0.6
AssetCollection,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4433; levenshtein=0.1667; semantic=0.4288; sequence_match=0.2564,False,0.3762,False,top-3 avg score 0.3762 < final_threshold 0.6
Asset,Container Membership,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4749; levenshtein=0.1053; semantic=0.4859; sequence_match=0.1667,False,0.3758,False,top-3 avg score 0.3758 < final_threshold 0.6
Rule,Negation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.4992; sequence_match=0.1667,False,0.3747,False,top-3 avg score 0.3747 < final_threshold 0.6
