prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,leftOperand,hasLeftOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9286; levenshtein=0.7857; semantic=0.9303; sequence_match=0.8800,False,0.913,True,selected
ObjectProperty,constraint,hasProhibition,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6381; levenshtein=0.2143; semantic=0.6143; sequence_match=0.1667,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.7
ObjectProperty,permission,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.0909; semantic=0.5666; sequence_match=0.3810,False,0.4886,False,top-3 avg score 0.4886 < final_threshold 0.7
ObjectProperty,constraint,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5644; sequence_match=0.3810,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,hasPolicy,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.4726; sequence_match=0.3478,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.7
ObjectProperty,permission,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.3077; semantic=0.5537; sequence_match=0.3478,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.7
ObjectProperty,obligation,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.7312; sequence_match=0.2353,False,0.4873,False,top-3 avg score 0.4873 < final_threshold 0.7
ObjectProperty,inheritRelation,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6079; levenshtein=0.3333; semantic=0.4379; sequence_match=0.4138,False,0.4865,False,top-3 avg score 0.4865 < final_threshold 0.7
ObjectProperty,operand,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.3077; semantic=0.5993; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,function,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5453; sequence_match=0.2857,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,leftOperand,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5424; levenshtein=0.3000; semantic=0.5246; sequence_match=0.3871,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.7
ObjectProperty,assignee,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2000; semantic=0.4646; sequence_match=0.3571,False,0.4832,False,top-3 avg score 0.4832 < final_threshold 0.7
ObjectProperty,permission,hasAssignee,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.2727; semantic=0.5634; sequence_match=0.3810,False,0.483,False,top-3 avg score 0.4830 < final_threshold 0.7
ObjectProperty,target,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5769; levenshtein=0.2308; semantic=0.5558; sequence_match=0.3158,False,0.4829,False,top-3 avg score 0.4829 < final_threshold 0.7
ObjectProperty,operator,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.2143; semantic=0.5042; sequence_match=0.2727,False,0.4825,False,top-3 avg score 0.4825 < final_threshold 0.7
ObjectProperty,consequence,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5494; sequence_match=0.4167,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,assigner,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.1538; semantic=0.4619; sequence_match=0.3810,False,0.4818,False,top-3 avg score 0.4818 < final_threshold 0.7
ObjectProperty,failure,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4829; sequence_match=0.3750,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,permission,hasRightOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5798; sequence_match=0.3200,False,0.4814,False,top-3 avg score 0.4814 < final_threshold 0.7
ObjectProperty,action,hasAssignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5909; levenshtein=0.2727; semantic=0.4968; sequence_match=0.3529,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.7
ObjectProperty,obligation,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2667; semantic=0.5084; sequence_match=0.3200,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,assigner,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2500; semantic=0.4543; sequence_match=0.3571,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,obligation,subPolicyOf,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.4718; sequence_match=0.3810,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.7
ObjectProperty,action,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.4645; sequence_match=0.4000,False,0.4786,False,top-3 avg score 0.4786 < final_threshold 0.7
ObjectProperty,action,hasAssigner,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5909; levenshtein=0.2727; semantic=0.4914; sequence_match=0.3529,False,0.4784,False,top-3 avg score 0.4784 < final_threshold 0.7
ObjectProperty,partOf,hasOperator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5101; levenshtein=0.3636; semantic=0.4521; sequence_match=0.4706,False,0.4776,False,top-3 avg score 0.4776 < final_threshold 0.7
ObjectProperty,scope,hasRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.5370; sequence_match=0.3333,False,0.4774,False,top-3 avg score 0.4774 < final_threshold 0.7
ObjectProperty,obligation,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2222; semantic=0.4862; sequence_match=0.3571,False,0.4774,False,top-3 avg score 0.4774 < final_threshold 0.7
ObjectProperty,assignee,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.6529; sequence_match=0.2667,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,action,hasConflictStrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6608; levenshtein=0.1579; semantic=0.5237; sequence_match=0.2400,False,0.4749,False,top-3 avg score 0.4749 < final_threshold 0.7
ObjectProperty,assignee,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5580; sequence_match=0.3158,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.7
ObjectProperty,operand,hasPermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.2308; semantic=0.5614; sequence_match=0.4000,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.7
ObjectProperty,relation,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.2727; semantic=0.5444; sequence_match=0.4211,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.7
ObjectProperty,implies,subPolicyOf,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.5169; sequence_match=0.3333,False,0.4725,False,top-3 avg score 0.4725 < final_threshold 0.7
ObjectProperty,target,hasAssignee,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.2727; semantic=0.5582; sequence_match=0.3529,False,0.4721,False,top-3 avg score 0.4721 < final_threshold 0.7
ObjectProperty,prohibition,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.3077; semantic=0.4523; sequence_match=0.4167,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,operand,hasLogicalOperator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.2989; levenshtein=0.2778; semantic=0.7151; sequence_match=0.4000,False,0.4714,False,top-3 avg score 0.4714 < final_threshold 0.7
ObjectProperty,permission,hasAssigner,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.2727; semantic=0.5268; sequence_match=0.3810,False,0.4708,False,top-3 avg score 0.4708 < final_threshold 0.7
ObjectProperty,target,hasOperator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5438; sequence_match=0.2353,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.7
ObjectProperty,obligation,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.4999; sequence_match=0.3478,False,0.4697,False,top-3 avg score 0.4697 < final_threshold 0.7
ObjectProperty,assigner,hasParty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.4490; sequence_match=0.3750,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.7
ObjectProperty,relation,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.1538; semantic=0.5829; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,or,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5303; levenshtein=0.1818; semantic=0.5645; sequence_match=0.3077,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
ObjectProperty,inheritFrom,hasAssigner,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5152; levenshtein=0.0000; semantic=0.5194; sequence_match=0.3636,False,0.4661,False,top-3 avg score 0.4661 < final_threshold 0.7
ObjectProperty,remedy,relatesToPolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.2667; semantic=0.4494; sequence_match=0.3810,False,0.4657,False,top-3 avg score 0.4657 < final_threshold 0.7
ObjectProperty,scope,hasConflictStrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5860; levenshtein=0.2105; semantic=0.4774; sequence_match=0.3333,False,0.4656,False,top-3 avg score 0.4656 < final_threshold 0.7
ObjectProperty,partOf,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.2857; semantic=0.4290; sequence_match=0.4000,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,consequence,hasRemedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5606; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,target,hasDuty,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5705; sequence_match=0.1538,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,obligation,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.1818; semantic=0.5099; sequence_match=0.3810,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,action,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.5356; sequence_match=0.3529,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.7
ObjectProperty,scope,subPolicyOf,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5131; levenshtein=0.1818; semantic=0.5025; sequence_match=0.3750,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.7
ObjectProperty,assignee,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.5189; sequence_match=0.2727,False,0.4623,False,top-3 avg score 0.4623 < final_threshold 0.7
ObjectProperty,remedy,hasDuty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5387; sequence_match=0.3077,False,0.462,False,top-3 avg score 0.4620 < final_threshold 0.7
ObjectProperty,Only One,hasConsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5357; levenshtein=0.2857; semantic=0.4690; sequence_match=0.3810,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.7
ObjectProperty,action,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2000; semantic=0.4469; sequence_match=0.3077,False,0.4608,False,top-3 avg score 0.4608 < final_threshold 0.7
ObjectProperty,function,hasPermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5353; levenshtein=0.2308; semantic=0.5613; sequence_match=0.2857,False,0.4608,False,top-3 avg score 0.4608 < final_threshold 0.7
ObjectProperty,prohibition,subPolicyOf,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5030; levenshtein=0.1818; semantic=0.5153; sequence_match=0.3636,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.7
ObjectProperty,inheritFrom,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5374; levenshtein=0.2000; semantic=0.5366; sequence_match=0.3077,False,0.4605,False,top-3 avg score 0.4605 < final_threshold 0.7
ObjectProperty,assignee,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.2222; semantic=0.5036; sequence_match=0.3077,False,0.4596,False,top-3 avg score 0.4596 < final_threshold 0.7
ObjectProperty,inheritFrom,hasParty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5135; sequence_match=0.3158,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.7
ObjectProperty,operator,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.5998; sequence_match=0.2667,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.7
ObjectProperty,operand,hasNegatedConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5071; levenshtein=0.2000; semantic=0.5741; sequence_match=0.2963,False,0.4592,False,top-3 avg score 0.4592 < final_threshold 0.7
ObjectProperty,action,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.1667; semantic=0.4978; sequence_match=0.3333,False,0.4591,False,top-3 avg score 0.4591 < final_threshold 0.7
ObjectProperty,function,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2857; semantic=0.4990; sequence_match=0.3636,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,scope,hasParty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5168; sequence_match=0.3077,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,and,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7167; levenshtein=0.1500; semantic=0.3969; sequence_match=0.2609,False,0.4581,False,top-3 avg score 0.4581 < final_threshold 0.7
ObjectProperty,target,hasFailureRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.1429; semantic=0.5002; sequence_match=0.3000,False,0.4572,False,top-3 avg score 0.4572 < final_threshold 0.7
ObjectProperty,target,relatesToPolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.1333; semantic=0.4968; sequence_match=0.2857,False,0.4571,False,top-3 avg score 0.4571 < final_threshold 0.7
ObjectProperty,conflict,hasAction,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5589; sequence_match=0.3529,False,0.4567,False,top-3 avg score 0.4567 < final_threshold 0.7
ObjectProperty,operator,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.2308; semantic=0.5530; sequence_match=0.3810,False,0.4566,False,top-3 avg score 0.4566 < final_threshold 0.7
ObjectProperty,leftOperand,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5568; sequence_match=0.3333,False,0.4566,False,top-3 avg score 0.4566 < final_threshold 0.7
ObjectProperty,implies,hasRule,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.5585; sequence_match=0.2857,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.7
ObjectProperty,relation,hasNegatedConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4917; levenshtein=0.2500; semantic=0.5172; sequence_match=0.3571,False,0.4553,False,top-3 avg score 0.4553 < final_threshold 0.7
ObjectProperty,andSequence,hasFailureRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5372; levenshtein=0.2857; semantic=0.4275; sequence_match=0.4000,False,0.4549,False,top-3 avg score 0.4549 < final_threshold 0.7
ObjectProperty,inheritFrom,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5372; levenshtein=0.2143; semantic=0.5065; sequence_match=0.3200,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.7
ObjectProperty,function,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.5827; sequence_match=0.2667,False,0.4537,False,top-3 avg score 0.4537 < final_threshold 0.7
ObjectProperty,target,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.2308; semantic=0.5463; sequence_match=0.3158,False,0.4526,False,top-3 avg score 0.4526 < final_threshold 0.7
ObjectProperty,leftOperand,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.1538; semantic=0.4667; sequence_match=0.3333,False,0.4524,False,top-3 avg score 0.4524 < final_threshold 0.7
ObjectProperty,leftOperand,relatesToPolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5582; levenshtein=0.3333; semantic=0.4142; sequence_match=0.3846,False,0.4523,False,top-3 avg score 0.4523 < final_threshold 0.7
ObjectProperty,permission,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.5980; sequence_match=0.2609,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.7
ObjectProperty,implies,hasLogicalOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5146; levenshtein=0.1667; semantic=0.5975; sequence_match=0.2400,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.7
ObjectProperty,scope,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5179; levenshtein=0.1538; semantic=0.5006; sequence_match=0.3333,False,0.4506,False,top-3 avg score 0.4506 < final_threshold 0.7
ObjectProperty,andSequence,hasDuty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.1818; semantic=0.4541; sequence_match=0.3333,False,0.4497,False,top-3 avg score 0.4497 < final_threshold 0.7
ObjectProperty,prohibition,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.1538; semantic=0.6193; sequence_match=0.2500,False,0.4497,False,top-3 avg score 0.4497 < final_threshold 0.7
ObjectProperty,or,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5256; levenshtein=0.1538; semantic=0.5561; sequence_match=0.2667,False,0.4495,False,top-3 avg score 0.4495 < final_threshold 0.7
ObjectProperty,conflict,hasNextAction,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5434; sequence_match=0.2857,False,0.4494,False,top-3 avg score 0.4494 < final_threshold 0.7
ObjectProperty,obligation,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.5924; sequence_match=0.2609,False,0.4494,False,top-3 avg score 0.4494 < final_threshold 0.7
ObjectProperty,inheritRelation,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4926; levenshtein=0.2222; semantic=0.4894; sequence_match=0.3636,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.7
ObjectProperty,leftOperand,hasPermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4738; levenshtein=0.0769; semantic=0.5383; sequence_match=0.3333,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.7
ObjectProperty,scope,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.5184; sequence_match=0.2857,False,0.4483,False,top-3 avg score 0.4483 < final_threshold 0.7
ObjectProperty,partOf,hasDuty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.4959; sequence_match=0.3077,False,0.4478,False,top-3 avg score 0.4478 < final_threshold 0.7
ObjectProperty,relation,hasAssignee,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.5202; sequence_match=0.1053,False,0.4474,False,top-3 avg score 0.4474 < final_threshold 0.7
ObjectProperty,assigner,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.5633; sequence_match=0.2667,False,0.4473,False,top-3 avg score 0.4473 < final_threshold 0.7
ObjectProperty,operator,hasNextAction,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5192; levenshtein=0.3077; semantic=0.5143; sequence_match=0.0952,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.7
ObjectProperty,relation,hasAssigner,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.5186; sequence_match=0.1053,False,0.4469,False,top-3 avg score 0.4469 < final_threshold 0.7
ObjectProperty,scope,relatesToPolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2000; semantic=0.5184; sequence_match=0.3000,False,0.4469,False,top-3 avg score 0.4469 < final_threshold 0.7
ObjectProperty,operand,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5017; sequence_match=0.2500,False,0.4468,False,top-3 avg score 0.4468 < final_threshold 0.7
ObjectProperty,assigner,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.4175; sequence_match=0.3529,False,0.4466,False,top-3 avg score 0.4466 < final_threshold 0.7
ObjectProperty,prohibition,hasParty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.0909; semantic=0.4852; sequence_match=0.3158,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.7
ObjectProperty,operator,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5583; levenshtein=0.2500; semantic=0.4944; sequence_match=0.2857,False,0.4461,False,top-3 avg score 0.4461 < final_threshold 0.7
ObjectProperty,constraint,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.2308; semantic=0.4742; sequence_match=0.2609,False,0.4461,False,top-3 avg score 0.4461 < final_threshold 0.7
ObjectProperty,operator,hasAssigner,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4773; levenshtein=0.0909; semantic=0.6505; sequence_match=0.2105,False,0.4461,False,top-3 avg score 0.4461 < final_threshold 0.7
ObjectProperty,inheritFrom,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.1429; semantic=0.4948; sequence_match=0.2400,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.7
ObjectProperty,failure,hasAssignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.4367; sequence_match=0.3333,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.7
ObjectProperty,conflict,relatesToPolicy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4611; levenshtein=0.2667; semantic=0.5271; sequence_match=0.3478,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.7
ObjectProperty,constraint,hasAssigner,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5879; levenshtein=0.1818; semantic=0.5555; sequence_match=0.1905,False,0.4446,False,top-3 avg score 0.4446 < final_threshold 0.7
ObjectProperty,action,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.5885; sequence_match=0.3077,False,0.4442,False,top-3 avg score 0.4442 < final_threshold 0.7
ObjectProperty,andSequence,hasAssignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5697; levenshtein=0.2727; semantic=0.3991; sequence_match=0.3636,False,0.4442,False,top-3 avg score 0.4442 < final_threshold 0.7
ObjectProperty,conflict,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.1667; semantic=0.4571; sequence_match=0.3077,False,0.4441,False,top-3 avg score 0.4441 < final_threshold 0.7
ObjectProperty,or,hasRightOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.1333; semantic=0.5747; sequence_match=0.2353,False,0.4441,False,top-3 avg score 0.4441 < final_threshold 0.7
ObjectProperty,relation,hasDuty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.5527; sequence_match=0.2667,False,0.4438,False,top-3 avg score 0.4438 < final_threshold 0.7
ObjectProperty,inheritRelation,hasConflictStrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.2105; semantic=0.4567; sequence_match=0.2941,False,0.4436,False,top-3 avg score 0.4436 < final_threshold 0.7
ObjectProperty,obligation,hasAssignee,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.5375; sequence_match=0.2857,False,0.4426,False,top-3 avg score 0.4426 < final_threshold 0.7
ObjectProperty,andSequence,hasNegatedConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5841; levenshtein=0.2000; semantic=0.4207; sequence_match=0.3226,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,failure,hasAssigner,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.1818; semantic=0.4269; sequence_match=0.3333,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,and,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6068; levenshtein=0.1538; semantic=0.4702; sequence_match=0.2500,False,0.4423,False,top-3 avg score 0.4423 < final_threshold 0.7
ObjectProperty,andSequence,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5579; levenshtein=0.1538; semantic=0.4346; sequence_match=0.3333,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.7
ObjectProperty,permission,hasLeftOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4786; levenshtein=0.1429; semantic=0.5124; sequence_match=0.3333,False,0.4414,False,top-3 avg score 0.4414 < final_threshold 0.7
ObjectProperty,constraint,hasAssignee,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5879; levenshtein=0.1818; semantic=0.5541; sequence_match=0.0952,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.7
ObjectProperty,target,hasAssigner,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5051; levenshtein=0.2727; semantic=0.5448; sequence_match=0.2353,False,0.4409,False,top-3 avg score 0.4409 < final_threshold 0.7
ObjectProperty,function,hasConsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1429; semantic=0.5366; sequence_match=0.2727,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.7
