gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
Not Free,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4356; levenshtein=0.2353; semantic=0.6007; sequence_match=0.3333,False,0.4565,False,top-3 avg score 0.4565 < final_threshold 0.6
software interface,Development Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5785; levenshtein=0.1765; semantic=0.4781; sequence_match=0.3125,False,0.4564,False,top-3 avg score 0.4564 < final_threshold 0.6
version number,Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5821; levenshtein=0.2308; semantic=0.5367; sequence_match=0.2500,False,0.4563,False,top-3 avg score 0.4563 < final_threshold 0.6
software,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5261; sequence_match=0.2857,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.6
programming language,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4340; levenshtein=0.1429; semantic=0.6828; sequence_match=0.2500,False,0.4556,False,top-3 avg score 0.4556 < final_threshold 0.6
software developer organization,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5677; levenshtein=0.2069; semantic=0.4512; sequence_match=0.3478,False,0.4556,False,top-3 avg score 0.4556 < final_threshold 0.6
software developer organization,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5498; levenshtein=0.2759; semantic=0.4167; sequence_match=0.4000,False,0.4555,False,top-3 avg score 0.4555 < final_threshold 0.6
application programming interface,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5513; levenshtein=0.1290; semantic=0.6228; sequence_match=0.1923,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.6
XML,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1667; semantic=0.6423; sequence_match=0.2222,False,0.4548,False,top-3 avg score 0.4548 < final_threshold 0.6
algorithm,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.0909; semantic=0.5451; sequence_match=0.3000,False,0.4548,False,top-3 avg score 0.4548 < final_threshold 0.6
licence,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.2222; semantic=0.6113; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
algorithm,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2353; semantic=0.5062; sequence_match=0.3077,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
Not Free,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.6111; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
software developer organization,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5043; levenshtein=0.2414; semantic=0.5001; sequence_match=0.3590,False,0.4545,False,top-3 avg score 0.4545 < final_threshold 0.6
Free,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2000; semantic=0.5049; sequence_match=0.2857,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
desktop graphical user interface,Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6178; levenshtein=0.1034; semantic=0.5622; sequence_match=0.1818,False,0.4539,False,top-3 avg score 0.4539 < final_threshold 0.6
licence,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.5522; sequence_match=0.2857,False,0.4539,False,top-3 avg score 0.4539 < final_threshold 0.6
PROcess,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5288; levenshtein=0.1579; semantic=0.5236; sequence_match=0.3077,False,0.4534,False,top-3 avg score 0.4534 < final_threshold 0.6
file rendering,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.5169; sequence_match=0.3000,False,0.4533,False,top-3 avg score 0.4533 < final_threshold 0.6
software interface,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.1176; semantic=0.5670; sequence_match=0.1667,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.6
file rendering,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.3077; semantic=0.4960; sequence_match=0.3200,False,0.4529,False,top-3 avg score 0.4529 < final_threshold 0.6
algorithm,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.4983; sequence_match=0.3158,False,0.4528,False,top-3 avg score 0.4528 < final_threshold 0.6
CEL ASCII format,Requirement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6039; levenshtein=0.2143; semantic=0.3544; sequence_match=0.4000,False,0.4528,False,top-3 avg score 0.4528 < final_threshold 0.6
software,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5064; levenshtein=0.1765; semantic=0.5308; sequence_match=0.3200,False,0.4524,False,top-3 avg score 0.4524 < final_threshold 0.6
Development status,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5588; levenshtein=0.2353; semantic=0.4502; sequence_match=0.3478,False,0.4523,False,top-3 avg score 0.4523 < final_threshold 0.6
Source code available,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5466; levenshtein=0.2632; semantic=0.5340; sequence_match=0.2759,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
desktop graphical user interface,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1724; semantic=0.5607; sequence_match=0.2632,False,0.4514,False,top-3 avg score 0.4514 < final_threshold 0.6
desktop graphical user interface,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6293; levenshtein=0.1379; semantic=0.5422; sequence_match=0.1818,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.6
programming language,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5627; levenshtein=0.1579; semantic=0.5674; sequence_match=0.2222,False,0.4508,False,top-3 avg score 0.4508 < final_threshold 0.6
version number,Programming Language,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.2105; semantic=0.5677; sequence_match=0.0625,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.6
CEL binary format,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2000; semantic=0.4046; sequence_match=0.3200,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
function,Algorithm Modification,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3948; levenshtein=0.2381; semantic=0.5429; sequence_match=0.4138,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
CEL ASCII format,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2143; semantic=0.3975; sequence_match=0.3333,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.6
Not Free,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4484; levenshtein=0.2500; semantic=0.5847; sequence_match=0.3158,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.6
CEL ASCII format,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5524; levenshtein=0.2143; semantic=0.4630; sequence_match=0.3333,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.6
application programming interface,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5943; levenshtein=0.2258; semantic=0.5094; sequence_match=0.2439,False,0.4492,False,top-3 avg score 0.4492 < final_threshold 0.6
data item,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.4633; sequence_match=0.3333,False,0.4489,False,top-3 avg score 0.4489 < final_threshold 0.6
CEL ASCII format,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.2381; semantic=0.4401; sequence_match=0.3429,False,0.4488,False,top-3 avg score 0.4488 < final_threshold 0.6
software developer organization,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4637; levenshtein=0.2759; semantic=0.5489; sequence_match=0.3333,False,0.4487,False,top-3 avg score 0.4487 < final_threshold 0.6
Open source software license,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5578; levenshtein=0.2800; semantic=0.4453; sequence_match=0.3429,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
Maintained,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5333; levenshtein=0.1000; semantic=0.5122; sequence_match=0.3000,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
algorithm,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.2143,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
software,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4118; levenshtein=0.1765; semantic=0.6135; sequence_match=0.3200,False,0.4484,False,top-3 avg score 0.4484 < final_threshold 0.6
software interface,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5588; levenshtein=0.1176; semantic=0.4916; sequence_match=0.2941,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.6
CEL ASCII format,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5870; levenshtein=0.1250; semantic=0.4235; sequence_match=0.3333,False,0.4479,False,top-3 avg score 0.4479 < final_threshold 0.6
licence,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.2000; semantic=0.4168; sequence_match=0.3529,False,0.4479,False,top-3 avg score 0.4479 < final_threshold 0.6
application programming interface,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5978; levenshtein=0.1613; semantic=0.4520; sequence_match=0.2927,False,0.4475,False,top-3 avg score 0.4475 < final_threshold 0.6
application programming interface,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5505; levenshtein=0.1290; semantic=0.5170; sequence_match=0.2745,False,0.4473,False,top-3 avg score 0.4473 < final_threshold 0.6
plain text file format,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2105; semantic=0.4416; sequence_match=0.3077,False,0.4473,False,top-3 avg score 0.4473 < final_threshold 0.6
CEL binary format,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6306; levenshtein=0.0625; semantic=0.4531; sequence_match=0.2581,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
file rendering,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.1765; semantic=0.4533; sequence_match=0.3333,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.6
function,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5267; sequence_match=0.2857,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
software interface,Maintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4647; levenshtein=0.2353; semantic=0.5038; sequence_match=0.3704,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.6
text editing,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5290; levenshtein=0.2500; semantic=0.4393; sequence_match=0.3704,False,0.4462,False,top-3 avg score 0.4462 < final_threshold 0.6
Development status,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5361; levenshtein=0.2353; semantic=0.4690; sequence_match=0.3333,False,0.4461,False,top-3 avg score 0.4461 < final_threshold 0.6
version number,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.5642; sequence_match=0.2727,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.6
licence,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5259; sequence_match=0.2353,False,0.4458,False,top-3 avg score 0.4458 < final_threshold 0.6
version number,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4937; levenshtein=0.1176; semantic=0.5768; sequence_match=0.2667,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.6
application programming interface,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4955; levenshtein=0.1935; semantic=0.5076; sequence_match=0.3333,False,0.4455,False,top-3 avg score 0.4455 < final_threshold 0.6
Free,Developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5399; sequence_match=0.1538,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
version number,Maintained,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5692; levenshtein=0.2308; semantic=0.5359; sequence_match=0.0870,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
software developer role,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5825; levenshtein=0.2381; semantic=0.4952; sequence_match=0.2581,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
software,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.1250; semantic=0.6455; sequence_match=0.2667,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.6
licence,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.3000; semantic=0.5167; sequence_match=0.3529,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.6
web service,Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.4637; sequence_match=0.2857,False,0.4447,False,top-3 avg score 0.4447 < final_threshold 0.6
licence,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5436; sequence_match=0.3333,False,0.4443,False,top-3 avg score 0.4443 < final_threshold 0.6
programming language,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4813; levenshtein=0.2105; semantic=0.6003; sequence_match=0.2500,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
Source code available,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.5356; sequence_match=0.2609,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
Not Free,Cel File,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.5218; sequence_match=0.2857,False,0.4438,False,top-3 avg score 0.4438 < final_threshold 0.6
XML,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6831; sequence_match=0.1667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
programming language,Algorithm Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5230; levenshtein=0.1429; semantic=0.5581; sequence_match=0.2500,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data item,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5175; sequence_match=0.2857,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data item,Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.4656; sequence_match=0.3158,False,0.4435,False,top-3 avg score 0.4435 < final_threshold 0.6
version number,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1538; semantic=0.5741; sequence_match=0.2609,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
application programming interface,Open Format,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5610; levenshtein=0.1935; semantic=0.5753; sequence_match=0.1463,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
application programming interface,Data Export,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5423; levenshtein=0.1935; semantic=0.5431; sequence_match=0.2439,False,0.4431,False,top-3 avg score 0.4431 < final_threshold 0.6
Purchase cost,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.4219; sequence_match=0.3448,False,0.4429,False,top-3 avg score 0.4429 < final_threshold 0.6
desktop graphical user interface,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5253; levenshtein=0.2069; semantic=0.4952; sequence_match=0.3077,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
software developer organization,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5677; levenshtein=0.1724; semantic=0.5422; sequence_match=0.2174,False,0.4424,False,top-3 avg score 0.4424 < final_threshold 0.6
Purchase cost,Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1667; semantic=0.5212; sequence_match=0.2500,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.6
Purchase cost,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5595; levenshtein=0.2500; semantic=0.4504; sequence_match=0.3158,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
file rendering,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4813; levenshtein=0.1579; semantic=0.5302; sequence_match=0.3125,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.6
Source code available,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.5821; sequence_match=0.2308,False,0.4412,False,top-3 avg score 0.4412 < final_threshold 0.6
desktop graphical user interface,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5456; levenshtein=0.1379; semantic=0.4923; sequence_match=0.2857,False,0.4412,False,top-3 avg score 0.4412 < final_threshold 0.6
text editing,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5485; levenshtein=0.0909; semantic=0.4884; sequence_match=0.2857,False,0.4409,False,top-3 avg score 0.4409 < final_threshold 0.6
plain text file format,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.3158; semantic=0.3945; sequence_match=0.3448,False,0.4408,False,top-3 avg score 0.4408 < final_threshold 0.6
version number,Cel File,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.4680; sequence_match=0.3000,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
data format specification,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5533; levenshtein=0.2609; semantic=0.4590; sequence_match=0.3077,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.6
Open source software license,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5187; levenshtein=0.2400; semantic=0.4196; sequence_match=0.3810,False,0.4398,False,top-3 avg score 0.4398 < final_threshold 0.6
text editing,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5147; sequence_match=0.2857,False,0.4395,False,top-3 avg score 0.4395 < final_threshold 0.6
.csv,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.1429; semantic=0.6260; sequence_match=0.2000,False,0.4393,False,top-3 avg score 0.4393 < final_threshold 0.6
software,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.6285; sequence_match=0.2667,False,0.4393,False,top-3 avg score 0.4393 < final_threshold 0.6
CEL ASCII format,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.1905; semantic=0.4110; sequence_match=0.3429,False,0.4391,False,top-3 avg score 0.4391 < final_threshold 0.6
Development status,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.1765; semantic=0.4896; sequence_match=0.2963,False,0.4391,False,top-3 avg score 0.4391 < final_threshold 0.6
software interface,Data Export,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5399; levenshtein=0.2353; semantic=0.5419; sequence_match=0.1481,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.6
Not Free,Download Source,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3095; levenshtein=0.2857; semantic=0.6262; sequence_match=0.3810,False,0.4389,False,top-3 avg score 0.4389 < final_threshold 0.6
CEL binary format,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2000; semantic=0.4944; sequence_match=0.2727,False,0.4388,False,top-3 avg score 0.4388 < final_threshold 0.6
algorithm,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.6336; sequence_match=0.1818,False,0.4387,False,top-3 avg score 0.4387 < final_threshold 0.6
Purchase cost,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4823; levenshtein=0.1667; semantic=0.4845; sequence_match=0.3478,False,0.4382,False,top-3 avg score 0.4382 < final_threshold 0.6
PROcess,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.1905; semantic=0.4805; sequence_match=0.2857,False,0.4379,False,top-3 avg score 0.4379 < final_threshold 0.6
application programming interface,Capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.2258; semantic=0.5504; sequence_match=0.2439,False,0.4379,False,top-3 avg score 0.4379 < final_threshold 0.6
desktop graphical user interface,Data Export,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6257; levenshtein=0.1724; semantic=0.5153; sequence_match=0.1538,False,0.4378,False,top-3 avg score 0.4378 < final_threshold 0.6
plain text file format,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.1429; semantic=0.3957; sequence_match=0.3500,False,0.4377,False,top-3 avg score 0.4377 < final_threshold 0.6
data item,Development Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.1333; semantic=0.4582; sequence_match=0.3478,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.6
application programming interface,Tool,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6263; levenshtein=0.0968; semantic=0.5884; sequence_match=0.0571,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.6
programming language,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.5699; sequence_match=0.2308,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
file rendering,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.1538; semantic=0.6050; sequence_match=0.2105,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
Open source software license,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5244; levenshtein=0.1600; semantic=0.5515; sequence_match=0.2353,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
CEL ASCII format,Development Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.0667; semantic=0.4027; sequence_match=0.3448,False,0.437,False,top-3 avg score 0.4370 < final_threshold 0.6
Open source software license,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5897; levenshtein=0.2400; semantic=0.4575; sequence_match=0.2632,False,0.4368,False,top-3 avg score 0.4368 < final_threshold 0.6
PROcess,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.1000; semantic=0.4915; sequence_match=0.3529,False,0.4365,False,top-3 avg score 0.4365 < final_threshold 0.6
GIF,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.1429; semantic=0.4720; sequence_match=0.2500,False,0.4364,False,top-3 avg score 0.4364 < final_threshold 0.6
software developer organization,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4956; levenshtein=0.2069; semantic=0.4796; sequence_match=0.3333,False,0.4362,False,top-3 avg score 0.4362 < final_threshold 0.6
software,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3999; levenshtein=0.1579; semantic=0.6858; sequence_match=0.2222,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
desktop graphical user interface,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5974; levenshtein=0.1379; semantic=0.4704; sequence_match=0.2400,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
PROcess,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.4982; sequence_match=0.2857,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
licence,Help Resource,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4683; levenshtein=0.3333; semantic=0.5058; sequence_match=0.3158,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.6
Source code available,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5526; levenshtein=0.1579; semantic=0.5146; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.6
Not Free,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5507; sequence_match=0.2500,False,0.4344,False,top-3 avg score 0.4344 < final_threshold 0.6
XML,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.1429; semantic=0.6105; sequence_match=0.2000,False,0.4342,False,top-3 avg score 0.4342 < final_threshold 0.6
plain text file format,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5838; levenshtein=0.1053; semantic=0.3746; sequence_match=0.3429,False,0.4337,False,top-3 avg score 0.4337 < final_threshold 0.6
file rendering,Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6297; levenshtein=0.2308; semantic=0.4211; sequence_match=0.2500,False,0.4336,False,top-3 avg score 0.4336 < final_threshold 0.6
software,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.6050; sequence_match=0.2353,False,0.4329,False,top-3 avg score 0.4329 < final_threshold 0.6
Open source software license,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4817; levenshtein=0.2800; semantic=0.5309; sequence_match=0.2857,False,0.4327,False,top-3 avg score 0.4327 < final_threshold 0.6
data item,Maintenance Status,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6194; levenshtein=0.2353; semantic=0.4434; sequence_match=0.1600,False,0.4327,False,top-3 avg score 0.4327 < final_threshold 0.6
Free,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.2857; semantic=0.4696; sequence_match=0.3636,False,0.4325,False,top-3 avg score 0.4325 < final_threshold 0.6
software developer organization,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5374; levenshtein=0.1724; semantic=0.4487; sequence_match=0.3111,False,0.4324,False,top-3 avg score 0.4324 < final_threshold 0.6
CEL binary format,Data Export,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.2667; semantic=0.4984; sequence_match=0.3200,False,0.4321,False,top-3 avg score 0.4321 < final_threshold 0.6
