gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
data format specification,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5466; levenshtein=0.2609; semantic=0.4509; sequence_match=0.4118,False,0.4697,False,top-3 avg score 0.4697 < final_threshold 0.6
software interface,Dataset,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6028; levenshtein=0.2353; semantic=0.5696; sequence_match=0.1667,False,0.4692,False,top-3 avg score 0.4692 < final_threshold 0.6
CEL ASCII format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.4723; sequence_match=0.3478,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
software interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5055; levenshtein=0.2632; semantic=0.6217; sequence_match=0.2778,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.6
Source code available,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.2105; semantic=0.5314; sequence_match=0.3226,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.6
Development status,Tool Data Task Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6122; levenshtein=0.1176; semantic=0.4383; sequence_match=0.3529,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.6
application programming interface,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5865; levenshtein=0.2258; semantic=0.5250; sequence_match=0.2917,False,0.4677,False,top-3 avg score 0.4677 < final_threshold 0.6
version number,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5011; levenshtein=0.3125; semantic=0.4882; sequence_match=0.4138,False,0.4677,False,top-3 avg score 0.4677 < final_threshold 0.6
plain text file format,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5259; levenshtein=0.2632; semantic=0.5122; sequence_match=0.3636,False,0.4673,False,top-3 avg score 0.4673 < final_threshold 0.6
algorithm,Dataset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.6490; sequence_match=0.2500,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.6
CEL binary format,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.1765; semantic=0.4822; sequence_match=0.3750,False,0.4667,False,top-3 avg score 0.4667 < final_threshold 0.6
data format specification,Collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5711; levenshtein=0.3043; semantic=0.3815; sequence_match=0.4444,False,0.4657,False,top-3 avg score 0.4657 < final_threshold 0.6
licence,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.4667; sequence_match=0.3529,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.6
.csv,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6162; levenshtein=0.1818; semantic=0.4932; sequence_match=0.2857,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.6
function,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.2500; semantic=0.6353; sequence_match=0.2667,False,0.464,False,top-3 avg score 0.4640 < final_threshold 0.6
software developer organization,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6665; levenshtein=0.2414; semantic=0.4197; sequence_match=0.3043,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.6
programming language,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5509; levenshtein=0.2105; semantic=0.4708; sequence_match=0.3684,False,0.4634,False,top-3 avg score 0.4634 < final_threshold 0.6
application programming interface,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5467; levenshtein=0.1935; semantic=0.5018; sequence_match=0.3415,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.6
software,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5417; levenshtein=0.1667; semantic=0.5472; sequence_match=0.3000,False,0.463,False,top-3 avg score 0.4630 < final_threshold 0.6
Not Free,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5412; sequence_match=0.3077,False,0.4629,False,top-3 avg score 0.4629 < final_threshold 0.6
CEL ASCII format,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5893; levenshtein=0.1429; semantic=0.4386; sequence_match=0.3571,False,0.4617,False,top-3 avg score 0.4617 < final_threshold 0.6
application programming interface,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5078; levenshtein=0.1935; semantic=0.5501; sequence_match=0.3256,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.6
data format specification,Tool Data Task Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5743; levenshtein=0.2174; semantic=0.4581; sequence_match=0.3500,False,0.4608,False,top-3 avg score 0.4608 < final_threshold 0.6
software,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.1000; semantic=0.5820; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
GIF,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.5672; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
software,Algorithm Usage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5274; levenshtein=0.2857; semantic=0.5682; sequence_match=0.2727,False,0.4604,False,top-3 avg score 0.4604 < final_threshold 0.6
software interface,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6351; levenshtein=0.1765; semantic=0.5314; sequence_match=0.2143,False,0.4603,False,top-3 avg score 0.4603 < final_threshold 0.6
Open source software license,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6228; levenshtein=0.2800; semantic=0.3917; sequence_match=0.3636,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.6
Development status,Dataset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1765; semantic=0.5244; sequence_match=0.3333,False,0.4589,False,top-3 avg score 0.4589 < final_threshold 0.6
CEL ASCII format,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5420; levenshtein=0.1765; semantic=0.4474; sequence_match=0.3871,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
Maintained,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.0909; semantic=0.5042; sequence_match=0.2857,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.6
software interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.6657; sequence_match=0.2308,False,0.4577,False,top-3 avg score 0.4577 < final_threshold 0.6
function,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2857; semantic=0.4962; sequence_match=0.3636,False,0.4572,False,top-3 avg score 0.4572 < final_threshold 0.6
software interface,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5350; levenshtein=0.1667; semantic=0.4927; sequence_match=0.3415,False,0.4564,False,top-3 avg score 0.4564 < final_threshold 0.6
Development status,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.1176; semantic=0.4487; sequence_match=0.3226,False,0.4562,False,top-3 avg score 0.4562 < final_threshold 0.6
data format specification,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5669; levenshtein=0.2174; semantic=0.4767; sequence_match=0.3243,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.6
text editing,Publication,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4924; levenshtein=0.1818; semantic=0.5118; sequence_match=0.3636,False,0.4559,False,top-3 avg score 0.4559 < final_threshold 0.6
software,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5261; sequence_match=0.2857,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.6
web service,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.4948; sequence_match=0.2857,False,0.4551,False,top-3 avg score 0.4551 < final_threshold 0.6
XML,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1667; semantic=0.6423; sequence_match=0.2222,False,0.4548,False,top-3 avg score 0.4548 < final_threshold 0.6
licence,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.2222; semantic=0.6113; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
Not Free,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.6111; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
desktop graphical user interface,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.1724; semantic=0.4702; sequence_match=0.3500,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
Free,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2000; semantic=0.5049; sequence_match=0.2857,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
desktop graphical user interface,Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6178; levenshtein=0.1034; semantic=0.5622; sequence_match=0.1818,False,0.4539,False,top-3 avg score 0.4539 < final_threshold 0.6
PROcess,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5288; levenshtein=0.1579; semantic=0.5236; sequence_match=0.3077,False,0.4534,False,top-3 avg score 0.4534 < final_threshold 0.6
file rendering,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.3077; semantic=0.4960; sequence_match=0.3200,False,0.4529,False,top-3 avg score 0.4529 < final_threshold 0.6
Source code available,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5276; levenshtein=0.2083; semantic=0.5046; sequence_match=0.3256,False,0.4526,False,top-3 avg score 0.4526 < final_threshold 0.6
Development status,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5588; levenshtein=0.2353; semantic=0.4502; sequence_match=0.3478,False,0.4523,False,top-3 avg score 0.4523 < final_threshold 0.6
Source code available,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5466; levenshtein=0.2632; semantic=0.5340; sequence_match=0.2759,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
software,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.1765; semantic=0.5421; sequence_match=0.2400,False,0.4517,False,top-3 avg score 0.4517 < final_threshold 0.6
desktop graphical user interface,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1724; semantic=0.5607; sequence_match=0.2632,False,0.4514,False,top-3 avg score 0.4514 < final_threshold 0.6
file rendering,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.1538; semantic=0.4742; sequence_match=0.3333,False,0.4513,False,top-3 avg score 0.4513 < final_threshold 0.6
programming language,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5627; levenshtein=0.1579; semantic=0.5674; sequence_match=0.2222,False,0.4508,False,top-3 avg score 0.4508 < final_threshold 0.6
version number,Programming Language,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.2105; semantic=0.5677; sequence_match=0.0625,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.6
data format specification,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5872; levenshtein=0.2609; semantic=0.4139; sequence_match=0.3500,False,0.4504,False,top-3 avg score 0.4504 < final_threshold 0.6
desktop graphical user interface,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6356; levenshtein=0.2759; semantic=0.4231; sequence_match=0.2917,False,0.4501,False,top-3 avg score 0.4501 < final_threshold 0.6
Not Free,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4484; levenshtein=0.2500; semantic=0.5847; sequence_match=0.3158,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.6
CEL ASCII format,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5524; levenshtein=0.2143; semantic=0.4630; sequence_match=0.3333,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.6
file rendering,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5579; levenshtein=0.3077; semantic=0.4563; sequence_match=0.3333,False,0.4492,False,top-3 avg score 0.4492 < final_threshold 0.6
Open source software license,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5578; levenshtein=0.2800; semantic=0.4453; sequence_match=0.3429,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
algorithm,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.2143,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
licence,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2500; semantic=0.4738; sequence_match=0.3478,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
desktop graphical user interface,Tool Data Task Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5838; levenshtein=0.2414; semantic=0.5003; sequence_match=0.2609,False,0.4483,False,top-3 avg score 0.4483 < final_threshold 0.6
CEL ASCII format,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5944; levenshtein=0.2105; semantic=0.3866; sequence_match=0.3636,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.6
Source code available,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5404; levenshtein=0.2105; semantic=0.4897; sequence_match=0.3125,False,0.4475,False,top-3 avg score 0.4475 < final_threshold 0.6
data item,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2143; semantic=0.4659; sequence_match=0.3636,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
PROcess,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.1818; semantic=0.4409; sequence_match=0.3333,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.6
function,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5267; sequence_match=0.2857,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
CEL binary format,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5977; levenshtein=0.2632; semantic=0.3873; sequence_match=0.3529,False,0.446,False,top-3 avg score 0.4460 < final_threshold 0.6
version number,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.5642; sequence_match=0.2727,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.6
Purchase cost,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0833; semantic=0.4695; sequence_match=0.3158,False,0.4456,False,top-3 avg score 0.4456 < final_threshold 0.6
Free,Developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5399; sequence_match=0.1538,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
desktop graphical user interface,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5021; levenshtein=0.2069; semantic=0.4861; sequence_match=0.3478,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
software developer role,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6480; levenshtein=0.2381; semantic=0.3721; sequence_match=0.3158,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
software developer role,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5825; levenshtein=0.2381; semantic=0.4952; sequence_match=0.2581,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
desktop graphical user interface,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5614; levenshtein=0.1724; semantic=0.4736; sequence_match=0.3000,False,0.445,False,top-3 avg score 0.4450 < final_threshold 0.6
licence,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.3000; semantic=0.5167; sequence_match=0.3529,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.6
desktop graphical user interface,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2069; semantic=0.3911; sequence_match=0.3478,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.6
Open source software license,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5158; levenshtein=0.2000; semantic=0.4839; sequence_match=0.3333,False,0.4443,False,top-3 avg score 0.4443 < final_threshold 0.6
Source code available,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.5356; sequence_match=0.2609,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
XML,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6831; sequence_match=0.1667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data format specification,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.1739; semantic=0.4873; sequence_match=0.2667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data item,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5175; sequence_match=0.2857,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
Source code available,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.2105; semantic=0.5136; sequence_match=0.3226,False,0.4434,False,top-3 avg score 0.4434 < final_threshold 0.6
software interface,Tool Version Export,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6255; levenshtein=0.2353; semantic=0.4688; sequence_match=0.2353,False,0.4432,False,top-3 avg score 0.4432 < final_threshold 0.6
software interface,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5204; levenshtein=0.1176; semantic=0.5057; sequence_match=0.3030,False,0.4431,False,top-3 avg score 0.4431 < final_threshold 0.6
Maintained,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.4430; sequence_match=0.3810,False,0.4428,False,top-3 avg score 0.4428 < final_threshold 0.6
desktop graphical user interface,Algorithm Usage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5702; levenshtein=0.2414; semantic=0.5168; sequence_match=0.2326,False,0.4428,False,top-3 avg score 0.4428 < final_threshold 0.6
CEL ASCII format,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5557; levenshtein=0.1176; semantic=0.4486; sequence_match=0.3226,False,0.4423,False,top-3 avg score 0.4423 < final_threshold 0.6
Purchase cost,Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1667; semantic=0.5212; sequence_match=0.2500,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.6
web service,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5879; levenshtein=0.2727; semantic=0.4522; sequence_match=0.2857,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
Purchase cost,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2857; semantic=0.4094; sequence_match=0.3846,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
Development status,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4239; levenshtein=0.1765; semantic=0.5670; sequence_match=0.3333,False,0.4414,False,top-3 avg score 0.4414 < final_threshold 0.6
file rendering,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4813; levenshtein=0.1579; semantic=0.5302; sequence_match=0.3125,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.6
algorithm,Development Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1250; semantic=0.5208; sequence_match=0.3200,False,0.4408,False,top-3 avg score 0.4408 < final_threshold 0.6
Source code available,Development Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4591; levenshtein=0.1579; semantic=0.5186; sequence_match=0.3429,False,0.4402,False,top-3 avg score 0.4402 < final_threshold 0.6
application programming interface,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5690; levenshtein=0.2258; semantic=0.5171; sequence_match=0.2326,False,0.4396,False,top-3 avg score 0.4396 < final_threshold 0.6
text editing,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5147; sequence_match=0.2857,False,0.4395,False,top-3 avg score 0.4395 < final_threshold 0.6
software developer organization,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6325; levenshtein=0.1379; semantic=0.4637; sequence_match=0.2222,False,0.4395,False,top-3 avg score 0.4395 < final_threshold 0.6
algorithm,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5354; levenshtein=0.0909; semantic=0.4815; sequence_match=0.3000,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.6
licence,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5075; levenshtein=0.2083; semantic=0.4863; sequence_match=0.3226,False,0.4388,False,top-3 avg score 0.4388 < final_threshold 0.6
application programming interface,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5255; levenshtein=0.1935; semantic=0.4997; sequence_match=0.2909,False,0.4387,False,top-3 avg score 0.4387 < final_threshold 0.6
plain text file format,Tool Compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.0526; semantic=0.3879; sequence_match=0.3333,False,0.4383,False,top-3 avg score 0.4383 < final_threshold 0.6
desktop graphical user interface,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5769; levenshtein=0.1724; semantic=0.5152; sequence_match=0.2222,False,0.4381,False,top-3 avg score 0.4381 < final_threshold 0.6
Development status,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6076; levenshtein=0.2353; semantic=0.4189; sequence_match=0.2857,False,0.4374,False,top-3 avg score 0.4374 < final_threshold 0.6
plain text file format,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5911; levenshtein=0.2105; semantic=0.3876; sequence_match=0.3333,False,0.4374,False,top-3 avg score 0.4374 < final_threshold 0.6
Not Free,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.1667; semantic=0.5118; sequence_match=0.3158,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.6
application programming interface,Tool,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6263; levenshtein=0.0968; semantic=0.5884; sequence_match=0.0571,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.6
file rendering,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.1538; semantic=0.6050; sequence_match=0.2105,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
Open source software license,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5244; levenshtein=0.1600; semantic=0.5515; sequence_match=0.2353,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.6
licence,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.1429; semantic=0.5008; sequence_match=0.2857,False,0.4368,False,top-3 avg score 0.4368 < final_threshold 0.6
Maintained,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.0714; semantic=0.4412; sequence_match=0.2500,False,0.4368,False,top-3 avg score 0.4368 < final_threshold 0.6
PROcess,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.1000; semantic=0.4915; sequence_match=0.3529,False,0.4365,False,top-3 avg score 0.4365 < final_threshold 0.6
Not Free,License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5190; sequence_match=0.3333,False,0.4361,False,top-3 avg score 0.4361 < final_threshold 0.6
software,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3999; levenshtein=0.1579; semantic=0.6858; sequence_match=0.2222,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
licence,Help Resource,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4683; levenshtein=0.3333; semantic=0.5058; sequence_match=0.3158,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.6
Source code available,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5526; levenshtein=0.1579; semantic=0.5146; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.6
file rendering,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.2105; semantic=0.4204; sequence_match=0.3125,False,0.4356,False,top-3 avg score 0.4356 < final_threshold 0.6
software developer role,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5494; levenshtein=0.1429; semantic=0.4072; sequence_match=0.3500,False,0.4355,False,top-3 avg score 0.4355 < final_threshold 0.6
Open source software license,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5847; levenshtein=0.1200; semantic=0.3948; sequence_match=0.3265,False,0.4353,False,top-3 avg score 0.4353 < final_threshold 0.6
version number,Publication,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5012; levenshtein=0.0769; semantic=0.5544; sequence_match=0.2500,False,0.4352,False,top-3 avg score 0.4352 < final_threshold 0.6
CEL binary format,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5374; levenshtein=0.1333; semantic=0.4588; sequence_match=0.3077,False,0.4346,False,top-3 avg score 0.4346 < final_threshold 0.6
Not Free,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5507; sequence_match=0.2500,False,0.4344,False,top-3 avg score 0.4344 < final_threshold 0.6
data format specification,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5291; levenshtein=0.1739; semantic=0.4232; sequence_match=0.3500,False,0.4341,False,top-3 avg score 0.4341 < final_threshold 0.6
Maintained,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5210; levenshtein=0.2083; semantic=0.4283; sequence_match=0.3529,False,0.4341,False,top-3 avg score 0.4341 < final_threshold 0.6
GIF,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.1429; semantic=0.4629; sequence_match=0.2353,False,0.4338,False,top-3 avg score 0.4338 < final_threshold 0.6
desktop graphical user interface,License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.2069; semantic=0.4586; sequence_match=0.3000,False,0.4338,False,top-3 avg score 0.4338 < final_threshold 0.6
