gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Item,Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
Character,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5840; levenshtein=0.1538; semantic=0.3654; sequence_match=0.3636,False,0.4377,False,top-3 avg score 0.4377 < final_threshold 0.6
Completion,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.1333; semantic=0.4483; sequence_match=0.3200,False,0.4376,False,top-3 avg score 0.4376 < final_threshold 0.6
Feature,Game,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4286; levenshtein=0.2857; semantic=0.5943; sequence_match=0.1818,False,0.4362,False,top-3 avg score 0.4362 < final_threshold 0.6
hard mode,Score Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5125; levenshtein=0.1250; semantic=0.5423; sequence_match=0.2500,False,0.4349,False,top-3 avg score 0.4349 < final_threshold 0.6
Loyalty,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2667; semantic=0.4094; sequence_match=0.3636,False,0.4341,False,top-3 avg score 0.4341 < final_threshold 0.6
Fandom,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.0909; semantic=0.5606; sequence_match=0.2353,False,0.4336,False,top-3 avg score 0.4336 < final_threshold 0.6
Feature,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.2000; semantic=0.4096; sequence_match=0.2727,False,0.4327,False,top-3 avg score 0.4327 < final_threshold 0.6
special play style,First IAP Context,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5395; levenshtein=0.1875; semantic=0.3715; sequence_match=0.3871,False,0.4327,False,top-3 avg score 0.4327 < final_threshold 0.6
Feature,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.0909; semantic=0.6183; sequence_match=0.2222,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
special play style,Score Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4821; levenshtein=0.1250; semantic=0.5005; sequence_match=0.3125,False,0.4317,False,top-3 avg score 0.4317 < final_threshold 0.6
Veteran,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5841; levenshtein=0.1429; semantic=0.4946; sequence_match=0.2143,False,0.431,False,top-3 avg score 0.4310 < final_threshold 0.6
Paragon,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4892; levenshtein=0.0909; semantic=0.5810; sequence_match=0.2222,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
Session,Exploration Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.1364; semantic=0.5139; sequence_match=0.2759,False,0.4303,False,top-3 avg score 0.4303 < final_threshold 0.6
Virtuosity,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4606; levenshtein=0.0909; semantic=0.6382; sequence_match=0.1905,False,0.4297,False,top-3 avg score 0.4297 < final_threshold 0.6
Veteran,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.1875; semantic=0.5037; sequence_match=0.2609,False,0.4295,False,top-3 avg score 0.4295 < final_threshold 0.6
Achievement,Playing Area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4924; levenshtein=0.0909; semantic=0.5218; sequence_match=0.2727,False,0.429,False,top-3 avg score 0.4290 < final_threshold 0.6
playing area,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4924; levenshtein=0.0909; semantic=0.5218; sequence_match=0.2727,False,0.429,False,top-3 avg score 0.4290 < final_threshold 0.6
Genre,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4111; levenshtein=0.1667; semantic=0.5104; sequence_match=0.3636,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
Character,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4870; levenshtein=0.2000; semantic=0.4643; sequence_match=0.3333,False,0.4282,False,top-3 avg score 0.4282 < final_threshold 0.6
Game,Time Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5389; levenshtein=0.2000; semantic=0.5348; sequence_match=0.2105,False,0.4281,False,top-3 avg score 0.4281 < final_threshold 0.6
Curiosity,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.1111; semantic=0.5213; sequence_match=0.3077,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.6
Character,Score Achievement,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5694; levenshtein=0.2500; semantic=0.4621; sequence_match=0.2400,False,0.4272,False,top-3 avg score 0.4272 < final_threshold 0.6
Collection,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5127; levenshtein=0.1429; semantic=0.4440; sequence_match=0.3226,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.6
Collection,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.1000; semantic=0.5168; sequence_match=0.2500,False,0.426,False,top-3 avg score 0.4260 < final_threshold 0.6
Curiosity,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4894; levenshtein=0.1875; semantic=0.4662; sequence_match=0.3200,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
Paragon,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.4057; sequence_match=0.2609,False,0.4246,False,top-3 avg score 0.4246 < final_threshold 0.6
Completion,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.0667; semantic=0.4088; sequence_match=0.3200,False,0.4244,False,top-3 avg score 0.4244 < final_threshold 0.6
in-app purchase event,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5322; levenshtein=0.1667; semantic=0.3954; sequence_match=0.3448,False,0.4242,False,top-3 avg score 0.4242 < final_threshold 0.6
Genre,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.0000; semantic=0.5665; sequence_match=0.2222,False,0.424,False,top-3 avg score 0.4240 < final_threshold 0.6
Virtuosity,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2000; semantic=0.4765; sequence_match=0.2400,False,0.424,False,top-3 avg score 0.4240 < final_threshold 0.6
Achievement,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5152; levenshtein=0.0909; semantic=0.4832; sequence_match=0.2727,False,0.4237,False,top-3 avg score 0.4237 < final_threshold 0.6
Session,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5916; sequence_match=0.2222,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
Curiosity,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2000; semantic=0.4421; sequence_match=0.2500,False,0.4233,False,top-3 avg score 0.4233 < final_threshold 0.6
Session,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.0000; semantic=0.6216; sequence_match=0.1818,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
hard mode,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4773; levenshtein=0.1818; semantic=0.4734; sequence_match=0.3158,False,0.4221,False,top-3 avg score 0.4221 < final_threshold 0.6
Feature,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.1875; semantic=0.4807; sequence_match=0.2609,False,0.4218,False,top-3 avg score 0.4218 < final_threshold 0.6
Luck,Exploration Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5303; levenshtein=0.0909; semantic=0.5810; sequence_match=0.1538,False,0.4217,False,top-3 avg score 0.4217 < final_threshold 0.6
Feature,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2000; semantic=0.4619; sequence_match=0.2727,False,0.4213,False,top-3 avg score 0.4213 < final_threshold 0.6
Veteran,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.6156; sequence_match=0.1818,False,0.4206,False,top-3 avg score 0.4206 < final_threshold 0.6
Veteran,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2000; semantic=0.4576; sequence_match=0.2727,False,0.4199,False,top-3 avg score 0.4199 < final_threshold 0.6
Game,Score Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3750; levenshtein=0.1875; semantic=0.5837; sequence_match=0.3000,False,0.4196,False,top-3 avg score 0.4196 < final_threshold 0.6
Collection,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.1333; semantic=0.3938; sequence_match=0.3200,False,0.4194,False,top-3 avg score 0.4194 < final_threshold 0.6
Leaderboard,Score Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4557; levenshtein=0.1875; semantic=0.5792; sequence_match=0.2222,False,0.419,False,top-3 avg score 0.4190 < final_threshold 0.6
game product,In App Purchase,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5464; levenshtein=0.2308; semantic=0.4736; sequence_match=0.1667,False,0.4169,False,top-3 avg score 0.4169 < final_threshold 0.6
Feature,Time Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2000; semantic=0.4465; sequence_match=0.2727,False,0.4162,False,top-3 avg score 0.4162 < final_threshold 0.6
Genre,Playing Area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4303; levenshtein=0.2727; semantic=0.4398; sequence_match=0.3750,False,0.415,False,top-3 avg score 0.4150 < final_threshold 0.6
hard mode,Player Equipment In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4802; levenshtein=0.1905; semantic=0.4860; sequence_match=0.2759,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.6
Character,Player Game Stats,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4963; levenshtein=0.2667; semantic=0.4780; sequence_match=0.2500,False,0.4137,False,top-3 avg score 0.4137 < final_threshold 0.6
Item,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5177; levenshtein=0.1364; semantic=0.4916; sequence_match=0.2308,False,0.4133,False,top-3 avg score 0.4133 < final_threshold 0.6
Character,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5110; sequence_match=0.1935,False,0.4133,False,top-3 avg score 0.4133 < final_threshold 0.6
Luck,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5663; sequence_match=0.2000,False,0.4128,False,top-3 avg score 0.4128 < final_threshold 0.6
Character,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.4171; sequence_match=0.3000,False,0.4121,False,top-3 avg score 0.4121 < final_threshold 0.6
Leaderboard,Time Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4909; levenshtein=0.2000; semantic=0.5129; sequence_match=0.2308,False,0.4115,False,top-3 avg score 0.4115 < final_threshold 0.6
Tutorial,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.1333; semantic=0.4524; sequence_match=0.2609,False,0.4109,False,top-3 avg score 0.4109 < final_threshold 0.6
Tutorial,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.2000; semantic=0.4499; sequence_match=0.2609,False,0.4101,False,top-3 avg score 0.4101 < final_threshold 0.6
Leaderboard,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4924; levenshtein=0.1818; semantic=0.4647; sequence_match=0.2727,False,0.4099,False,top-3 avg score 0.4099 < final_threshold 0.6
Achievement,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4626; levenshtein=0.2000; semantic=0.4587; sequence_match=0.3077,False,0.4097,False,top-3 avg score 0.4097 < final_threshold 0.6
Game,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.1250; semantic=0.4860; sequence_match=0.2000,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
Genre,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6056; levenshtein=0.1333; semantic=0.4221; sequence_match=0.2000,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
Fandom,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5552; sequence_match=0.2000,False,0.4091,False,top-3 avg score 0.4091 < final_threshold 0.6
Fandom,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.2000; semantic=0.3730; sequence_match=0.2857,False,0.4085,False,top-3 avg score 0.4085 < final_threshold 0.6
in-app purchase event,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.1429; semantic=0.3609; sequence_match=0.2564,False,0.4082,False,top-3 avg score 0.4082 < final_threshold 0.6
Completion,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.2000; semantic=0.5222; sequence_match=0.2353,False,0.4075,False,top-3 avg score 0.4075 < final_threshold 0.6
Completion,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.0625; semantic=0.3646; sequence_match=0.3077,False,0.4074,False,top-3 avg score 0.4074 < final_threshold 0.6
Loyalty,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4113; levenshtein=0.0000; semantic=0.5882; sequence_match=0.2222,False,0.4072,False,top-3 avg score 0.4072 < final_threshold 0.6
Leaderboard,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4040; levenshtein=0.0909; semantic=0.6358; sequence_match=0.1818,False,0.4072,False,top-3 avg score 0.4072 < final_threshold 0.6
game product,Time Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5293; levenshtein=0.2000; semantic=0.3840; sequence_match=0.3077,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
Virtuosity,Exploration Achievement,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5091; levenshtein=0.1818; semantic=0.5300; sequence_match=0.1250,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
Genre,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5810; levenshtein=0.1429; semantic=0.4067; sequence_match=0.2308,False,0.4061,False,top-3 avg score 0.4061 < final_threshold 0.6
Game,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.0000; semantic=0.5720; sequence_match=0.1818,False,0.4061,False,top-3 avg score 0.4061 < final_threshold 0.6
Loyalty,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5692; sequence_match=0.1818,False,0.4051,False,top-3 avg score 0.4051 < final_threshold 0.6
Item,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5417; sequence_match=0.2000,False,0.4046,False,top-3 avg score 0.4046 < final_threshold 0.6
Player,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5417; sequence_match=0.2000,False,0.4046,False,top-3 avg score 0.4046 < final_threshold 0.6
Veteran,Time Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4460; levenshtein=0.2000; semantic=0.4946; sequence_match=0.2727,False,0.4045,False,top-3 avg score 0.4045 < final_threshold 0.6
Paragon,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2667; semantic=0.4094; sequence_match=0.2727,False,0.4038,False,top-3 avg score 0.4038 < final_threshold 0.6
Leaderboard,Exploration Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.1364; semantic=0.5346; sequence_match=0.1818,False,0.4038,False,top-3 avg score 0.4038 < final_threshold 0.6
game product,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5290; levenshtein=0.1250; semantic=0.3852; sequence_match=0.2963,False,0.4035,False,top-3 avg score 0.4035 < final_threshold 0.6
Collection,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4500; levenshtein=0.1000; semantic=0.6157; sequence_match=0.1429,False,0.4029,False,top-3 avg score 0.4029 < final_threshold 0.6
Luck,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0000; semantic=0.6277; sequence_match=0.1333,False,0.4027,False,top-3 avg score 0.4027 < final_threshold 0.6
Collection,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.2000; semantic=0.5065; sequence_match=0.2353,False,0.4023,False,top-3 avg score 0.4023 < final_threshold 0.6
Feature,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.5963; sequence_match=0.1818,False,0.4022,False,top-3 avg score 0.4022 < final_threshold 0.6
game product,Player Item Usage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5374; levenshtein=0.2000; semantic=0.4688; sequence_match=0.1538,False,0.4021,False,top-3 avg score 0.4021 < final_threshold 0.6
game product,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4924; levenshtein=0.0000; semantic=0.4388; sequence_match=0.2727,False,0.4013,False,top-3 avg score 0.4013 < final_threshold 0.6
Feature,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4405; levenshtein=0.2500; semantic=0.4151; sequence_match=0.3478,False,0.4011,False,top-3 avg score 0.4011 < final_threshold 0.6
Loyalty,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4560; levenshtein=0.2727; semantic=0.4138; sequence_match=0.3333,False,0.401,False,top-3 avg score 0.4010 < final_threshold 0.6
Feature,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5175; levenshtein=0.1429; semantic=0.4711; sequence_match=0.2143,False,0.4009,False,top-3 avg score 0.4009 < final_threshold 0.6
Tutorial,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.4528; sequence_match=0.2500,False,0.4009,False,top-3 avg score 0.4009 < final_threshold 0.6
Game,Exploration Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3636; levenshtein=0.1364; semantic=0.6061; sequence_match=0.2308,False,0.4002,False,top-3 avg score 0.4002 < final_threshold 0.6
Player,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4658; levenshtein=0.1538; semantic=0.4187; sequence_match=0.3158,False,0.4001,False,top-3 avg score 0.4001 < final_threshold 0.6
Genre,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1333; semantic=0.4001; sequence_match=0.2000,False,0.4,False,top-3 avg score 0.4000 < final_threshold 0.6
special play style,In App Purchase,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6218; levenshtein=0.1875; semantic=0.3890; sequence_match=0.1379,False,0.3994,False,top-3 avg score 0.3994 < final_threshold 0.6
hard mode,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5353; levenshtein=0.2308; semantic=0.3766; sequence_match=0.2857,False,0.3992,False,top-3 avg score 0.3992 < final_threshold 0.6
Loyalty,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2000; semantic=0.3954; sequence_match=0.2727,False,0.3992,False,top-3 avg score 0.3992 < final_threshold 0.6
Player,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3730; levenshtein=0.0000; semantic=0.5153; sequence_match=0.3077,False,0.3987,False,top-3 avg score 0.3987 < final_threshold 0.6
in-app purchase event,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6074; levenshtein=0.1667; semantic=0.4045; sequence_match=0.1818,False,0.3979,False,top-3 avg score 0.3979 < final_threshold 0.6
special play style,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5290; levenshtein=0.1250; semantic=0.5141; sequence_match=0.1481,False,0.3971,False,top-3 avg score 0.3971 < final_threshold 0.6
Loyalty,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4702; levenshtein=0.1250; semantic=0.4600; sequence_match=0.2609,False,0.397,False,top-3 avg score 0.3970 < final_threshold 0.6
Virtuosity,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.1429; semantic=0.4241; sequence_match=0.1935,False,0.3969,False,top-3 avg score 0.3969 < final_threshold 0.6
Completion,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4778; levenshtein=0.1333; semantic=0.3916; sequence_match=0.3200,False,0.3965,False,top-3 avg score 0.3965 < final_threshold 0.6
hard mode,Exploration Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3939; levenshtein=0.1364; semantic=0.5937; sequence_match=0.2000,False,0.3959,False,top-3 avg score 0.3959 < final_threshold 0.6
Session,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.0000; semantic=0.5379; sequence_match=0.1818,False,0.3947,False,top-3 avg score 0.3947 < final_threshold 0.6
hard mode,Time Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4222; levenshtein=0.1333; semantic=0.5007; sequence_match=0.2609,False,0.3946,False,top-3 avg score 0.3946 < final_threshold 0.6
Character,Player IAP Summary,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5560; levenshtein=0.2500; semantic=0.3776; sequence_match=0.1600,False,0.3945,False,top-3 avg score 0.3945 < final_threshold 0.6
Achievement,In App Purchase,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3901; levenshtein=0.0769; semantic=0.4594; sequence_match=0.3333,False,0.3943,False,top-3 avg score 0.3943 < final_threshold 0.6
Curiosity,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.1429; semantic=0.3868; sequence_match=0.2000,False,0.394,False,top-3 avg score 0.3940 < final_threshold 0.6
Item,Score Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4375; levenshtein=0.1875; semantic=0.4429; sequence_match=0.3000,False,0.3935,False,top-3 avg score 0.3935 < final_threshold 0.6
game product,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5087; levenshtein=0.1818; semantic=0.4289; sequence_match=0.2424,False,0.3933,False,top-3 avg score 0.3933 < final_threshold 0.6
Leaderboard,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4924; levenshtein=0.0909; semantic=0.4142; sequence_match=0.2727,False,0.3931,False,top-3 avg score 0.3931 < final_threshold 0.6
Curiosity,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4963; levenshtein=0.2000; semantic=0.4331; sequence_match=0.2500,False,0.3931,False,top-3 avg score 0.3931 < final_threshold 0.6
Leaderboard,Player Equipment In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4309; levenshtein=0.1905; semantic=0.4350; sequence_match=0.3125,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.6
Collection,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4500; levenshtein=0.1000; semantic=0.5836; sequence_match=0.1429,False,0.3922,False,top-3 avg score 0.3922 < final_threshold 0.6
Collection,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5242; levenshtein=0.0000; semantic=0.4616; sequence_match=0.1905,False,0.3921,False,top-3 avg score 0.3921 < final_threshold 0.6
Leaderboard,Game,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3939; levenshtein=0.1818; semantic=0.6000; sequence_match=0.1333,False,0.3919,False,top-3 avg score 0.3919 < final_threshold 0.6
in-app purchase event,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5152; levenshtein=0.1667; semantic=0.3835; sequence_match=0.2759,False,0.3915,False,top-3 avg score 0.3915 < final_threshold 0.6
game product,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5223; levenshtein=0.1875; semantic=0.4289; sequence_match=0.2222,False,0.3912,False,top-3 avg score 0.3912 < final_threshold 0.6
Game,In App Purchase,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4423; levenshtein=0.1538; semantic=0.4939; sequence_match=0.2353,False,0.3905,False,top-3 avg score 0.3905 < final_threshold 0.6
Session,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.1429; semantic=0.4320; sequence_match=0.2143,False,0.39,False,top-3 avg score 0.3900 < final_threshold 0.6
Character,First IAP Context,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4963; levenshtein=0.2667; semantic=0.4044; sequence_match=0.2500,False,0.3891,False,top-3 avg score 0.3891 < final_threshold 0.6
Fandom,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4762; levenshtein=0.1429; semantic=0.4677; sequence_match=0.2222,False,0.3887,False,top-3 avg score 0.3887 < final_threshold 0.6
Character,Time Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4963; levenshtein=0.2000; semantic=0.4171; sequence_match=0.2500,False,0.3878,False,top-3 avg score 0.3878 < final_threshold 0.6
playing area,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4784; levenshtein=0.1818; semantic=0.4615; sequence_match=0.2222,False,0.3874,False,top-3 avg score 0.3874 < final_threshold 0.6
hard mode,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.2000; semantic=0.3956; sequence_match=0.2609,False,0.3874,False,top-3 avg score 0.3874 < final_threshold 0.6
Paragon,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.1538; semantic=0.4159; sequence_match=0.2000,False,0.3863,False,top-3 avg score 0.3863 < final_threshold 0.6
Item,In App Purchase,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4423; levenshtein=0.0769; semantic=0.4739; sequence_match=0.2353,False,0.3838,False,top-3 avg score 0.3838 < final_threshold 0.6
Luck,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.0952; semantic=0.4584; sequence_match=0.1600,False,0.3834,False,top-3 avg score 0.3834 < final_threshold 0.6
hard mode,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.5251; sequence_match=0.1667,False,0.3834,False,top-3 avg score 0.3834 < final_threshold 0.6
Loyalty,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4276; levenshtein=0.2500; semantic=0.3746; sequence_match=0.3478,False,0.3833,False,top-3 avg score 0.3833 < final_threshold 0.6
