gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Free,Free,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Not Free,Non-Free,semantic+jaro_winkler+levenshtein,jaro_winkler=0.9238; levenshtein=0.8571; semantic=0.9493; sequence_match=0.8571,False,0.9101,True,selected
software interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5055; levenshtein=0.2632; semantic=0.6217; sequence_match=0.2778,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.6
Source code available,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.2105; semantic=0.5314; sequence_match=0.3226,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.6
software developer role,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.1905; semantic=0.3956; sequence_match=0.3571,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.6
version number,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5011; levenshtein=0.3125; semantic=0.4882; sequence_match=0.4138,False,0.4677,False,top-3 avg score 0.4677 < final_threshold 0.6
software interface,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5752; levenshtein=0.1176; semantic=0.5326; sequence_match=0.2941,False,0.4673,False,top-3 avg score 0.4673 < final_threshold 0.6
version number,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5924; levenshtein=0.1765; semantic=0.5421; sequence_match=0.2667,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.6
CEL binary format,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.1765; semantic=0.4822; sequence_match=0.3750,False,0.4667,False,top-3 avg score 0.4667 < final_threshold 0.6
desktop graphical user interface,Software License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6434; levenshtein=0.2414; semantic=0.5129; sequence_match=0.2273,False,0.4659,False,top-3 avg score 0.4659 < final_threshold 0.6
algorithm,CSV Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.1111; semantic=0.5181; sequence_match=0.3333,False,0.4659,False,top-3 avg score 0.4659 < final_threshold 0.6
PROcess,Proprietary Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5844; levenshtein=0.1818; semantic=0.5372; sequence_match=0.2759,False,0.4658,False,top-3 avg score 0.4658 < final_threshold 0.6
XML,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.5825; sequence_match=0.3333,False,0.4658,False,top-3 avg score 0.4658 < final_threshold 0.6
application programming interface,Proprietary Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2258; semantic=0.4933; sequence_match=0.2692,False,0.4656,False,top-3 avg score 0.4656 < final_threshold 0.6
Source code available,Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6360; levenshtein=0.1579; semantic=0.4991; sequence_match=0.2609,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.6
software developer organization,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6289; levenshtein=0.1379; semantic=0.4891; sequence_match=0.2778,False,0.4652,False,top-3 avg score 0.4652 < final_threshold 0.6
function,Valid Input Specification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5475; levenshtein=0.2609; semantic=0.4607; sequence_match=0.3871,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.6
desktop graphical user interface,Proprietary Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6105; levenshtein=0.2069; semantic=0.4625; sequence_match=0.3200,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.6
function,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.2500; semantic=0.6353; sequence_match=0.2667,False,0.464,False,top-3 avg score 0.4640 < final_threshold 0.6
algorithm,Proprietary Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5337; sequence_match=0.3226,False,0.4639,False,top-3 avg score 0.4639 < final_threshold 0.6
function,Actively Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.1111; semantic=0.5094; sequence_match=0.3077,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.6
algorithm,Open Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5042; levenshtein=0.1429; semantic=0.5391; sequence_match=0.3478,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.6
software developer organization,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6665; levenshtein=0.2414; semantic=0.4197; sequence_match=0.3043,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.6
GIF,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.5115; sequence_match=0.2667,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
software,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5417; levenshtein=0.1667; semantic=0.5472; sequence_match=0.3000,False,0.463,False,top-3 avg score 0.4630 < final_threshold 0.6
software interface,Proprietary Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.2381; semantic=0.4641; sequence_match=0.3684,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.6
Development status,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5752; levenshtein=0.0588; semantic=0.4586; sequence_match=0.3529,False,0.4622,False,top-3 avg score 0.4622 < final_threshold 0.6
CEL ASCII format,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5893; levenshtein=0.1429; semantic=0.4386; sequence_match=0.3571,False,0.4617,False,top-3 avg score 0.4617 < final_threshold 0.6
Not Free,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.5102; sequence_match=0.2353,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.6
application programming interface,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5078; levenshtein=0.1935; semantic=0.5501; sequence_match=0.3256,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.6
software developer organization,Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7126; levenshtein=0.1379; semantic=0.4272; sequence_match=0.2424,False,0.4608,False,top-3 avg score 0.4608 < final_threshold 0.6
software,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.1000; semantic=0.5820; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
GIF,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.5672; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
software,Algorithm Usage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5274; levenshtein=0.2857; semantic=0.5682; sequence_match=0.2727,False,0.4604,False,top-3 avg score 0.4604 < final_threshold 0.6
software interface,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6351; levenshtein=0.1765; semantic=0.5314; sequence_match=0.2143,False,0.4603,False,top-3 avg score 0.4603 < final_threshold 0.6
Purchase cost,Open Source Development,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5575; levenshtein=0.3333; semantic=0.3986; sequence_match=0.4242,False,0.4601,False,top-3 avg score 0.4601 < final_threshold 0.6
Free,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5310; levenshtein=0.1765; semantic=0.5628; sequence_match=0.2857,False,0.4598,False,top-3 avg score 0.4598 < final_threshold 0.6
Development status,Valid Input Specification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6175; levenshtein=0.1739; semantic=0.4610; sequence_match=0.3000,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.6
file rendering,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5763; levenshtein=0.1905; semantic=0.5078; sequence_match=0.2941,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.6
CEL ASCII format,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5420; levenshtein=0.1765; semantic=0.4474; sequence_match=0.3871,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
data format specification,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6005; levenshtein=0.2174; semantic=0.4597; sequence_match=0.3158,False,0.4587,False,top-3 avg score 0.4587 < final_threshold 0.6
data format specification,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5662; levenshtein=0.1739; semantic=0.4597; sequence_match=0.3500,False,0.4586,False,top-3 avg score 0.4586 < final_threshold 0.6
Maintained,Non-Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.2000; semantic=0.5272; sequence_match=0.3529,False,0.4585,False,top-3 avg score 0.4585 < final_threshold 0.6
data item,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.1875; semantic=0.4622; sequence_match=0.3333,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.6
software,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5456; sequence_match=0.3000,False,0.4578,False,top-3 avg score 0.4578 < final_threshold 0.6
software interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.6657; sequence_match=0.2308,False,0.4577,False,top-3 avg score 0.4577 < final_threshold 0.6
application programming interface,Pricing Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6186; levenshtein=0.2581; semantic=0.4285; sequence_match=0.3256,False,0.4576,False,top-3 avg score 0.4576 < final_threshold 0.6
licence,Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.2857; semantic=0.5433; sequence_match=0.3636,False,0.4571,False,top-3 avg score 0.4571 < final_threshold 0.6
software developer organization,Proprietary Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5736; levenshtein=0.1724; semantic=0.4364; sequence_match=0.3600,False,0.4567,False,top-3 avg score 0.4567 < final_threshold 0.6
Development status,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.1176; semantic=0.4487; sequence_match=0.3226,False,0.4562,False,top-3 avg score 0.4562 < final_threshold 0.6
programming language,Homepage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4961; levenshtein=0.2632; semantic=0.5761; sequence_match=0.2963,False,0.4561,False,top-3 avg score 0.4561 < final_threshold 0.6
programming language,Community,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5396; levenshtein=0.2105; semantic=0.5428; sequence_match=0.2857,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.6
Source code available,Open Data Format,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5392; levenshtein=0.2632; semantic=0.5658; sequence_match=0.1818,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.6
data format specification,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5669; levenshtein=0.2174; semantic=0.4767; sequence_match=0.3243,False,0.456,False,top-3 avg score 0.4560 < final_threshold 0.6
programming language,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4340; levenshtein=0.1429; semantic=0.6828; sequence_match=0.2500,False,0.4556,False,top-3 avg score 0.4556 < final_threshold 0.6
application programming interface,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5513; levenshtein=0.1290; semantic=0.6228; sequence_match=0.1923,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.6
licence,Non-Free,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5079; levenshtein=0.1429; semantic=0.5726; sequence_match=0.2857,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.6
Development status,Community,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5599; levenshtein=0.2353; semantic=0.4980; sequence_match=0.3077,False,0.4552,False,top-3 avg score 0.4552 < final_threshold 0.6
web service,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.4948; sequence_match=0.2857,False,0.4551,False,top-3 avg score 0.4551 < final_threshold 0.6
algorithm,Actively Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2222; semantic=0.5246; sequence_match=0.2963,False,0.4551,False,top-3 avg score 0.4551 < final_threshold 0.6
licence,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.2222; semantic=0.6113; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
Not Free,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.6111; sequence_match=0.2500,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.6
Source code available,Actively Maintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4968; levenshtein=0.1579; semantic=0.5424; sequence_match=0.3243,False,0.4545,False,top-3 avg score 0.4545 < final_threshold 0.6
desktop graphical user interface,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.1724; semantic=0.4702; sequence_match=0.3500,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
Free,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2000; semantic=0.5049; sequence_match=0.2857,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
web service,Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2000; semantic=0.5049; sequence_match=0.2857,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
desktop graphical user interface,Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6178; levenshtein=0.1034; semantic=0.5622; sequence_match=0.1818,False,0.4539,False,top-3 avg score 0.4539 < final_threshold 0.6
licence,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.5522; sequence_match=0.2857,False,0.4539,False,top-3 avg score 0.4539 < final_threshold 0.6
Purchase cost,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2667; semantic=0.4876; sequence_match=0.2963,False,0.4539,False,top-3 avg score 0.4539 < final_threshold 0.6
PROcess,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5288; levenshtein=0.1579; semantic=0.5236; sequence_match=0.3077,False,0.4534,False,top-3 avg score 0.4534 < final_threshold 0.6
file rendering,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.5169; sequence_match=0.3000,False,0.4533,False,top-3 avg score 0.4533 < final_threshold 0.6
algorithm,CEL File Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.1538; semantic=0.4157; sequence_match=0.3636,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.6
software interface,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.1176; semantic=0.5670; sequence_match=0.1667,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.6
file rendering,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.3077; semantic=0.4960; sequence_match=0.3200,False,0.4529,False,top-3 avg score 0.4529 < final_threshold 0.6
Source code available,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5466; levenshtein=0.2632; semantic=0.5340; sequence_match=0.2759,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
software,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.1765; semantic=0.5421; sequence_match=0.2400,False,0.4517,False,top-3 avg score 0.4517 < final_threshold 0.6
desktop graphical user interface,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1724; semantic=0.5607; sequence_match=0.2632,False,0.4514,False,top-3 avg score 0.4514 < final_threshold 0.6
file rendering,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.1538; semantic=0.4742; sequence_match=0.3333,False,0.4513,False,top-3 avg score 0.4513 < final_threshold 0.6
application programming interface,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5467; levenshtein=0.1935; semantic=0.5140; sequence_match=0.2927,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.6
desktop graphical user interface,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6293; levenshtein=0.1379; semantic=0.5422; sequence_match=0.1818,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.6
programming language,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5627; levenshtein=0.1579; semantic=0.5674; sequence_match=0.2222,False,0.4508,False,top-3 avg score 0.4508 < final_threshold 0.6
Purchase cost,Proprietary Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5354; levenshtein=0.2727; semantic=0.4639; sequence_match=0.3529,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.6
version number,Programming Language,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.2105; semantic=0.5677; sequence_match=0.0625,False,0.4507,False,top-3 avg score 0.4507 < final_threshold 0.6
Not Free,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4484; levenshtein=0.2500; semantic=0.5847; sequence_match=0.3158,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.6
Free,Proprietary Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6288; levenshtein=0.1364; semantic=0.4886; sequence_match=0.2308,False,0.4494,False,top-3 avg score 0.4494 < final_threshold 0.6
CEL ASCII format,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.2381; semantic=0.4401; sequence_match=0.3429,False,0.4488,False,top-3 avg score 0.4488 < final_threshold 0.6
text editing,Actively Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5152; levenshtein=0.3333; semantic=0.4861; sequence_match=0.3448,False,0.4487,False,top-3 avg score 0.4487 < final_threshold 0.6
Open source software license,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5578; levenshtein=0.2800; semantic=0.4453; sequence_match=0.3429,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
Free,Homepage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.2500; semantic=0.5541; sequence_match=0.3333,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
desktop graphical user interface,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.1724; semantic=0.4859; sequence_match=0.3077,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
algorithm,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.2143,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
licence,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2500; semantic=0.4738; sequence_match=0.3478,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
software,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4118; levenshtein=0.1765; semantic=0.6135; sequence_match=0.3200,False,0.4484,False,top-3 avg score 0.4484 < final_threshold 0.6
licence,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.1667; semantic=0.5447; sequence_match=0.3158,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.6
Purchase cost,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2143; semantic=0.4375; sequence_match=0.3077,False,0.4481,False,top-3 avg score 0.4481 < final_threshold 0.6
application programming interface,Data Tool Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5868; levenshtein=0.1935; semantic=0.4848; sequence_match=0.2727,False,0.4481,False,top-3 avg score 0.4481 < final_threshold 0.6
CEL ASCII format,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5870; levenshtein=0.1250; semantic=0.4235; sequence_match=0.3333,False,0.4479,False,top-3 avg score 0.4479 < final_threshold 0.6
CEL binary format,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6306; levenshtein=0.0625; semantic=0.4531; sequence_match=0.2581,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
version number,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5366; levenshtein=0.0714; semantic=0.5827; sequence_match=0.2222,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
data item,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2143; semantic=0.4659; sequence_match=0.3636,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.6
file rendering,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.1765; semantic=0.4533; sequence_match=0.3333,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.6
function,Collaboration Opportunity,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.1667; semantic=0.4831; sequence_match=0.3125,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
software developer organization,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5225; levenshtein=0.2759; semantic=0.4264; sequence_match=0.3902,False,0.4464,False,top-3 avg score 0.4464 < final_threshold 0.6
text editing,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5290; levenshtein=0.2500; semantic=0.4393; sequence_match=0.3704,False,0.4462,False,top-3 avg score 0.4462 < final_threshold 0.6
version number,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.5642; sequence_match=0.2727,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.6
Purchase cost,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0833; semantic=0.4695; sequence_match=0.3158,False,0.4456,False,top-3 avg score 0.4456 < final_threshold 0.6
application programming interface,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4955; levenshtein=0.1935; semantic=0.5076; sequence_match=0.3333,False,0.4455,False,top-3 avg score 0.4455 < final_threshold 0.6
Free,Developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5399; sequence_match=0.1538,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
software developer role,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6480; levenshtein=0.2381; semantic=0.3721; sequence_match=0.3158,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
software developer role,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5825; levenshtein=0.2381; semantic=0.4952; sequence_match=0.2581,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.6
licence,Web Service,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.3000; semantic=0.5167; sequence_match=0.3529,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.6
software interface,Open Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6130; levenshtein=0.1765; semantic=0.5279; sequence_match=0.1935,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.6
desktop graphical user interface,Tool Version Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2069; semantic=0.3911; sequence_match=0.3478,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.6
CEL ASCII format,Actively Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5661; levenshtein=0.2222; semantic=0.3928; sequence_match=0.3750,False,0.4446,False,top-3 avg score 0.4446 < final_threshold 0.6
licence,Actively Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5974; levenshtein=0.2222; semantic=0.4959; sequence_match=0.2400,False,0.4444,False,top-3 avg score 0.4444 < final_threshold 0.6
PROcess,Proprietary Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.1905; semantic=0.4596; sequence_match=0.2857,False,0.4442,False,top-3 avg score 0.4442 < final_threshold 0.6
Not Free,Proprietary Development,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5139; levenshtein=0.2273; semantic=0.5914; sequence_match=0.1379,False,0.4442,False,top-3 avg score 0.4442 < final_threshold 0.6
Source code available,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.5356; sequence_match=0.2609,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
PROcess,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2667; semantic=0.4385; sequence_match=0.3636,False,0.4438,False,top-3 avg score 0.4438 < final_threshold 0.6
XML,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.6831; sequence_match=0.1667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
data format specification,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.1739; semantic=0.4873; sequence_match=0.2667,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
Source code available,Collaborator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.2105; semantic=0.5136; sequence_match=0.3226,False,0.4434,False,top-3 avg score 0.4434 < final_threshold 0.6
software interface,Tool Version Export,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6255; levenshtein=0.2353; semantic=0.4688; sequence_match=0.2353,False,0.4432,False,top-3 avg score 0.4432 < final_threshold 0.6
Maintained,Data Tool Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5692; levenshtein=0.1538; semantic=0.4125; sequence_match=0.3478,False,0.4432,False,top-3 avg score 0.4432 < final_threshold 0.6
software interface,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5204; levenshtein=0.1176; semantic=0.5057; sequence_match=0.3030,False,0.4431,False,top-3 avg score 0.4431 < final_threshold 0.6
desktop graphical user interface,Algorithm Usage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5702; levenshtein=0.2414; semantic=0.5168; sequence_match=0.2326,False,0.4428,False,top-3 avg score 0.4428 < final_threshold 0.6
CEL binary format,Actively Maintained,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6074; levenshtein=0.1667; semantic=0.3570; sequence_match=0.3636,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
algorithm,Pricing Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5241; levenshtein=0.0833; semantic=0.5181; sequence_match=0.2857,False,0.4426,False,top-3 avg score 0.4426 < final_threshold 0.6
software developer organization,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5677; levenshtein=0.1724; semantic=0.5422; sequence_match=0.2174,False,0.4424,False,top-3 avg score 0.4424 < final_threshold 0.6
