prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,True,selected
ObjectProperty,has interface,has capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5338; levenshtein=0.2308; semantic=0.5966; sequence_match=0.4000,False,0.5101,False,top-3 avg score 0.5101 < final_threshold 0.7
ObjectProperty,uses platform,is output format of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6227; levenshtein=0.3750; semantic=0.4068; sequence_match=0.5000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.7
ObjectProperty,has interface,version has export format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6626; levenshtein=0.2727; semantic=0.5126; sequence_match=0.3529,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,is software for,version has export format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6608; levenshtein=0.2727; semantic=0.4655; sequence_match=0.4000,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.7
ObjectProperty,is developed by,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.4944; sequence_match=0.4167,False,0.5082,False,top-3 avg score 0.5082 < final_threshold 0.7
ObjectProperty,has version,has capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5692; levenshtein=0.3077; semantic=0.6056; sequence_match=0.3478,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,has declared status,has capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6537; levenshtein=0.3529; semantic=0.4685; sequence_match=0.4000,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.7
ObjectProperty,is encoded in,is used by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.3636; semantic=0.4792; sequence_match=0.4211,False,0.5072,False,top-3 avg score 0.5072 < final_threshold 0.7
ObjectProperty,has declared status,has version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6510; levenshtein=0.3529; semantic=0.4203; sequence_match=0.4444,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,is alternative format of,is performed by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6329; levenshtein=0.3810; semantic=0.4077; sequence_match=0.4706,False,0.5037,False,top-3 avg score 0.5037 < final_threshold 0.7
ObjectProperty,is developed by,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5855; levenshtein=0.3077; semantic=0.5404; sequence_match=0.3846,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.7
ObjectProperty,has specified data input,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.2381; semantic=0.5560; sequence_match=0.3889,False,0.4999,False,top-3 avg score 0.4999 < final_threshold 0.7
ObjectProperty,has function,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.3333; semantic=0.5215; sequence_match=0.3846,False,0.4997,False,top-3 avg score 0.4997 < final_threshold 0.7
ObjectProperty,uses platform,is input format of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6352; levenshtein=0.4000; semantic=0.4192; sequence_match=0.4444,False,0.4996,False,top-3 avg score 0.4996 < final_threshold 0.7
ObjectProperty,has specified data output,is output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4962; levenshtein=0.1818; semantic=0.6338; sequence_match=0.3684,False,0.4995,False,top-3 avg score 0.4995 < final_threshold 0.7
ObjectProperty,has license,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2143; semantic=0.4617; sequence_match=0.4167,False,0.4991,False,top-3 avg score 0.4991 < final_threshold 0.7
ObjectProperty,is software for,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5579; levenshtein=0.3077; semantic=0.5157; sequence_match=0.4167,False,0.4968,False,top-3 avg score 0.4968 < final_threshold 0.7
ObjectProperty,uses platform,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.1667; semantic=0.5289; sequence_match=0.3333,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.7
ObjectProperty,has declared status,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.4450; sequence_match=0.3704,False,0.4963,False,top-3 avg score 0.4963 < final_threshold 0.7
ObjectProperty,has output,version has export format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4798; levenshtein=0.2727; semantic=0.6216; sequence_match=0.3871,False,0.4962,False,top-3 avg score 0.4962 < final_threshold 0.7
ObjectProperty,has version,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2667; semantic=0.5396; sequence_match=0.3200,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.7
ObjectProperty,is encoded in,is implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6275; levenshtein=0.2778; semantic=0.4439; sequence_match=0.4138,False,0.4951,False,top-3 avg score 0.4951 < final_threshold 0.7
ObjectProperty,is software for,runs on platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5842; levenshtein=0.3571; semantic=0.4543; sequence_match=0.4444,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,has specified data output,version has export format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5734; levenshtein=0.1818; semantic=0.5881; sequence_match=0.3182,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.7
ObjectProperty,uses software,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.0833; semantic=0.5394; sequence_match=0.3636,False,0.4917,False,top-3 avg score 0.4917 < final_threshold 0.7
ObjectProperty,has specified data input,is implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.2381; semantic=0.4834; sequence_match=0.4103,False,0.491,False,top-3 avg score 0.4910 < final_threshold 0.7
ObjectProperty,is software for,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5971; levenshtein=0.3077; semantic=0.5681; sequence_match=0.3077,False,0.491,False,top-3 avg score 0.4910 < final_threshold 0.7
ObjectProperty,uses software,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.0833; semantic=0.4964; sequence_match=0.3478,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.7
ObjectProperty,is alternative format of,runs on platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.3827; sequence_match=0.4571,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.7
ObjectProperty,is software for,is output worked with by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6301; levenshtein=0.3000; semantic=0.4146; sequence_match=0.4242,False,0.4897,False,top-3 avg score 0.4897 < final_threshold 0.7
ObjectProperty,has specified data output,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6535; levenshtein=0.3182; semantic=0.4910; sequence_match=0.3243,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,uses platform,can read format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5644; levenshtein=0.3077; semantic=0.4243; sequence_match=0.4800,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,is developed by,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.3077; semantic=0.5057; sequence_match=0.4167,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,is alternative format of,is developer of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6485; levenshtein=0.3810; semantic=0.4044; sequence_match=0.4118,False,0.4882,False,top-3 avg score 0.4882 < final_threshold 0.7
ObjectProperty,has version,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.2727; semantic=0.4792; sequence_match=0.3810,False,0.4881,False,top-3 avg score 0.4881 < final_threshold 0.7
ObjectProperty,has output,has license,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6033; sequence_match=0.3158,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,has declared status,has software type,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6728; levenshtein=0.3529; semantic=0.3318; sequence_match=0.4375,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.7
ObjectProperty,has input,runs on platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5047; sequence_match=0.3636,False,0.4875,False,top-3 avg score 0.4875 < final_threshold 0.7
ObjectProperty,has specified data input,has software type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6615; levenshtein=0.3333; semantic=0.4669; sequence_match=0.3333,False,0.4873,False,top-3 avg score 0.4873 < final_threshold 0.7
ObjectProperty,has function,implemented in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1538; semantic=0.5713; sequence_match=0.3333,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.7
ObjectProperty,has specified data output,has developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6351; levenshtein=0.3182; semantic=0.5053; sequence_match=0.2941,False,0.4862,False,top-3 avg score 0.4862 < final_threshold 0.7
ObjectProperty,has output,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4886; sequence_match=0.3333,False,0.4851,False,top-3 avg score 0.4851 < final_threshold 0.7
ObjectProperty,has format specification,has capability,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6264; levenshtein=0.3636; semantic=0.4648; sequence_match=0.3429,False,0.4849,False,top-3 avg score 0.4849 < final_threshold 0.7
ObjectProperty,has specified data output,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6379; levenshtein=0.2273; semantic=0.5031; sequence_match=0.3125,False,0.4845,False,top-3 avg score 0.4845 < final_threshold 0.7
ObjectProperty,uses platform,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.1667; semantic=0.5564; sequence_match=0.3636,False,0.4845,False,top-3 avg score 0.4845 < final_threshold 0.7
ObjectProperty,has format specification,is platform for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6079; levenshtein=0.2273; semantic=0.4453; sequence_match=0.4000,False,0.4844,False,top-3 avg score 0.4844 < final_threshold 0.7
ObjectProperty,implements,is capability of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.2143; semantic=0.5574; sequence_match=0.3333,False,0.4842,False,top-3 avg score 0.4842 < final_threshold 0.7
ObjectProperty,has specified data input,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2857; semantic=0.4851; sequence_match=0.3226,False,0.4838,False,top-3 avg score 0.4838 < final_threshold 0.7
ObjectProperty,has input,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.5144; sequence_match=0.3478,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.7
ObjectProperty,is developed by,is writable by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.3846; semantic=0.4527; sequence_match=0.4000,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.7
ObjectProperty,is software for,is performed by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5971; levenshtein=0.2308; semantic=0.3886; sequence_match=0.4615,False,0.4824,False,top-3 avg score 0.4824 < final_threshold 0.7
ObjectProperty,has format specification,is implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.2727; semantic=0.4208; sequence_match=0.4000,False,0.4824,False,top-3 avg score 0.4824 < final_threshold 0.7
ObjectProperty,uses platform,is capability of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2857; semantic=0.4617; sequence_match=0.3846,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,has specified data output,is output worked with by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4715; levenshtein=0.0909; semantic=0.6402; sequence_match=0.3333,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,has format specification,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5775; levenshtein=0.2273; semantic=0.4923; sequence_match=0.3750,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.7
ObjectProperty,has function,is implementation of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5152; levenshtein=0.2778; semantic=0.5829; sequence_match=0.3448,False,0.4809,False,top-3 avg score 0.4809 < final_threshold 0.7
ObjectProperty,is software for,is writable by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6120; levenshtein=0.3077; semantic=0.4294; sequence_match=0.4000,False,0.4805,False,top-3 avg score 0.4805 < final_threshold 0.7
ObjectProperty,uses platform,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2857; semantic=0.4572; sequence_match=0.3846,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.7
ObjectProperty,has interface,is software type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.5159; sequence_match=0.2857,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.7
ObjectProperty,has version,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2667; semantic=0.5730; sequence_match=0.3200,False,0.4791,False,top-3 avg score 0.4791 < final_threshold 0.7
ObjectProperty,is alternative format of,is software type of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6765; levenshtein=0.2857; semantic=0.4712; sequence_match=0.2162,False,0.4778,False,top-3 avg score 0.4778 < final_threshold 0.7
ObjectProperty,uses software,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.0833; semantic=0.5522; sequence_match=0.3333,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.7
ObjectProperty,is software for,can read format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5299; levenshtein=0.0769; semantic=0.4373; sequence_match=0.4615,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.7
ObjectProperty,has specified data output,is export format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5461; levenshtein=0.2273; semantic=0.5666; sequence_match=0.3158,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.7
ObjectProperty,has clause,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5704; levenshtein=0.2667; semantic=0.5233; sequence_match=0.3333,False,0.4757,False,top-3 avg score 0.4757 < final_threshold 0.7
ObjectProperty,has function,can perform task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5469; levenshtein=0.2143; semantic=0.6623; sequence_match=0.1600,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.7
ObjectProperty,has input,version has export format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6358; levenshtein=0.2273; semantic=0.4530; sequence_match=0.3333,False,0.4741,False,top-3 avg score 0.4741 < final_threshold 0.7
ObjectProperty,is software for,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5255; levenshtein=0.3333; semantic=0.4673; sequence_match=0.4286,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.7
ObjectProperty,is alternative format of,can perform task,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6302; levenshtein=0.3333; semantic=0.3148; sequence_match=0.4571,False,0.4735,False,top-3 avg score 0.4735 < final_threshold 0.7
ObjectProperty,has clause,is used by,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4120; levenshtein=0.1111; semantic=0.5378; sequence_match=0.4706,False,0.4735,False,top-3 avg score 0.4735 < final_threshold 0.7
ObjectProperty,has clause,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.1818; semantic=0.4815; sequence_match=0.4000,False,0.4727,False,top-3 avg score 0.4727 < final_threshold 0.7
ObjectProperty,has clause,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.4925; sequence_match=0.3478,False,0.4723,False,top-3 avg score 0.4723 < final_threshold 0.7
ObjectProperty,uses software,is output worked with by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5968; levenshtein=0.2500; semantic=0.4449; sequence_match=0.3750,False,0.4723,False,top-3 avg score 0.4723 < final_threshold 0.7
ObjectProperty,has input,can work with output of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4961; levenshtein=0.2632; semantic=0.6241; sequence_match=0.2963,False,0.4721,False,top-3 avg score 0.4721 < final_threshold 0.7
ObjectProperty,has interface,is performed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.1538; semantic=0.4175; sequence_match=0.4000,False,0.4719,False,top-3 avg score 0.4719 < final_threshold 0.7
ObjectProperty,is software for,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5842; levenshtein=0.1429; semantic=0.4577; sequence_match=0.3704,False,0.4708,False,top-3 avg score 0.4708 < final_threshold 0.7
ObjectProperty,has format specification,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5862; levenshtein=0.2273; semantic=0.4704; sequence_match=0.3529,False,0.4699,False,top-3 avg score 0.4699 < final_threshold 0.7
ObjectProperty,uses software,is used by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.6651; sequence_match=0.3000,False,0.4699,False,top-3 avg score 0.4699 < final_threshold 0.7
ObjectProperty,is software for,uses algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5299; levenshtein=0.1538; semantic=0.4907; sequence_match=0.3846,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,has specified data input,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5913; levenshtein=0.2857; semantic=0.5098; sequence_match=0.3030,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,uses software,is performed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.2308; semantic=0.4032; sequence_match=0.4000,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.7
ObjectProperty,has specified data output,can write format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5358; levenshtein=0.2273; semantic=0.5859; sequence_match=0.2778,False,0.4665,False,top-3 avg score 0.4665 < final_threshold 0.7
ObjectProperty,uses software,version has export format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6086; levenshtein=0.2273; semantic=0.4936; sequence_match=0.2941,False,0.4654,False,top-3 avg score 0.4654 < final_threshold 0.7
ObjectProperty,is encoded in,uses algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.5050; sequence_match=0.3333,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,has format specification,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5896; levenshtein=0.2273; semantic=0.4164; sequence_match=0.3889,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,uses platform,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.4898; sequence_match=0.3478,False,0.4649,False,top-3 avg score 0.4649 < final_threshold 0.7
ObjectProperty,has output,created data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0909; semantic=0.5590; sequence_match=0.3000,False,0.4648,False,top-3 avg score 0.4648 < final_threshold 0.7
ObjectProperty,has interface,is implementation of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5146; levenshtein=0.1667; semantic=0.5460; sequence_match=0.3333,False,0.4646,False,top-3 avg score 0.4646 < final_threshold 0.7
ObjectProperty,has license,implemented in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4949; levenshtein=0.3077; semantic=0.5495; sequence_match=0.3478,False,0.4641,False,top-3 avg score 0.4641 < final_threshold 0.7
ObjectProperty,is encoded in,is output worked with by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5596; levenshtein=0.3000; semantic=0.4454; sequence_match=0.3871,False,0.464,False,top-3 avg score 0.4640 < final_threshold 0.7
ObjectProperty,has interface,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5707; levenshtein=0.0833; semantic=0.4735; sequence_match=0.3478,False,0.464,False,top-3 avg score 0.4640 < final_threshold 0.7
ObjectProperty,uses platform,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6120; levenshtein=0.2308; semantic=0.4536; sequence_match=0.3200,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.7
ObjectProperty,has version,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4949; levenshtein=0.2308; semantic=0.4544; sequence_match=0.4348,False,0.4614,False,top-3 avg score 0.4614 < final_threshold 0.7
ObjectProperty,is developed by,is implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.2222; semantic=0.5106; sequence_match=0.3226,False,0.4601,False,top-3 avg score 0.4601 < final_threshold 0.7
ObjectProperty,has function,is capability of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5469; levenshtein=0.2143; semantic=0.6152; sequence_match=0.1600,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.7
ObjectProperty,is developed by,is software type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5634; levenshtein=0.2500; semantic=0.4676; sequence_match=0.3448,False,0.4586,False,top-3 avg score 0.4586 < final_threshold 0.7
ObjectProperty,uses platform,is used by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.6305; sequence_match=0.3000,False,0.4583,False,top-3 avg score 0.4583 < final_threshold 0.7
ObjectProperty,has format specification,is software type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.1818; semantic=0.4328; sequence_match=0.3158,False,0.4583,False,top-3 avg score 0.4583 < final_threshold 0.7
ObjectProperty,uses software,is export format of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6260; levenshtein=0.3125; semantic=0.4363; sequence_match=0.2857,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,has specified data output,is implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5825; levenshtein=0.2273; semantic=0.4421; sequence_match=0.3500,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,uses software,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5338; levenshtein=0.1538; semantic=0.5203; sequence_match=0.3200,False,0.458,False,top-3 avg score 0.4580 < final_threshold 0.7
ObjectProperty,has specified data input,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5404; levenshtein=0.2381; semantic=0.4799; sequence_match=0.3529,False,0.4578,False,top-3 avg score 0.4578 < final_threshold 0.7
ObjectProperty,has format specification,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5087; levenshtein=0.2273; semantic=0.5007; sequence_match=0.3636,False,0.4577,False,top-3 avg score 0.4577 < final_threshold 0.7
ObjectProperty,is encoded in,is developer of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5579; levenshtein=0.3846; semantic=0.4301; sequence_match=0.3333,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,has specified data output,can read format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5894; levenshtein=0.2273; semantic=0.4975; sequence_match=0.2857,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,has interface,is platform for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.1538; semantic=0.5084; sequence_match=0.3200,False,0.457,False,top-3 avg score 0.4570 < final_threshold 0.7
ObjectProperty,implements,is platform for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.4607; sequence_match=0.3478,False,0.4567,False,top-3 avg score 0.4567 < final_threshold 0.7
ObjectProperty,is encoded in,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5434; levenshtein=0.2667; semantic=0.5176; sequence_match=0.3077,False,0.4562,False,top-3 avg score 0.4562 < final_threshold 0.7
ObjectProperty,implements,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5651; levenshtein=0.2143; semantic=0.5508; sequence_match=0.2500,False,0.4553,False,top-3 avg score 0.4553 < final_threshold 0.7
ObjectProperty,is encoded in,is export format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.2500; semantic=0.5290; sequence_match=0.2963,False,0.4544,False,top-3 avg score 0.4544 < final_threshold 0.7
ObjectProperty,has declared status,created by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2353; semantic=0.4164; sequence_match=0.3846,False,0.4544,False,top-3 avg score 0.4544 < final_threshold 0.7
ObjectProperty,has interface,is capability of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.0714; semantic=0.5229; sequence_match=0.3077,False,0.4541,False,top-3 avg score 0.4541 < final_threshold 0.7
ObjectProperty,has function,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.1429; semantic=0.5038; sequence_match=0.2400,False,0.4536,False,top-3 avg score 0.4536 < final_threshold 0.7
ObjectProperty,has format specification,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5563; levenshtein=0.2727; semantic=0.4406; sequence_match=0.3636,False,0.4535,False,top-3 avg score 0.4535 < final_threshold 0.7
ObjectProperty,has input,is capability of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.1429; semantic=0.4937; sequence_match=0.2727,False,0.4535,False,top-3 avg score 0.4535 < final_threshold 0.7
ObjectProperty,has output,can write format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.2143; semantic=0.6060; sequence_match=0.2609,False,0.4534,False,top-3 avg score 0.4534 < final_threshold 0.7
ObjectProperty,is software for,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5366; levenshtein=0.0714; semantic=0.4517; sequence_match=0.3704,False,0.4529,False,top-3 avg score 0.4529 < final_threshold 0.7
ObjectProperty,uses software,has license,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.1667; semantic=0.5953; sequence_match=0.1818,False,0.4516,False,top-3 avg score 0.4516 < final_threshold 0.7
ObjectProperty,has interface,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.0769; semantic=0.4920; sequence_match=0.3200,False,0.4516,False,top-3 avg score 0.4516 < final_threshold 0.7
ObjectProperty,has license,is writable by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.1667; semantic=0.5087; sequence_match=0.2727,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.7
ObjectProperty,has license,is implementation of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.1667; semantic=0.5345; sequence_match=0.2857,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.7
ObjectProperty,is alternative format of,is readable by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2381; semantic=0.4506; sequence_match=0.3030,False,0.451,False,top-3 avg score 0.4510 < final_threshold 0.7
