gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineBody,Wine Body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineColor,Wine Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8872; sequence_match=0.6667,False,0.818,True,selected
Zinfandel,Wine Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.6183; sequence_match=0.3529,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.6
Zinfandel,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.3636; semantic=0.6190; sequence_match=0.4000,False,0.5128,False,top-3 avg score 0.5128 < final_threshold 0.6
WhiteBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1538; semantic=0.6943; sequence_match=0.3000,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
VintageYear,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
wine,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2143; semantic=0.5400; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.6
RedWine,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5258; levenshtein=0.2105; semantic=0.6924; sequence_match=0.3077,False,0.5086,False,top-3 avg score 0.5086 < final_threshold 0.6
Vintage,Wine Variety,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5896; levenshtein=0.3636; semantic=0.5666; sequence_match=0.3333,False,0.5066,False,top-3 avg score 0.5066 < final_threshold 0.6
RedBordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0000; semantic=0.6728; sequence_match=0.3000,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.6
WineFlavor,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5611; levenshtein=0.3529; semantic=0.5012; sequence_match=0.4444,False,0.5023,False,top-3 avg score 0.5023 < final_threshold 0.6
WineDescriptor,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5709; sequence_match=0.3478,False,0.502,False,top-3 avg score 0.5020 < final_threshold 0.6
Vintage,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5417; sequence_match=0.3750,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.6
WineSugar,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.4808; sequence_match=0.4348,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.6
WineDescriptor,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5896; levenshtein=0.2941; semantic=0.5181; sequence_match=0.3871,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.6
wine,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6422; levenshtein=0.1765; semantic=0.5625; sequence_match=0.2857,False,0.4968,False,top-3 avg score 0.4968 < final_threshold 0.6
Zinfandel,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5396; levenshtein=0.2105; semantic=0.5897; sequence_match=0.3571,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
Vintage,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5077; sequence_match=0.3750,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.6
Vintage,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6062; sequence_match=0.4286,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.6
Vintage,Wine Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.5619; sequence_match=0.3333,False,0.4874,False,top-3 avg score 0.4874 < final_threshold 0.6
Zinfandel,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.2727; semantic=0.6246; sequence_match=0.3000,False,0.4866,False,top-3 avg score 0.4866 < final_threshold 0.6
Bordeaux,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.0909; semantic=0.5970; sequence_match=0.3158,False,0.4836,False,top-3 avg score 0.4836 < final_threshold 0.6
VintageYear,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
WhiteBordeaux,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5616; levenshtein=0.2222; semantic=0.5571; sequence_match=0.3226,False,0.4804,False,top-3 avg score 0.4804 < final_threshold 0.6
VintageYear,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5758; levenshtein=0.1818; semantic=0.5897; sequence_match=0.2727,False,0.4794,False,top-3 avg score 0.4794 < final_threshold 0.6
WineBody,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.4786; sequence_match=0.3636,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.6
WineGrape,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2857; semantic=0.5183; sequence_match=0.3478,False,0.479,False,top-3 avg score 0.4790 < final_threshold 0.6
WineSugar,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2353; semantic=0.4863; sequence_match=0.3846,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.6
VintageYear,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5609; sequence_match=0.2857,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.6
WineGrape,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.2353; semantic=0.5047; sequence_match=0.3077,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.6
Vintage,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.4932; sequence_match=0.3529,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.6
Vintage,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5974; levenshtein=0.2222; semantic=0.5016; sequence_match=0.3200,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.6
Zinfandel,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5706; sequence_match=0.3158,False,0.4726,False,top-3 avg score 0.4726 < final_threshold 0.6
WineDescriptor,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.4852; sequence_match=0.3571,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.6
WineColor,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.4829; sequence_match=0.3478,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
WhiteBordeaux,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4813; levenshtein=0.2105; semantic=0.6077; sequence_match=0.3125,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.6
Zinfandel,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.6157; sequence_match=0.3333,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
Zinfandel,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.4676; sequence_match=0.3077,False,0.4639,False,top-3 avg score 0.4639 < final_threshold 0.6
WineFlavor,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.4934; sequence_match=0.3333,False,0.4597,False,top-3 avg score 0.4597 < final_threshold 0.6
WineColor,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5599; levenshtein=0.2941; semantic=0.5067; sequence_match=0.3077,False,0.4581,False,top-3 avg score 0.4581 < final_threshold 0.6
WineBody,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5172; levenshtein=0.1765; semantic=0.5159; sequence_match=0.3200,False,0.451,False,top-3 avg score 0.4510 < final_threshold 0.6
Zinfandel,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.2222; semantic=0.5535; sequence_match=0.2963,False,0.4407,False,top-3 avg score 0.4407 < final_threshold 0.6
WhiteBordeaux,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5493; levenshtein=0.1765; semantic=0.4878; sequence_match=0.2667,False,0.4346,False,top-3 avg score 0.4346 < final_threshold 0.6
Bordeaux,Wine Body,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3333; levenshtein=0.0000; semantic=0.5925; sequence_match=0.3750,False,0.4336,False,top-3 avg score 0.4336 < final_threshold 0.6
Bordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
Region,White Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5000; levenshtein=0.2222; semantic=0.3924; sequence_match=0.4000,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
RedWine,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5189; levenshtein=0.1176; semantic=0.5179; sequence_match=0.2500,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.6
Region,Wine Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1250; semantic=0.4453; sequence_match=0.2857,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.6
RedBordeaux,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4924; levenshtein=0.0909; semantic=0.6035; sequence_match=0.1818,False,0.4259,False,top-3 avg score 0.4259 < final_threshold 0.6
RedBordeaux,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4212; levenshtein=0.0909; semantic=0.5687; sequence_match=0.2857,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
RedBordeaux,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5108; levenshtein=0.1667; semantic=0.5503; sequence_match=0.2069,False,0.4227,False,top-3 avg score 0.4227 < final_threshold 0.6
RedBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.6875; sequence_match=0.1333,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
RedWine,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.5428; sequence_match=0.2857,False,0.4217,False,top-3 avg score 0.4217 < final_threshold 0.6
Region,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4673; levenshtein=0.2353; semantic=0.4269; sequence_match=0.3478,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.6
WhiteWine,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.1765; semantic=0.4459; sequence_match=0.2308,False,0.4089,False,top-3 avg score 0.4089 < final_threshold 0.6
Bordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.0000; semantic=0.5736; sequence_match=0.2353,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
Region,Wine Vintage Instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4591; levenshtein=0.2105; semantic=0.4361; sequence_match=0.3200,False,0.4051,False,top-3 avg score 0.4051 < final_threshold 0.6
Bordeaux,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4381; levenshtein=0.0909; semantic=0.5621; sequence_match=0.2105,False,0.4036,False,top-3 avg score 0.4036 < final_threshold 0.6
RedBordeaux,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4680; levenshtein=0.0000; semantic=0.5378; sequence_match=0.2000,False,0.4019,False,top-3 avg score 0.4019 < final_threshold 0.6
Bordeaux,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4518; levenshtein=0.1053; semantic=0.6030; sequence_match=0.1481,False,0.401,False,top-3 avg score 0.4010 < final_threshold 0.6
Region,Wine Color,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5370; levenshtein=0.2222; semantic=0.4353; sequence_match=0.1333,False,0.3982,False,top-3 avg score 0.3982 < final_threshold 0.6
Region,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4798; levenshtein=0.1818; semantic=0.4787; sequence_match=0.2353,False,0.3979,False,top-3 avg score 0.3979 < final_threshold 0.6
Region,Wine Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5101; levenshtein=0.0909; semantic=0.4334; sequence_match=0.2353,False,0.3929,False,top-3 avg score 0.3929 < final_threshold 0.6
WhiteBordeaux,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.0714; semantic=0.5150; sequence_match=0.1481,False,0.3923,False,top-3 avg score 0.3923 < final_threshold 0.6
RedBordeaux,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3658; levenshtein=0.1579; semantic=0.6044; sequence_match=0.2000,False,0.3901,False,top-3 avg score 0.3901 < final_threshold 0.6
WhiteWine,Vintage Quality,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5042; levenshtein=0.2143; semantic=0.4414; sequence_match=0.1739,False,0.3866,False,top-3 avg score 0.3866 < final_threshold 0.6
Region,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4630; levenshtein=0.1667; semantic=0.4453; sequence_match=0.2500,False,0.3861,False,top-3 avg score 0.3861 < final_threshold 0.6
Region,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.5108; sequence_match=0.2000,False,0.3851,False,top-3 avg score 0.3851 < final_threshold 0.6
Region,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4841; levenshtein=0.1429; semantic=0.4597; sequence_match=0.2000,False,0.3813,False,top-3 avg score 0.3813 < final_threshold 0.6
Bordeaux,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.1429; semantic=0.5424; sequence_match=0.1818,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
RedBordeaux,Vintage Evaluation,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4496; levenshtein=0.1765; semantic=0.5138; sequence_match=0.1429,False,0.38,False,top-3 avg score 0.3800 < final_threshold 0.6
RedBordeaux,Vintage Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3846; levenshtein=0.0714; semantic=0.5493; sequence_match=0.1600,False,0.3646,False,top-3 avg score 0.3646 < final_threshold 0.6
Bordeaux,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4028; levenshtein=0.1111; semantic=0.5328; sequence_match=0.1538,False,0.3631,False,top-3 avg score 0.3631 < final_threshold 0.6
Bordeaux,Vintage Evaluation,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4060; levenshtein=0.1765; semantic=0.4965; sequence_match=0.0800,False,0.3597,False,top-3 avg score 0.3597 < final_threshold 0.6
Bordeaux,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.1111; semantic=0.5367; sequence_match=0.1176,False,0.3555,False,top-3 avg score 0.3555 < final_threshold 0.6
Bordeaux,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3167; levenshtein=0.1000; semantic=0.5736; sequence_match=0.1111,False,0.3338,False,top-3 avg score 0.3338 < final_threshold 0.6
